,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:49.445Z,1INCH-USD,15MINS,0.258,0.259,0.259,0.258,144055,27,37166.205,2789918,0.0,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:45:15.368Z,1INCH-USD,15MINS,0.258,0.258,0.258,0.258,5758,1,1485.564,2809554,0.0038910505836575737,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:09:22.754Z,1INCH-USD,15MINS,0.256,0.258,0.258,0.257,231607,54,59546.592,2809554,-0.003875968992248069,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:28:33.269Z,1INCH-USD,15MINS,0.257,0.258,0.257,0.258,132515,41,34056.458,2834550,0.0,,,,,,,,,,,,,66.66666666666666,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:35:54.151Z,1INCH-USD,15MINS,0.258,0.258,0.258,0.258,39054,13,10075.932,2803877,0.0,,,,,,,,,,,,,66.66666666666666,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:48:26.833Z,1INCH-USD,15MINS,0.258,0.258,0.258,0.258,90001,16,23220.258,2814449,0.0,,,,,,,,,,,,,66.66666666666666,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:00:00.000Z,1INCH-USD,15MINS,0.258,0.258,0.258,0.258,0,0,0,2787836,0.0,,,,,,,,,,,,,66.66666666666666,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:27:05.430Z,1INCH-USD,15MINS,0.257,0.258,0.257,0.258,67832,17,17467.61,2787836,0.0038910505836575737,,,,0.257875,,,,,,,,,66.66666666666666,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:42:59.883Z,1INCH-USD,15MINS,0.257,0.258,0.258,0.257,120707,43,31108.527,2809769,0.0,,,,0.2576805555555556,,,,,,,,,2.9850746268656714,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:59:44.567Z,1INCH-USD,15MINS,0.257,0.257,0.257,0.257,65462,20,16823.734,2823422,0.0,,,,0.25752932098765435,,,,,,,,,2.9850746268656714,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:10:47.327Z,1INCH-USD,15MINS,0.257,0.258,0.257,0.257,211167,49,54270.035,2798719,0.0,,,,0.25741169410150894,,,,,,,,,2.9850746268656714,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:15:00.000Z,1INCH-USD,15MINS,0.257,0.257,0.257,0.257,0,0,0,2815866,0.00390625,,,,0.2573202065233958,,,,,,,,,2.9850746268656714,
