,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:43:11.865Z,AAVE-USD,15MINS,60.16,60.35,60.35,60.16,3811.21,72,229792.7768,24339.65,-0.0026525198938992522,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:57:37.535Z,AAVE-USD,15MINS,60.32,60.36,60.34,60.32,61.15,15,3689.4211,22561.89,0.004161811220243061,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:13:43.126Z,AAVE-USD,15MINS,59.87,60.29,60.29,60.07,1255.47,84,75365.0729,22542.16,-0.001496010638297851,,,,,,,,,,,,,39.02439024390299,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:29:47.369Z,AAVE-USD,15MINS,59.99,60.16,60.1,60.16,512.9,34,30806.1413,22324.26,-0.0044679794803905715,,,,,,,,,,,,,57.62711864406753,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:43:28.756Z,AAVE-USD,15MINS,60.22,60.81,60.22,60.43,1622.64,100,98132.8434,22430.79,0.0016575501408917503,,,,,,,,,,,,,85.02994011976057,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:57:33.685Z,AAVE-USD,15MINS,60.33,60.47,60.47,60.33,2803.04,77,169201.0193,22335.31,-0.001489572989076482,,,,,,,,,,,,,57.489878542510006,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:10:13.984Z,AAVE-USD,15MINS,60.32,60.47,60.32,60.42,623.94,31,37684.4437,20888.29,-0.002970297029702973,,,,,,,,,,,,,73.14578005115112,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:29:20.338Z,AAVE-USD,15MINS,60.43,60.61,60.44,60.6,1168.34,45,70718.4124,20719.22,0.002149826360178686,,,,60.31125,,,,,,,,,89.14167528438465,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:42:58.498Z,AAVE-USD,15MINS,60.47,60.59,60.59,60.47,121.34,14,7344.844,20493.48,0.00016539861065156813,,,,60.34652777777778,,,,,,,,,47.91550861589741,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:56:09.286Z,AAVE-USD,15MINS,60.43,60.5,60.44,60.46,264.73,21,16002.4253,20461.40,-0.00016537125847526646,,,,60.37174382716049,,,,,,,,,44.73274519979276,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:08:57.065Z,AAVE-USD,15MINS,60.47,60.47,60.47,60.47,0.86,3,52.0042,20472.27,-0.001650982334489015,,,,60.39357853223594,,,,,,,,,51.21392579019614,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:34.651Z,AAVE-USD,15MINS,60.47,60.64,60.61,60.57,468.89,24,28404.057,20472.27,0.0046442196052414175,,,,60.432783302850176,,,,,,,,,85.41695193756004,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:27.949Z,AAVE-USD,15MINS,60.29,60.56,60.55,60.29,316.03,40,19091.6011,20466.87,-0.0004973474801061029,,,,60.40105367999458,,60.36538461538463,,,,,,,17.339819318971518,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:55:37.278Z,AAVE-USD,15MINS,60.19,60.38,60.28,60.32,226.76,9,13672.7909,20359.96,0.0004975949577044059,,,,60.383041751106894,,60.35890109890111,,,,,,,29.397659013747123,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:13:10.199Z,AAVE-USD,15MINS,60.26,60.34,60.33,60.29,252.51,24,15226.9693,20422.59,0.0019943493435266024,,,,60.36236580641647,,60.34905808477238,,,,,,,22.758100979653484,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:24:47.434Z,AAVE-USD,15MINS,60.17,60.18,60.18,60.17,0.27,2,16.2469,20404.80,0.001831501831501825,,,,60.31961784943503,,60.32347835837633,,,,,,,8.10812580626174,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:33:04.569Z,AAVE-USD,15MINS,60.06,60.1,60.1,60.06,87.19,12,5238.7512,20404.70,-0.0009980039920158834,,,,60.26192499400503,,60.285838592893995,,,,,,,3.71904425788828,
