,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:30:00.000Z,ADA-USD,15MINS,0.244,0.244,0.244,0.244,0,0,0,10635997,0.004115226337448652,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:57:19.409Z,ADA-USD,15MINS,0.243,0.243,0.243,0.243,22,2,5.346,10635997,0.0,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:13:42.454Z,ADA-USD,15MINS,0.243,0.244,0.244,0.243,253188,72,61524.826,10635997,0.0,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:19:07.598Z,ADA-USD,15MINS,0.243,0.243,0.243,0.243,109760,33,26671.68,10533006,-0.004098360655737654,,,,,,,,,,,,,0.0,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:05.475Z,ADA-USD,15MINS,0.243,0.244,0.244,0.244,16523,13,4031.597,10495990,0.0,,,,,,,,,,,,,80.0,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:48:28.549Z,ADA-USD,15MINS,0.244,0.244,0.244,0.244,13,1,3.172,10489676,0.0,,,,,,,,,,,,,80.0,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:12:26.549Z,ADA-USD,15MINS,0.244,0.244,0.244,0.244,89515,35,21841.66,10489676,-0.004081632653061273,,,,,,,,,,,,,80.0,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:24:51.696Z,ADA-USD,15MINS,0.244,0.245,0.244,0.245,37,3,9.054,10562877,0.004098360655737654,,,,0.24375000000000002,,,,,,,,,97.2972972972973,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:43:28.245Z,ADA-USD,15MINS,0.244,0.245,0.245,0.244,24472,13,5971.228,10562841,0.0,,,,0.24380555555555558,,,,,,,,,35.64356435643564,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:57:18.821Z,ADA-USD,15MINS,0.244,0.245,0.244,0.244,249011,55,60759.372,10542734,0.0,,,,0.2438487654320988,,,,,,,,,35.64356435643564,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:13:58.018Z,ADA-USD,15MINS,0.244,0.245,0.244,0.244,57145,16,13956.135,10481171,-0.004081632653061273,,,,0.2438823731138546,,,,,,,,,35.64356435643564,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:48.918Z,ADA-USD,15MINS,0.244,0.245,0.244,0.245,6005,6,1468.58,10473281,0.004098360655737654,,,,0.24413073464410914,,,,,,,,,89.39641109298532,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:49.568Z,ADA-USD,15MINS,0.244,0.245,0.245,0.244,168693,30,41167.658,10474010,0.0,,,,0.24410168250097378,,0.24392307692307688,,,,,,,33.47587049480757,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:48:11.737Z,ADA-USD,15MINS,0.244,0.244,0.244,0.244,71525,26,17452.1,10461440,-0.004081632653061273,,,,0.24407908638964626,,0.24393406593406589,,,,,,,33.47587049480757,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:13:57.971Z,ADA-USD,15MINS,0.244,0.245,0.244,0.245,2892,7,705.664,10510578,0.0,,,,0.24428373385861377,,0.24408634222919934,,,,,,,81.00470957613815,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:28:33.079Z,ADA-USD,15MINS,0.244,0.245,0.244,0.245,6764,7,1653.458,10507972,0.004098360655737654,,,,0.24444290411225514,,0.24421686476788515,,,,,,,81.00470957613815,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:34:04.207Z,ADA-USD,15MINS,0.244,0.244,0.244,0.244,255,2,62.22,10509068,-0.004081632653061273,,,,0.24434448097619843,,0.2441858840867587,,,,,,,20.99742279694353,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:54:55.472Z,ADA-USD,15MINS,0.244,0.245,0.244,0.245,25,2,6.114,10509068,0.004098360655737654,,,,0.24449015187037657,,0.2443021863600789,,,,,,,68.16434362758496,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:13:49.800Z,ADA-USD,15MINS,0.244,0.245,0.244,0.244,2805,6,684.433,10509068,-0.004081632653061273,,,,0.2443812292325151,,0.24425901688006763,,,,,,,31.067670921184842,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:28:02.343Z,ADA-USD,15MINS,0.244,0.245,0.244,0.245,4549,6,1109.98,10509068,0.0,,,,0.24451873384751174,,0.24436487161148654,,,,0.24545766968310007,0.24414999999999995,0.24284233031689983,66.99351473003225,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:44:28.043Z,ADA-USD,15MINS,0.245,0.245,0.245,0.245,5223,6,1279.635,10509068,0.0,,,,0.24462568188139802,,0.24445560423841703,0.24419047619047615,,,0.24555646599664657,0.24419999999999997,0.24284353400335337,66.99351473003225,0.0007500000000000007
78,2023-09-27T22:45:00.000Z,2023-09-27T22:59:13.343Z,ADA-USD,15MINS,0.245,0.245,0.245,0.245,7027,8,1721.615,10514291,0.0,,,,0.2447088636855318,,0.2445333750615003,0.24426406926406924,,,0.24558062484751794,0.24429999999999996,0.24301937515248198,66.99351473003225,0.0007125000000000007
77,2023-09-27T23:00:00.000Z,2023-09-27T23:13:52.881Z,ADA-USD,15MINS,0.245,0.245,0.245,0.245,166033,43,40678.085,10521318,0.0,,,,0.2447735606443025,,0.24460003576700026,0.24433097205824475,,,0.245566190379031,0.24439999999999995,0.2432338096209689,66.99351473003225,0.0006768750000000006
76,2023-09-27T23:15:00.000Z,2023-09-27T23:26:07.981Z,ADA-USD,15MINS,0.244,0.245,0.245,0.245,3299,3,805.811,10595045,0.0,,,,0.24482388050112416,,0.24465717351457164,0.2443917927802225,,,0.2455000000000837,0.24449999999999994,0.24349999999991617,66.99351473003225,0.0006930312500000006
75,2023-09-27T23:30:00.000Z,2023-09-27T23:44:10.079Z,ADA-USD,15MINS,0.245,0.245,0.245,0.245,8201,10,2009.245,10594190,0.004098360655737654,,,,0.24486301816754102,,0.24470614872677568,0.24444708434565682,,,0.24554498743716552,0.24454999999999996,0.2435550125628344,66.99351473003225,0.0006583796875000006
74,2023-09-27T23:45:00.000Z,2023-09-27T23:51:08.550Z,ADA-USD,15MINS,0.244,0.245,0.245,0.244,1235,2,302.564,10599990,0.0,,,,0.2446712363525319,,0.2446052703372363,0.24440644031423348,,,0.24554498743716552,0.24454999999999996,0.2435550125628344,1.9500235008826865,0.0006754607031250006
73,2023-09-28T00:00:00.000Z,2023-09-28T00:04:46.803Z,ADA-USD,15MINS,0.244,0.244,0.244,0.244,5766,2,1406.904,10594279,-0.004081632653061273,,,,0.24452207271863594,,0.24451880314620256,0.2443694911947577,,,0.24554498743716552,0.24454999999999996,0.2435550125628344,1.9500235008826865,0.0006416876679687506
72,2023-09-28T00:15:00.000Z,2023-09-28T00:29:16.061Z,ADA-USD,15MINS,0.244,0.246,0.245,0.245,486922,123,119298.238,10601548,0.0,,,,0.24462827878116128,,0.2445875455538879,0.24442681017705245,,,0.24554498743716552,0.24454999999999996,0.2435550125628344,79.92247716072602,0.0007096032845703131
71,2023-09-28T00:30:00.000Z,2023-09-28T00:41:54.007Z,ADA-USD,15MINS,0.244,0.245,0.245,0.245,40845,14,10001.325,10603002,0.004098360655737654,,,,0.24471088349645878,,0.24464646761761819,0.24447891834277496,,,0.24557979589715284,0.24459999999999998,0.24362020410284713,79.92247716072602,0.0007241231203417975
70,2023-09-28T00:45:00.000Z,2023-09-28T00:57:44.618Z,ADA-USD,15MINS,0.244,0.244,0.244,0.244,24590,3,5999.96,10595227,0.0,,,,0.2445529093861346,,0.2445541151008156,0.2444353803116136,,,0.24557979589715284,0.24459999999999998,0.24362020410284713,19.11597062972851,0.0007379169643247077
69,2023-09-28T01:00:00.000Z,2023-09-28T01:14:40.745Z,ADA-USD,15MINS,0.243,0.244,0.244,0.244,198395,33,48405.661,10582637,0.0,,,,0.24443004063366025,,0.24447495580069908,0.2443958002832851,,,0.24557979589715284,0.24459999999999998,0.24362020410284713,19.11597062972851,0.0007510211161084723
68,2023-09-28T01:15:00.000Z,2023-09-28T01:23:03.592Z,ADA-USD,15MINS,0.243,0.244,0.244,0.244,92470,36,22558.494,10479698,0.0,,,,0.24433447604840242,,0.24440710497202778,0.2443598184393501,,,0.24554498743716552,0.24454999999999996,0.2435550125628344,19.11597062972851,0.0007634700603030487
67,2023-09-28T01:30:00.000Z,2023-09-28T01:44:45.067Z,ADA-USD,15MINS,0.244,0.244,0.244,0.244,167232,49,40804.608,10500976,-0.004081632653061273,,,,0.2442601480376463,,0.24434894711888094,0.24432710767213645,,,0.24554498743716552,0.24454999999999996,0.2435550125628344,19.11597062972851,0.0007252965572878963
66,2023-09-28T01:45:00.000Z,2023-09-28T01:59:00.894Z,ADA-USD,15MINS,0.244,0.245,0.244,0.245,4200,4,1027.211,10488790,0.0,0.00013672606866313441,0.00025899829537261317,-0.00012227222670947876,0.24442455958483603,,0.24444195467332652,0.2443882797019422,,,0.24557979589715284,0.24459999999999998,0.24362020410284713,93.85990807732,0.0007390317294235015
65,2023-09-28T02:00:00.000Z,2023-09-28T02:14:50.142Z,ADA-USD,15MINS,0.245,0.246,0.245,0.245,394158,88,96670.067,10490579,0.0,0.0001685479932580225,0.00024090823494969503,-7.236024169167253e-05,0.24455243523265024,,0.24452167543427988,0.2444438906381293,,,0.24557979589715284,0.24459999999999998,0.24362020410284713,93.85990807732,0.0007520801429523264
