,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:38:40.601Z,ALGO-USD,15MINS,0.0943,0.0944,0.0944,0.0944,279525,9,26387.1497,8505042,0.0,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:57:45.992Z,ALGO-USD,15MINS,0.0944,0.0946,0.0945,0.0944,365975,21,34584.621,8567061,0.005324813631522929,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:50.886Z,ALGO-USD,15MINS,0.0937,0.0943,0.0943,0.0939,1042223,66,97900.6265,8517061,-0.002125398512221155,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:25:56.926Z,ALGO-USD,15MINS,0.0938,0.0941,0.0939,0.0941,280556,23,26370.9331,8470018,-0.004232804232804255,,,,,,,,,,,,,44.44444444444513,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:02.788Z,ALGO-USD,15MINS,0.0942,0.0945,0.0942,0.0945,259241,18,24465.4667,8550969,0.0010593220338983578,,,,,,,,,,,,,80.0,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:56:14.340Z,ALGO-USD,15MINS,0.0944,0.0944,0.0944,0.0944,236397,15,22315.8768,8479351,-0.0010582010582010914,,,,,,,,,,,,,60.6060606060602,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:13:57.749Z,ALGO-USD,15MINS,0.0943,0.0945,0.0943,0.0945,404165,18,38164.6491,8443258,-0.0031645569620252223,,,,,,,,,,,,,73.46938775510195,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:28:47.169Z,ALGO-USD,15MINS,0.0946,0.0948,0.0946,0.0948,24530,3,2321.191,8456582,0.0021141649048626032,,,,0.09437500000000001,,,,,,,,,91.03448275862047,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:37:16.504Z,ALGO-USD,15MINS,0.0946,0.0947,0.0947,0.0946,48346,3,4574.8065,8477052,0.0021186440677967155,,,,0.09442500000000001,,,,,,,,,48.351648351649004,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:50:52.280Z,ALGO-USD,15MINS,0.0944,0.0944,0.0944,0.0944,47512,4,4485.1328,8501908,0.0,,,,0.09441944444444444,,,,,,,,,24.952741020793667,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:12:03.514Z,ALGO-USD,15MINS,0.0944,0.0944,0.0944,0.0944,37885,4,3576.344,8474777,-0.006315789473684275,,,,0.09441512345679012,,,,,,,,,24.952741020793667,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:42.563Z,ALGO-USD,15MINS,0.0945,0.095,0.0945,0.095,387487,30,36726.0855,8487415,0.006355932203389925,,,,0.09454509602194787,,,,,,,,,88.97528464315468,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:05.874Z,ALGO-USD,15MINS,0.0944,0.0949,0.0949,0.0944,554239,32,52503.5517,8456192,-0.0031678986272439813,,,,0.09451285246151502,,0.09444615384615386,,,,,,,32.87839917906617,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:59:29.718Z,ALGO-USD,15MINS,0.0942,0.0947,0.0942,0.0947,624798,37,59020.4599,8464311,-0.0021074815595362173,,,,0.09455444080340057,,0.0944824175824176,,,,,,,58.833155012902374,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:14:26.814Z,ALGO-USD,15MINS,0.0946,0.0949,0.0946,0.0949,373966,24,35426.8705,8433066,-0.002103049421661507,,,,0.09463123173597822,,0.0945420722135008,,,,,,,72.83750674805837,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:26:26.418Z,ALGO-USD,15MINS,0.0949,0.0951,0.0949,0.0951,73077,9,6935.8246,8593333,-0.0020986358866735833,,,,0.0947354024613164,,0.09462177618300069,,,,,,,83.83541332015328,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:41:00.735Z,ALGO-USD,15MINS,0.095,0.0953,0.095,0.0953,161954,8,15416.5078,8594792,0.0,,,,0.09486086858102387,,0.09471866529971487,,,,,,,91.06823426597282,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:59:14.676Z,ALGO-USD,15MINS,0.0952,0.0953,0.0952,0.0953,30521,4,2906.1238,8585187,0.0,,,,0.09495845334079635,,0.09480171311404131,,,,,,,91.06823426597282,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:13:52.987Z,ALGO-USD,15MINS,0.0952,0.0953,0.0952,0.0953,66605,8,6347.2419,8579941,0.0,,,,0.09503435259839715,,0.09487289695489255,,,,,,,91.06823426597282,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:28:51.589Z,ALGO-USD,15MINS,0.0952,0.0953,0.0953,0.0953,292070,11,27828.2439,8565796,-0.0010482180293501786,,,,0.09509338535430889,,0.09493391167562219,,,,0.09550542671823933,0.09468499999999999,0.09386457328176065,91.06823426597282,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:38:50.447Z,ALGO-USD,15MINS,0.0954,0.0954,0.0954,0.0954,85184,4,8126.5536,8559438,-0.0010471204188482464,,,,0.09516152194224024,,0.09500049572196188,0.09471904761904762,,,0.09560050563256148,0.09473499999999999,0.0938694943674385,98.04965754956363,0.0002749999999999989
78,2023-09-27T22:45:00.000Z,2023-09-27T22:59:06.800Z,ALGO-USD,15MINS,0.0954,0.0955,0.0954,0.0955,102679,6,9795.6982,8514128,-0.0010460251046024993,,,,0.09523673928840908,,0.09507185347596733,0.09479004329004329,,,0.09570192104921467,0.09478999999999999,0.0938780789507853,99.23912221621215,0.00026624999999999907
77,2023-09-27T23:00:00.000Z,2023-09-27T23:13:44.527Z,ALGO-USD,15MINS,0.0955,0.0956,0.0955,0.0956,47970,8,4585.9178,8450142,0.002096436058700357,,,,0.09531746389098483,,0.09514730297940058,0.09486367571822117,,,0.09575562477822001,0.09487499999999997,0.09399437522177993,99.65722358968286,0.00025793749999999927
76,2023-09-27T23:15:00.000Z,2023-09-27T23:29:02.091Z,ALGO-USD,15MINS,0.0953,0.0955,0.0955,0.0954,231031,12,22046.3575,8461801,-0.0031347962382444194,,,,0.09533580524854376,,0.09518340255377192,0.09491243247111016,,,0.09577282651255285,0.09493999999999997,0.09410717348744708,31.1624084705643,0.00026004062499999974
75,2023-09-27T23:30:00.000Z,2023-09-27T23:41:48.141Z,ALGO-USD,15MINS,0.0955,0.0957,0.0955,0.0957,217065,8,20733.6273,8471789,0.0010460251046024993,,,,0.09541673741553404,,0.09525720218894736,0.09498402951919105,,,0.09586948260478191,0.09499999999999996,0.09413051739521801,77.51810405279286,0.0002620385937499995
74,2023-09-27T23:45:00.000Z,2023-09-27T23:59:28.129Z,ALGO-USD,15MINS,0.0956,0.0957,0.0956,0.0956,6509,3,622.783,8453908,-0.0031282586027111536,,,,0.09545746243430425,,0.09530617330481202,0.09504002683562823,,,0.09592116200568028,0.09505999999999995,0.09419883799431962,53.499952814622965,0.00025393666406249896
73,2023-09-28T00:00:00.000Z,2023-09-28T00:14:39.991Z,ALGO-USD,15MINS,0.0954,0.0959,0.0957,0.0959,378329,28,36153.2744,8454285,-0.0020811654526535772,,,,0.09555580411556998,,0.09539100568983887,0.09511820621420748,,,0.09602465076986186,0.09512999999999996,0.09423534923013807,83.7357573335711,0.000266239830859374
72,2023-09-28T00:15:00.000Z,2023-09-28T00:26:50.528Z,ALGO-USD,15MINS,0.0958,0.0961,0.0959,0.0961,513334,47,49209.0988,8551513,0.0,,,,0.0956767365343322,,0.09549229059129045,0.09520746019473407,,,0.09616962813422297,0.09519499999999996,0.09422037186577695,91.28845458960228,0.00026792783931640576
71,2023-09-28T00:30:00.000Z,2023-09-28T00:44:49.846Z,ALGO-USD,15MINS,0.0957,0.0961,0.096,0.0961,839912,43,80595.2228,8460488,0.0010416666666666075,,,,0.09577079508225839,,0.0955791062211061,0.09528860017703097,,,0.09628014850393872,0.09526999999999997,0.09425985149606121,91.28845458960228,0.00027453144735058605
70,2023-09-28T00:45:00.000Z,2023-09-28T00:59:54.012Z,ALGO-USD,15MINS,0.096,0.0961,0.0961,0.096,174518,10,16770.8793,8400476,0.0,,,,0.09582172950842319,,0.09563923390380523,0.09535327288820998,,,0.09632467943448775,0.09534999999999996,0.09437532056551218,47.33040326990408,0.0002658048749830569
69,2023-09-28T01:00:00.000Z,2023-09-28T01:13:17.961Z,ALGO-USD,15MINS,0.0957,0.0961,0.096,0.096,923304,78,88515.7955,8417424,-0.0031152647975077885,,,,0.09586134517321804,,0.09569077191754734,0.09541206626200907,,,0.09634016482023844,0.09542999999999997,0.09451983517976151,47.33040326990408,0.0002725146312339046
68,2023-09-28T01:15:00.000Z,2023-09-28T01:29:03.218Z,ALGO-USD,15MINS,0.096,0.0964,0.096,0.0963,440139,28,42315.3596,8541898,0.0010395010395010118,,,,0.09595882402361403,,0.09577780450075486,0.09549278751091733,,,0.0964572369770508,0.09549499999999997,0.09453276302294913,92.22973158347496,0.00027888889967220927
67,2023-09-28T01:30:00.000Z,2023-09-28T01:44:21.902Z,ALGO-USD,15MINS,0.096,0.0962,0.0962,0.0962,171256,10,16460.1254,8556871,-0.0010384215991693369,,,,0.09601241868503313,,0.09583811814350417,0.0955570795553794,,,0.09645281334398617,0.09558499999999998,0.09471718665601378,58.808193596442834,0.00027994445468859853
66,2023-09-28T01:45:00.000Z,2023-09-28T01:49:36.106Z,ALGO-USD,15MINS,0.0963,0.0963,0.0963,0.0963,20023,1,1928.2149,8632499,-0.0010373443983402453,0.0004906548740214456,0.0004982443577901505,-7.589483768704903e-06,0.09607632564391466,,0.09590410126586071,0.09562461777761763,,,0.09648542671823931,0.09566499999999997,0.09484457328176063,76.11716731243118,0.00027094723195416877
65,2023-09-28T02:00:00.000Z,2023-09-28T02:14:58.549Z,ALGO-USD,15MINS,0.0964,0.0967,0.0964,0.0964,131832,20,12722.4593,8640759,0.0020790020790022457,0.0004904988272001337,0.0004966952516721471,-6.196424472013399e-06,0.0961482532786003,,0.09597494394216632,0.09569510707056149,,,0.09654099937577798,0.09573999999999998,0.09493900062422198,87.02308119125219,0.0002773998703564602
64,2023-09-28T02:15:00.000Z,2023-09-28T02:25:37.978Z,ALGO-USD,15MINS,0.0962,0.0965,0.0964,0.0962,140989,24,13581.5544,8606798,0.0010405827263266776,0.00046883242211563647,0.000491122685760845,-2.2290263645208534e-05,0.09615975255002246,,0.09600709480757114,0.09574100642778317,,,0.09656304947755957,0.09579499999999999,0.09502695052244041,30.78752492356078,0.00027852987683863763
63,2023-09-28T02:30:00.000Z,2023-09-28T02:36:39.919Z,ALGO-USD,15MINS,0.0961,0.0961,0.0961,0.0961,66439,8,6384.7879,8613137,0.0,0.00043853729081448634,0.00048060560677157325,-4.2068315957086914e-05,0.09614647420557303,,0.09602036697791812,0.09577364220707561,,,0.09657870693151792,0.09583499999999999,0.09509129306848206,18.702015659395855,0.0002696033829967052
62,2023-09-28T02:45:00.000Z,2023-09-28T02:45:00.000Z,ALGO-USD,15MINS,0.0961,0.0961,0.0961,0.0961,0,0,0,8598360,0.0031315240083509277,0.0004098042131191332,0.00046644532804108525,-5.664111492195207e-05,0.09613614660433457,,0.09603174312392981,0.09580331109734147,,,0.09658457733896866,0.095875,0.09516542266103134,18.702015659395855,0.00025612321384686993
61,2023-09-28T03:00:00.000Z,2023-09-28T03:10:37.022Z,ALGO-USD,15MINS,0.0958,0.096,0.096,0.0958,203343,26,19495.2412,8598360,0.0,0.0003586907851456239,0.00044489441946199296,-8.620363431636904e-05,0.0960614473589269,,0.09599863696336841,0.09580301008849225,,,0.09656030296074213,0.09590000000000001,0.0952396970392579,3.274994966420381,0.0002583170531545269
60,2023-09-28T03:15:00.000Z,2023-09-28T03:15:00.000Z,ALGO-USD,15MINS,0.0958,0.0958,0.0958,0.0958,0,0,0,8684171,0.0,0.00031455700784278895,0.00041882693713815215,-0.0001042699292953632,0.09600334794583203,,0.09597026025431578,0.09580273644408387,,,0.09652790961177876,0.09592500000000001,0.09532209038822126,3.274994966420381,0.00024540120049680055
59,2023-09-28T03:30:00.000Z,2023-09-28T03:30:00.000Z,ALGO-USD,15MINS,0.0958,0.0958,0.0958,0.0958,0,0,0,8684171,0.0,0.00027639456684662445,0.0003903404630798466,-0.00011394589623322214,0.09595815951342491,,0.0959459373608421,0.09580248767643988,,,0.09650168662635934,0.09594500000000002,0.09538831337364069,3.274994966420381,0.0002331311404719605
58,2023-09-28T03:45:00.000Z,2023-09-28T03:48:24.006Z,ALGO-USD,15MINS,0.0958,0.0958,0.0958,0.0958,52165,1,4997.407,8684171,0.003141361256544517,0.00024334542285422978,0.0003609414550347232,-0.00011759603218049344,0.09592301295488605,,0.09592508916643609,0.09580226152403626,,,0.09648306787318806,0.09596000000000002,0.09543693212681198,3.274994966420381,0.00022147458344836247
57,2023-09-28T04:00:00.000Z,2023-09-28T04:11:51.802Z,ALGO-USD,15MINS,0.0955,0.0958,0.0957,0.0955,127770,19,12222.299,8684171,-0.0010460251046024993,0.00019074742772795528,0.0003269026495733696,-0.00013615522184541433,0.09582901007602249,,0.0958643621426595,0.09577478320366932,,,0.09649342362499257,0.09595500000000003,0.09541657637500749,0.23066321888970628,0.00022540085427594407
56,2023-09-28T04:15:00.000Z,2023-09-28T04:26:30.006Z,ALGO-USD,15MINS,0.0955,0.0957,0.0955,0.0956,75710,8,7232.7308,8689459,-0.0010449320794146955,0.00015534162040420352,0.0002925904437395364,-0.00013724882333533288,0.0957781189480175,,0.09582659612227958,0.09575889382151756,,,0.09646809044908286,0.09596500000000002,0.09546190955091718,38.403048565946214,0.00022413081156214646
55,2023-09-28T04:30:00.000Z,2023-09-28T04:44:07.521Z,ALGO-USD,15MINS,0.0956,0.0958,0.0956,0.0957,96945,13,9275.4643,8723217,-0.0010438413361169019,0.00013380896087243632,0.00026083414716611636,-0.00012702518629368004,0.09576075918179139,,0.09580851096195392,0.09575353983774323,,,0.09646809044908286,0.09596500000000002,0.09546190955091718,65.10508396847902,0.00022292427098403872
54,2023-09-28T04:45:00.000Z,2023-09-28T04:55:46.913Z,ALGO-USD,15MINS,0.0957,0.0958,0.0958,0.0958,59033,11,5651.5124,8670424,0.0,0.00012339096310967634,0.00023334551035482837,-0.00010995454724515202,0.09576947936361552,,0.09580729511024622,0.09575776348885749,,,0.09645614446889429,0.09597500000000003,0.09549385553110577,81.30955354797112,0.00021677805743483693
53,2023-09-28T05:00:00.000Z,2023-09-28T05:12:08.789Z,ALGO-USD,15MINS,0.0957,0.0958,0.0958,0.0958,14577,8,1396.0589,8654742,0.0,0.00011382254932848501,0.0002094409181495597,-9.561836882107468e-05,0.0957762617272565,,0.09580625295163961,0.09576160317168862,,,0.09645620983119486,0.09597000000000003,0.09548379016880519,81.30955354797112,0.00021093915456309523
52,2023-09-28T05:15:00.000Z,2023-09-28T05:15:00.000Z,ALGO-USD,15MINS,0.0958,0.0958,0.0958,0.0958,0,0,0,8654065,0.0,0.00010502880577538398,0.00018855849567472454,-8.352968989934056e-05,0.09578153689897728,,0.09580535967283395,0.0957650937924442,,,0.09644274993588588,0.09595500000000001,0.09546725006411415,81.30955354797112,0.00020039219683494047
51,2023-09-28T05:30:00.000Z,2023-09-28T05:30:00.000Z,ALGO-USD,15MINS,0.0958,0.0958,0.0958,0.0958,0,0,0,8654065,-0.0010427528675703845,9.694221118790314e-05,0.00017023523877736027,-7.329302758945713e-05,0.09578563981031567,,0.09580459400528624,0.09576826708404018,,,0.09642744230425095,0.09594,0.09545255769574905,81.30955354797112,0.00019037258699319343
50,2023-09-28T05:45:00.000Z,2023-09-28T05:58:22.930Z,ALGO-USD,15MINS,0.0958,0.0959,0.0958,0.0959,403551,27,38667.2129,8654065,0.0,9.747901359158373e-05,0.00015568399374020497,-5.820498014862124e-05,0.09581105318580108,,0.09581822343310249,0.0957802428036729,,,0.09642192915291638,0.095935,0.09544807084708364,97.78288242788395,0.0001858539576435339
49,2023-09-28T06:00:00.000Z,2023-09-28T06:13:47.326Z,ALGO-USD,15MINS,0.0958,0.0959,0.0958,0.0959,75509,4,7233.798,8607281,0.002089864158829835,9.678871332560735e-05,0.00014390493765728546,-4.711622433167811e-05,0.09583081914451194,,0.09582990579980213,0.09579112982152081,,,0.0964162098312091,0.09593,0.0954437901687909,97.78288242788395,0.00018156125976135734
48,2023-09-28T06:15:00.000Z,2023-09-28T06:27:21.460Z,ALGO-USD,15MINS,0.0957,0.0959,0.0959,0.0957,68410,7,6546.8832,8577354,0.0010460251046024993,7.919045854941353e-05,0.00013096204183571107,-5.1771583286297534e-05,0.09580174822350929,,0.09581134782840182,0.09578284529229164,,,0.0963647580015047,0.0959,0.0954352419984953,12.145409509622368,0.00018248319677328977
47,2023-09-28T06:30:00.000Z,2023-09-28T06:44:01.218Z,ALGO-USD,15MINS,0.0956,0.0957,0.0957,0.0956,23391,6,2236.5956,8581285,-0.0031282586027111536,5.652298875553907e-05,0.00011607423121967667,-5.9551242464137594e-05,0.09575691528495167,,0.09578115528148728,0.0957662229929924,,,0.09633086874485469,0.09586999999999998,0.09540913125514527,6.474816537547078,0.00017835903693462472
46,2023-09-28T06:45:00.000Z,2023-09-28T06:55:29.658Z,ALGO-USD,15MINS,0.0957,0.0959,0.0957,0.0959,25373,7,2430.0561,8570276,-0.0010416666666667185,6.205106240700364e-05,0.00010526959745714207,-4.321853505013842e-05,0.09578871188829574,,0.09579813309841767,0.095778384539084,,,0.09626713307225736,0.09584999999999999,0.09543286692774262,75.39685814937386,0.0001844410850878932
45,2023-09-28T07:00:00.000Z,2023-09-28T07:13:55.124Z,ALGO-USD,15MINS,0.0959,0.096,0.096,0.096,29319,20,2814.5893,8569029,0.0,7.365224760508271e-05,9.89461274867302e-05,-2.5293879881647485e-05,0.0958356648020078,0.09543272727272728,0.09582697122721515,0.09579853139916726,,,0.0961711744421335,0.09583,0.0954888255578665,83.50211244528965,0.0001802190308334987
44,2023-09-28T07:15:00.000Z,2023-09-28T07:29:27.279Z,ALGO-USD,15MINS,0.096,0.0961,0.096,0.096,12469,5,1197.3448,8541692,0.0010427528675704956,8.19021534143316e-05,9.553733267225048e-05,-1.363517925791888e-05,0.09587218373489495,0.09545298701298702,0.09585168962332727,0.09581684672651569,,,0.09612724582987678,0.09581999999999999,0.0955127541701232,83.50211244528965,0.00017620807929182388
