,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:35:17.225Z,ATOM-USD,15MINS,6.935,6.942,6.937,6.942,576.2,3,3998.244,340472.9,-0.0007197351374693683,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:57:51.023Z,ATOM-USD,15MINS,6.947,6.954,6.949,6.947,1089.4,7,7573.106,340392.9,0.0036116729268997894,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:45.099Z,ATOM-USD,15MINS,6.888,6.941,6.941,6.922,8303.9,79,57354.6202,340389.1,-0.0015866147410933396,,,,,,,,,,,,,16.666666666666174,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:27:41.908Z,ATOM-USD,15MINS,6.906,6.933,6.919,6.933,14626.1,84,101180.5069,340869.1,-0.005308464849354322,,,,,,,,,,,,,51.92307692307669,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:18.448Z,ATOM-USD,15MINS,6.944,6.971,6.944,6.97,4673.7,42,32527.5657,346575.2,0.0011490950876185124,,,,,,,,,,,,,87.49999999999983,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:59:57.389Z,ATOM-USD,15MINS,6.958,6.972,6.972,6.962,1580.1,9,11002.8801,345352.1,-0.002149921169557145,,,,,,,,,,,,,66.28787878787867,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:13:57.572Z,ATOM-USD,15MINS,6.965,6.987,6.965,6.977,4415.5,36,30815.1285,345392.7,-0.005558722919042136,,,,,,,,,,,,,82.34126984127008,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:29:24.139Z,ATOM-USD,15MINS,6.983,7.019,6.983,7.016,5659,33,39663.4601,346612.7,0.0014273479874393757,,,,6.9586250000000005,,,,,,,,,94.92009132420088,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:44:33.737Z,ATOM-USD,15MINS,7.003,7.029,7.015,7.006,6532.3,44,45836.7286,345225.5,0.00042838783378562617,,,,6.969152777777778,,,,,,,,,69.52341137123783,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:59:57.482Z,ATOM-USD,15MINS,6.993,7.009,6.998,7.003,5397.8,36,37777.0663,346811.5,0.001430001430001493,,,,6.97667438271605,,,,,,,,,59.906340057636854,
