,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:39.029Z,AVAX-USD,15MINS,8.87,8.91,8.89,8.89,14416.2,74,128085.192,273075.5,0.0011261261261261701,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:54:05.231Z,AVAX-USD,15MINS,8.88,8.9,8.89,8.88,3549.1,34,31525.317,268377.4,0.0022573363431153126,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:25.456Z,AVAX-USD,15MINS,8.81,8.87,8.87,8.86,18951.5,198,167584.057,270765.6,-0.0022522522522524513,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:28:57.313Z,AVAX-USD,15MINS,8.85,8.88,8.86,8.88,6970.8,105,61767.551,270395.5,-0.0011248593925758943,,,,,,,,,,,,,57.14285714285787,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:11.237Z,AVAX-USD,15MINS,8.88,8.91,8.88,8.89,11292.3,83,100416.236,269657.5,0.0,,,,,,,,,,,,,72.72727272727244,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:56:24.410Z,AVAX-USD,15MINS,8.89,8.9,8.89,8.89,6280,69,55830.038,273689.6,-0.002244668911335568,,,,,,,,,,,,,72.72727272727244,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:13:23.226Z,AVAX-USD,15MINS,8.89,8.91,8.89,8.91,4924.1,29,43811.273,275112.2,-0.003355704697986517,,,,,,,,,,,,,93.02325581395317,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:28:08.518Z,AVAX-USD,15MINS,8.91,8.95,8.91,8.94,9225.1,69,82434.545,274905.0,0.0022421524663676085,,,,8.8925,,,,,,,,,97.84172661870491,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:43:50.622Z,AVAX-USD,15MINS,8.92,8.94,8.93,8.92,6418.6,32,57317.654,276918.7,-0.0022371364653243075,,,,8.89861111111111,,,,,,,,,50.93632958801501,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:59:59.573Z,AVAX-USD,15MINS,8.92,8.94,8.92,8.94,11479.9,71,102471.028,277554.6,0.0,,,,8.907808641975308,,,,,,,,,74.95219885277245,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:12:43.848Z,AVAX-USD,15MINS,8.93,8.94,8.94,8.94,3651.4,26,32609.011,276145.6,0.0011198208286673506,,,,8.914962277091906,,,,,,,,,74.95219885277245,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:37.852Z,AVAX-USD,15MINS,8.92,8.95,8.94,8.93,11567.7,80,103348.711,277104.1,0.005630630630630407,,,,8.918303993293705,,,,,,,,,37.87439613526571,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:57.682Z,AVAX-USD,15MINS,8.88,8.93,8.93,8.88,9524.3,82,84726.904,272232.7,-0.0022471910112359383,,,,8.909791994783992,,8.903846153846153,,,,,,,6.368805848903336,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:59:58.696Z,AVAX-USD,15MINS,8.87,8.91,8.89,8.9,4797.2,72,42631.857,268357.9,0.0,,,,8.907615995943106,,8.903296703296704,,,,,,,43.78109452736319,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:14:00.805Z,AVAX-USD,15MINS,8.89,8.9,8.9,8.9,6892.6,53,61306.823,267923.9,0.0011248593925758943,,,,8.905923552400193,,8.90282574568289,,,,,,,43.78109452736319,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:26:10.129Z,AVAX-USD,15MINS,8.89,8.89,8.89,8.89,1970.5,7,17517.745,268226.6,-0.0011235955056179137,,,,8.90238498520015,,8.90099349629962,,,,,,,24.334435829311932,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:40:47.505Z,AVAX-USD,15MINS,8.89,8.9,8.9,8.9,1518.4,16,13499.138,267559.6,-0.001122334455667784,,,,8.901854988489006,,8.900851568256817,,,,,,,59.93051368191345,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:59:42.599Z,AVAX-USD,15MINS,8.9,8.91,8.9,8.91,382.7,13,3407.996,268291.0,-0.0011210762331838042,,,,8.903664991047005,,8.902158487077271,,,,,,,79.35498187735779,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:11:39.146Z,AVAX-USD,15MINS,8.9,8.92,8.91,8.92,492.1,19,4383.337,268368.3,0.0011223344556676729,,,,8.90729499303656,,8.90470727463766,,,,,,,89.5178433272491,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:28:56.034Z,AVAX-USD,15MINS,8.9,8.91,8.91,8.91,3782.9,65,33702.767,268242.2,-0.0011210762331838042,,,,8.907896105695102,,8.905463378260851,,,,8.948000000000008,8.904,8.859999999999992,45.10773912483961,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:44:55.279Z,AVAX-USD,15MINS,8.92,8.93,8.92,8.92,3492.7,56,31155.442,268463.3,0.0,,,,8.91058585998508,,8.907540038509302,8.904761904761903,,,8.94953407771253,8.9055,8.86146592228747,72.4465039223174,0.024499999999999744
78,2023-09-27T22:45:00.000Z,2023-09-27T22:57:51.104Z,AVAX-USD,15MINS,8.92,8.93,8.92,8.92,7209.3,29,64307.235,269970.3,0.0011223344556676729,,,,8.912677891099506,,8.909320033007972,8.906147186147185,,,8.950336899982199,8.907499999999999,8.864663100017799,72.4465039223174,0.023774999999999748
77,2023-09-27T23:00:00.000Z,2023-09-27T23:14:04.218Z,AVAX-USD,15MINS,8.9,8.93,8.93,8.91,3961.1,48,35317.852,268559.9,0.0,,,,8.912082804188504,,8.909417171149691,8.906497441951986,,,8.94687817783194,8.909999999999998,8.873121822168057,24.21197734746397,0.02408624999999973
76,2023-09-27T23:15:00.000Z,2023-09-27T23:29:01.823Z,AVAX-USD,15MINS,8.9,8.91,8.9,8.91,1190.8,37,10601.092,269835.8,-0.0011210762331838042,,,,8.911619958813281,,8.90950043241402,8.906815856319987,,,8.945719877267019,8.911499999999998,8.877280122732978,24.21197734746397,0.023381937499999735
75,2023-09-27T23:30:00.000Z,2023-09-27T23:42:54.184Z,AVAX-USD,15MINS,8.91,8.93,8.91,8.92,2480.6,54,22114.724,270276.7,0.0,,,,8.913482190188107,,8.91100037064059,8.908014414836352,,,8.94592415526877,8.912999999999998,8.880075844731227,79.31086781643364,0.023212840624999724
