,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:55.580Z,BCH-USD,15MINS,225.7,227.5,226.4,227.3,214.64,44,48584.16,12312.49,-0.0004397537379067229,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:58:51.736Z,BCH-USD,15MINS,227.1,228.0,227.4,227.4,104.48,23,23767.255,12309.60,0.002203613926839987,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:30.042Z,BCH-USD,15MINS,225.2,227.1,226.9,226.9,466.58,83,105559.355,12307.26,-0.0026373626373625836,,,,,,,,,,,,,16.66666666666588,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:28:02.537Z,BCH-USD,15MINS,226.7,227.9,226.8,227.5,138.04,41,31371.541,12267.11,-0.006116207951070374,,,,,,,,,,,,,72.22222222222196,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:22.182Z,BCH-USD,15MINS,228.0,229.0,228.0,228.9,208.05,48,47559.758,12219.70,0.002189141856392185,,,,,,,,,,,,,93.24324324324324,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:59:57.636Z,BCH-USD,15MINS,228.2,228.9,228.8,228.4,124.01,23,28342.206,12229.28,-0.003490401396160525,,,,,,,,,,,,,60.526315789473706,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:13:51.970Z,BCH-USD,15MINS,228.3,229.3,228.4,229.2,153.32,31,35082.227,12219.89,-0.003478260869565264,,,,,,,,,,,,,81.40495867768574,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:29:49.378Z,BCH-USD,15MINS,229.2,230.2,229.2,230.0,2719.3,229,625349.776,12239.36,0.004366812227074135,,,,228.20000000000002,,,,,,,,,90.96385542168677,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:43:09.666Z,BCH-USD,15MINS,228.9,230.3,230.1,229.0,1642.74,375,377782.067,13939.64,-0.003481288076588429,,,,228.3777777777778,,,,,,,,,39.80667838312834,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:59:59.690Z,BCH-USD,15MINS,229.1,230.0,229.2,229.8,593.24,96,136322.588,13884.57,0.00043535045711817766,,,,228.69382716049384,,,,,,,,,68.31637372802983,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:14:55.780Z,BCH-USD,15MINS,228.9,229.7,229.6,229.7,324.38,108,74332.026,14020.62,-0.0060579835569017915,,,,228.91742112482854,,,,,,,,,61.083540115796964,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:44.027Z,BCH-USD,15MINS,229.8,232.4,229.8,231.1,1488.09,167,343942.366,13999.99,0.011378555798686962,,,,229.4024386526444,,,,,,,,,90.183601084915,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:38.076Z,BCH-USD,15MINS,228.1,231.1,230.9,228.5,647.77,250,148582.061,14359.58,-0.005224205485415689,,,,229.20189672983454,,228.74615384615387,,,,,,,23.87462027064356,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:59:27.683Z,BCH-USD,15MINS,228.1,229.8,228.6,229.7,383.32,56,87821.778,14297.48,0.003933566433566238,,,,229.31258634542687,,228.88241758241762,,,,,,,54.65238706281037,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:14:00.123Z,BCH-USD,15MINS,228.6,229.7,229.5,228.8,246.4,55,56481.084,14259.20,0.0,,,,229.19867826866533,,228.87064364207225,,,,,,,34.020481310804094,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:29:54.810Z,BCH-USD,15MINS,228.5,228.9,228.8,228.8,96.81,20,22147.049,14210.32,0.005272407732864748,,,,229.1100830978508,,228.8605516932048,,,,,,,34.020481310804094,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:44:52.433Z,BCH-USD,15MINS,227.5,228.7,228.4,227.6,181.73,35,41415.849,14209.42,-0.002629272567922891,,,,228.77450907610617,,228.68047287988983,,,,,,,11.289752530092512,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:59:45.333Z,BCH-USD,15MINS,227.5,228.6,227.8,228.2,186.96,45,42646.437,14179.62,-0.0021862702229995534,,,,228.64684039252703,,228.61183389704843,,,,,,,46.82112837311976,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:12:31.644Z,BCH-USD,15MINS,228.2,228.7,228.2,228.7,139.76,24,31942.365,14142.88,-0.0034858387799564516,,,,228.65865363863213,,228.62442905461293,,,,,,,68.10967251687725,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:29:31.627Z,BCH-USD,15MINS,228.7,229.5,228.8,229.5,1439.93,59,329875.216,14134.51,-0.0017398869073510514,,,,228.84561949671388,,228.74951061823967,,,,230.82701709187836,228.75,226.67298290812164,86.01928529576537,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:44:14.154Z,BCH-USD,15MINS,229.0,230.1,229.2,229.9,234.85,50,53930.578,14506.48,-0.0026030368763557687,,,,229.0799262752219,,228.91386624420542,228.80476190476188,,,230.90247373283694,228.87999999999997,226.857526267163,91.04718664278676,1.2750000000000057
78,2023-09-27T22:45:00.000Z,2023-09-27T22:59:46.039Z,BCH-USD,15MINS,229.7,230.5,230.0,230.5,187.84,36,43242.243,14443.47,0.004357298474945592,,,,229.3954982140615,,229.1404567807475,228.95887445887442,,,231.05517325988444,229.035,227.01482674011555,95.69347213015547,1.251250000000006
77,2023-09-27T23:00:00.000Z,2023-09-27T23:14:54.361Z,BCH-USD,15MINS,229.5,230.4,230.4,229.5,337.79,43,77609.84,14390.65,0.0017459624618070269,,,,229.41872083315894,,229.1918200977836,229.00806768988585,,,230.93844297904843,229.16500000000002,227.3915570209516,35.0536278494724,1.2386875000000057
76,2023-09-27T23:15:00.000Z,2023-09-27T23:29:01.947Z,BCH-USD,15MINS,228.8,229.4,229.4,229.1,127.09,17,29117.854,14377.06,0.00087374399300999,,,,229.34789398134583,,229.17870294095735,229.01642517262349,,,230.84684268889234,229.24500000000003,227.64315731110773,23.261296592360242,1.2117531250000049
75,2023-09-27T23:30:00.000Z,2023-09-27T23:41:42.102Z,BCH-USD,15MINS,228.4,228.9,228.9,228.9,141.13,26,32276.36,14428.50,-0.0017444395987789019,,,,229.24836198549121,,229.1388882351063,229.00584106602136,,,230.84684268889234,229.24500000000003,227.64315731110773,17.405830718282836,1.186165468750004
74,2023-09-27T23:45:00.000Z,2023-09-27T23:59:55.237Z,BCH-USD,15MINS,228.5,229.3,229.0,229.3,140.61,28,32193.68,14410.70,-0.00993091537132984,,,,229.2598370998265,,229.1619042015197,229.03258278729214,,,230.84422006160366,229.29000000000005,227.73577993839643,58.844956836419136,1.1668571953125044
73,2023-09-28T00:00:00.000Z,2023-09-28T00:14:49.460Z,BCH-USD,15MINS,227.8,232.5,229.2,231.6,878.17,210,202287.805,14488.61,-0.009409751924722043,,,,229.77987329986507,,229.51020360130258,229.26598435208376,,,231.26029727336064,229.41000000000008,227.55970272663953,93.92076839860887,1.3435143355468786
72,2023-09-28T00:15:00.000Z,2023-09-28T00:29:37.438Z,BCH-USD,15MINS,231.4,235.6,231.7,233.8,1348.9,348,315051.792,14238.61,0.00993520518358526,,,,230.67323478878396,,230.12303165825935,229.67816759280342,,,232.25781865442505,229.60000000000008,226.9421813455751,97.68890719961378,1.486338618769534
71,2023-09-28T00:30:00.000Z,2023-09-28T00:43:54.239Z,BCH-USD,15MINS,231.0,233.7,233.7,231.5,416.4,76,96466.43,14214.00,-0.0034438226431339203,,,,230.8569603912764,,230.31974142136517,229.84378872073037,,,232.49113448693896,229.72500000000008,226.9588655130612,42.546971582881184,1.552021687831058
70,2023-09-28T00:45:00.000Z,2023-09-28T00:59:57.670Z,BCH-USD,15MINS,231.5,233.4,231.5,232.3,235.49,41,54622.771,14216.85,-0.000430292598967319,,,,231.17763585988166,,230.6026355040273,230.06708065520942,,,232.8356322613168,229.85000000000008,226.86436773868337,58.74616067297658,1.5694206034395053
69,2023-09-28T01:00:00.000Z,2023-09-28T01:14:47.791Z,BCH-USD,15MINS,231.3,233.4,232.6,232.4,296.39,76,68822.416,14185.74,-0.004710920770877869,,,,231.44927233546352,,230.85940186059483,230.27916423200855,,,233.16888127916516,229.98500000000007,226.80111872083498,61.4626161222071,1.5959495732675297
68,2023-09-28T01:15:00.000Z,2023-09-28T01:29:48.034Z,BCH-USD,15MINS,231.6,233.6,232.4,233.5,228.82,43,53291.611,14193.14,0.0004284490145671782,,,,231.9049895942494,,231.23663016622413,230.57196748364413,,,233.61240644918965,230.10500000000008,226.5975935508105,84.26172825722634,1.6161520946041534
67,2023-09-28T01:30:00.000Z,2023-09-28T01:44:59.920Z,BCH-USD,15MINS,232.3,233.5,233.5,233.4,147.42,26,34380.709,14111.27,-0.0008561643835616195,,,,232.23721412886064,,231.54568299962068,230.8290613487674,,,234.05378185100693,230.35000000000005,226.64621814899317,76.07832490376538,1.5953444898739453
66,2023-09-28T01:45:00.000Z,2023-09-28T01:59:10.254Z,BCH-USD,15MINS,233.0,233.7,233.4,233.6,127.19,26,29690.768,14081.06,-0.004262574595055413,1.1999310823913163,0.7665706867884663,0.43336039560285,232.54005543355828,,231.83915685681774,231.08096486251583,,,234.49391124233784,230.54500000000007,226.5960887576623,82.77126543992132,1.5505772653802474
65,2023-09-28T02:00:00.000Z,2023-09-28T02:14:46.466Z,BCH-USD,15MINS,233.6,235.3,233.6,234.6,472.67,99,110915.782,14045.78,0.006435006435006496,1.3238071162536187,0.8780179726814967,0.44578914357212196,232.99782089276755,,232.23356302012948,231.40087714774165,,,235.07022136373143,230.8350000000001,226.59977863626875,95.46356313663304,1.5580484021112357
64,2023-09-28T02:15:00.000Z,2023-09-28T02:29:01.538Z,BCH-USD,15MINS,232.7,235.2,234.7,233.1,371.47,80,86652.282,14043.53,0.004741379310344795,1.2861167482967062,0.9596377278045386,0.3264790204921676,233.02052736104142,,232.35733973153955,231.5553428615833,,,235.28674403284384,231.0500000000001,226.81325596715635,29.73868048008679,1.6051459820056742
63,2023-09-28T02:30:00.000Z,2023-09-28T02:41:21.944Z,BCH-USD,15MINS,231.9,233.3,233.3,232.0,243.58,26,56624.398,14081.10,0.0025929127052721768,1.1541813688626803,0.998546456016167,0.15563491284651332,232.7937435030322,,232.30629119846247,231.59576623780302,,,235.214160240138,231.27000000000007,227.32583975986213,14.797037151195058,1.5948886829053908
