,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:58.098Z,BTC-USD,15MINS,26139.0,26206.0,26183.0,26197.0,209.5138,435,5483547.256,3542.2043,-0.000534126893289022,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:59:51.811Z,BTC-USD,15MINS,26194.0,26236.0,26199.0,26211.0,76.2608,246,1999291.8382,3494.3900,0.0020644569331345064,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:57.941Z,BTC-USD,15MINS,26093.0,26210.0,26210.0,26157.0,202.0632,821,5280199.9796,3486.1442,-0.0020221289584128055,,,,,,,,,,,,,20.588235294117645,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:29:55.097Z,BTC-USD,15MINS,26124.0,26215.0,26156.0,26210.0,97.4641,289,2551152.4144,3471.1558,-0.0017899988574475723,,,,,,,,,,,,,68.96551724137932,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:43.237Z,BTC-USD,15MINS,26211.0,26262.0,26211.0,26257.0,128.2238,280,3365346.1583,3471.3674,0.0011820330969267712,,,,,,,,,,,,,85.0828729281768,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:59:58.381Z,BTC-USD,15MINS,26226.0,26258.0,26258.0,26226.0,55.0347,138,1444333.9755,3476.7494,-0.0012947448591013044,,,,,,,,,,,,,50.49180327868853,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:14:37.397Z,BTC-USD,15MINS,26227.0,26272.0,26228.0,26260.0,74.8435,155,1964815.9842,3472.8558,-7.615566217344938e-05,,,,,,,,,,,,,73.83015597920277,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:29:50.455Z,BTC-USD,15MINS,26240.0,26273.0,26261.0,26262.0,131.8356,265,3461662.1002,3477.2534,0.0011436413540713009,,,,26222.5,,,,,,,,,75.20525451559934,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:44:56.283Z,BTC-USD,15MINS,26228.0,26267.0,26263.0,26232.0,142.9811,374,3753746.0322,3480.9950,-0.00045724737082764033,,,,26224.61111111111,,,,,,,,,29.190567240280433,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:59:59.573Z,BTC-USD,15MINS,26229.0,26244.0,26231.0,26244.0,65.0683,142,1707100.4827,3472.3578,0.0006481869828802722,,,,26228.91975308642,,,,,,,,,52.46041934103551,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:14:39.827Z,BTC-USD,15MINS,26226.0,26246.0,26246.0,26227.0,132.8393,223,3484459.3643,3477.5599,-0.0014848092591182027,,,,26228.493141289437,,,,,,,,,27.165964990028808,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:54.234Z,BTC-USD,15MINS,26228.0,26278.0,26228.0,26266.0,169.5008,612,4449449.2225,3451.6040,0.0021365890881344107,,,,26236.827998780675,,,,,,,,,77.32634338138925,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:57.337Z,BTC-USD,15MINS,26207.0,26266.0,26266.0,26210.0,200.7496,1309,5263689.6418,3401.3557,-0.0010671545087278522,,,,26230.866221273856,,26227.615384615383,,,,,,,25.967708309203363,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:59:59.400Z,BTC-USD,15MINS,26206.0,26265.0,26211.0,26238.0,127.8073,794,3352706.797,3313.7373,-0.00045714285714282266,,,,26232.451505435223,,26229.0989010989,,,,,,,55.514260658955195,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:14:00.662Z,BTC-USD,15MINS,26231.0,26258.0,26239.0,26250.0,59.1786,303,1553185.4117,3280.2353,-0.0011795593774970303,,,,26236.351170894064,,26232.084772370486,,,,,,,66.85335573602165,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:29:58.518Z,BTC-USD,15MINS,26253.0,26282.0,26254.0,26281.0,34.9269,87,917228.1973,3277.2801,0.001219094060726178,,,,26246.273132917606,,26239.072662031846,,,,,,,85.69382209827523,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:44:27.135Z,BTC-USD,15MINS,26219.0,26283.0,26283.0,26249.0,66.7406,146,1751602.4734,3266.8782,-0.0003427526848960305,,,,26246.87910338036,,26240.490853170155,,,,,,,39.427273307698485,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:59:53.468Z,BTC-USD,15MINS,26250.0,26258.0,26250.0,26258.0,9.2523,27,242906.2744,3239.6559,-0.0013691336426561174,,,,26249.35041374028,,26242.992159860132,,,,,,,53.53771684678977,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:14:36.644Z,BTC-USD,15MINS,26260.0,26294.0,26260.0,26294.0,45.1528,111,1186718.495,3239.5562,-0.0004561696951266292,,,,26259.27254402022,,26250.278994165827,,,,,,,83.77488978788409,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:29:49.267Z,BTC-USD,15MINS,26278.0,26314.0,26295.0,26306.0,91.6632,314,2409987.9054,3247.3588,0.0,,,,26269.65642312684,,26258.239137856424,,,,26309.681951245344,26241.75,26173.818048754656,88.68431167573976,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:44:47.415Z,BTC-USD,15MINS,26297.0,26334.0,26306.0,26306.0,140.7843,436,3703803.775,3269.1253,-0.0004179807728844631,,,,26277.732773543095,,26265.06211816265,26244.809523809523,,,26317.350124732333,26247.2,26177.04987526767,88.68431167573976,44.9
78,2023-09-27T22:45:00.000Z,2023-09-27T22:59:49.312Z,BTC-USD,15MINS,26289.0,26317.0,26306.0,26317.0,62.9595,295,1656064.3575,3249.2684,0.0007224884021599376,,,,26286.45882386685,,26272.481815567986,26251.372294372293,,,26326.803431953038,26252.5,26178.196568046962,94.63575780866832,44.055
77,2023-09-27T23:00:00.000Z,2023-09-27T23:14:59.979Z,BTC-USD,15MINS,26298.0,26346.0,26317.0,26298.0,118.7585,552,3126263.6394,3243.4661,0.00011409013120355915,,,,26289.023529674218,,26276.127270486846,26255.611176702085,,,26322.097501948974,26259.55,26197.002498051024,33.595640129657035,44.25225
76,2023-09-27T23:15:00.000Z,2023-09-27T23:29:57.267Z,BTC-USD,15MINS,26279.0,26299.0,26299.0,26295.0,72.3002,212,1900497.6228,3241.6565,-0.002692862019267217,,,,26290.351634191058,,26278.82337470301,26259.191978820076,,,26323.801999968735,26263.8,26203.798000031264,27.910671932549025,43.0396375
75,2023-09-27T23:30:00.000Z,2023-09-27T23:44:36.667Z,BTC-USD,15MINS,26292.0,26368.0,26295.0,26366.0,109.1975,341,2876489.2245,3221.0455,0.00037942024586423706,,,,26307.1623821486,,26291.277178316865,26268.90179892734,,,26343.823118481763,26269.25,26194.676881518237,91.99863209017877,44.687655625
74,2023-09-27T23:45:00.000Z,2023-09-27T23:59:55.670Z,BTC-USD,15MINS,26341.0,26365.0,26365.0,26356.0,56.2103,207,1481198.9571,3214.2254,-0.0017801007461273333,,,,26318.015186115575,,26300.523295700168,26276.819817206673,,,26356.516020083294,26275.75,26194.983979916706,73.57390969572755,43.70327284375
73,2023-09-28T00:00:00.000Z,2023-09-28T00:14:59.612Z,BTC-USD,15MINS,26343.0,26404.0,26356.0,26403.0,140.678,407,3708721.2052,3218.5642,-0.004486841113038209,,,,26336.900700312115,,26315.162824885858,26288.290742915156,,,26380.406717714555,26282.9,26185.393282285448,90.83240399442258,44.5681092015625
72,2023-09-28T00:15:00.000Z,2023-09-28T00:29:58.442Z,BTC-USD,15MINS,26380.0,26532.0,26403.0,26522.0,447.4787,1274,11839387.4496,3206.5239,0.002494708194738404,,,,26378.033878020535,,26344.71099275931,26309.53703901378,,,26437.94914642321,26295.9,26153.850853576794,97.87152202844767,49.93970374148437
71,2023-09-28T00:30:00.000Z,2023-09-28T00:44:48.559Z,BTC-USD,15MINS,26408.0,26542.0,26520.0,26456.0,182.4072,799,4827204.8474,3226.8140,0.0010973625458809977,,,,26395.359682904862,,26360.60942236512,26322.851853648892,,,26461.97401331417,26307.1,26152.225986685826,52.85478227374435,54.14271855441016
70,2023-09-28T00:45:00.000Z,2023-09-28T00:59:57.698Z,BTC-USD,15MINS,26407.0,26486.0,26456.0,26427.0,120.2029,436,3177743.6158,3234.5231,0.0015158979800660166,,,,26402.39086448156,,26370.093790598676,26332.319866953538,,,26476.655579702856,26316.25,26155.844420297144,37.640358569908535,55.385582626689654
69,2023-09-28T01:00:00.000Z,2023-09-28T01:14:47.841Z,BTC-USD,15MINS,26335.0,26437.0,26427.0,26387.0,169.5018,530,4470805.5798,3230.7848,-0.001778013164863479,,,,26398.970672374548,,26372.508963370292,26337.29078813958,,,26481.990134397714,26324.25,26166.509865602286,20.980334688849027,57.71630349535517
68,2023-09-28T01:15:00.000Z,2023-09-28T01:29:14.028Z,BTC-USD,15MINS,26356.0,26439.0,26388.0,26434.0,119.4387,312,3152755.6338,3221.0996,0.0013637396772483434,,,,26406.754967402427,,26381.293397174537,26346.082534672347,,,26494.91555395295,26332.65,26170.384446047054,61.26743401749335,58.98048832058741
67,2023-09-28T01:30:00.000Z,2023-09-28T01:44:55.690Z,BTC-USD,15MINS,26371.0,26434.0,26434.0,26398.0,63.6699,217,1681031.1714,3219.6785,-0.0012863196125908472,,,,26404.809419090776,,26383.680054721033,26350.802304247587,,,26496.39438765325,26342.05,26187.70561234675,34.40007976949045,59.18146390455804
66,2023-09-28T01:45:00.000Z,2023-09-28T01:59:49.238Z,BTC-USD,15MINS,26393.0,26440.0,26397.0,26432.0,79.1735,221,2091760.062,3220.5195,0.0006056935190792423,54.91269743509838,54.09753033486575,0.8151671002326282,26410.851770403937,,26390.5829040466,26358.18391295235,,,26503.0733293316,26351.75,26200.4266706684,64.120240173682,58.572390709330136
65,2023-09-28T02:00:00.000Z,2023-09-28T02:14:50.077Z,BTC-USD,15MINS,26416.0,26513.0,26431.0,26416.0,171.3213,446,4533272.7976,3234.9669,0.0014405944347561928,52.65664017834206,53.80935230356101,-1.1527121252189545,26411.995821425284,,26394.21391775423,26363.439920865774,,,26506.262824335136,26360.05,26213.837175664863,44.9524432204495,60.49377117386363
64,2023-09-28T02:15:00.000Z,2023-09-28T02:29:35.816Z,BTC-USD,15MINS,26372.0,26435.0,26419.0,26378.0,130.6008,361,3446950.8228,3241.7201,0.00026544310037546204,47.25765924864754,52.499013692578316,-5.241354443930774,26404.441194441886,,26391.89764378934,26364.763564423432,,,26506.67009557644,26364.9,26223.129904423564,18.575833355695664,60.61908261517044
63,2023-09-28T02:30:00.000Z,2023-09-28T02:44:12.229Z,BTC-USD,15MINS,26363.0,26391.0,26377.0,26371.0,82.3126,186,2171073.2244,3239.4230,0.00022757443580512238,41.93073505303619,50.38535796466989,-8.454622911633706,26397.009817899245,,26388.912266105148,26365.33051311221,,,26502.418415757424,26371.0,26239.581584242576,15.27395155533314,58.98812848441192
62,2023-09-28T02:45:00.000Z,2023-09-28T02:59:57.130Z,BTC-USD,15MINS,26345.0,26374.0,26371.0,26365.0,93.1711,215,2456326.905,3249.3123,0.0012152052557627968,36.80074333222365,47.66843503818065,-10.867691705957,26389.896525032746,,26385.496228090127,26365.300466465647,,,26497.22063332553,26376.35,26255.479366674466,11.706717782962713,57.48872206019132
61,2023-09-28T03:00:00.000Z,2023-09-28T03:14:47.443Z,BTC-USD,15MINS,26321.0,26374.0,26365.0,26333.0,101.6479,211,2677826.2417,3241.1014,-0.0007210078931390029,29.80943080643192,44.0966341918309,-14.287203385398982,26377.252852803245,,26377.996766934393,26362.364060423315,,,26494.97921837226,26378.3,26261.62078162774,3.3532058301238536,57.264285957181755
60,2023-09-28T03:15:00.000Z,2023-09-28T03:29:46.048Z,BTC-USD,15MINS,26323.0,26356.0,26333.0,26352.0,61.4082,154,1617107.8888,3211.7351,0.00015181417944432063,25.50786765025623,40.37888088351597,-14.871013233259738,26371.641107735857,,26374.282943086622,26361.421873112104,,,26493.231079193218,26380.6,26267.96892080678,47.68381143547257,56.051071659322666
59,2023-09-28T03:30:00.000Z,2023-09-28T03:43:55.207Z,BTC-USD,15MINS,26341.0,26356.0,26351.0,26348.0,39.2309,73,1033644.12,3212.3810,-0.00045523520485579727,21.52792081678126,36.608688870169026,-15.080768053387764,26366.387528239,,26370.52823693139,26360.201702829185,,,26491.178753679542,26382.7,26274.22124632046,39.96526837715763,53.99851807635654
58,2023-09-28T03:45:00.000Z,2023-09-28T03:58:47.859Z,BTC-USD,15MINS,26344.0,26361.0,26355.0,26360.0,58.845,112,1550951.5924,3212.5819,0.0010633449794925642,19.121661379536818,33.111283372042585,-13.989621992505768,26364.96807751922,,26369.02420308405,26360.183366208348,,,26489.678001985747,26384.85,26280.02199801425,69.54430877257968,52.14859217253871
57,2023-09-28T04:00:00.000Z,2023-09-28T04:14:25.401Z,BTC-USD,15MINS,26326.0,26379.0,26358.0,26332.0,52.7523,119,1390447.418,3223.0376,-0.0015546202555644095,14.78488647708582,29.44600399305123,-14.661117515965412,26357.641838070504,,26363.7350312149,26357.62124200759,,,26486.686856353408,26386.55,26286.41314364659,21.078752816002034,52.19116256391178
56,2023-09-28T04:15:00.000Z,2023-09-28T04:29:25.935Z,BTC-USD,15MINS,26325.0,26374.0,26327.0,26373.0,73.032,162,1924697.5525,3224.0602,-0.0010227272727272307,14.48929489850343,26.45466217414167,-11.96536727563824,26361.054762943724,,26365.058598184198,26359.01931091599,,,26481.702342437045,26390.45,26299.197657562956,74.04697554676058,52.03160443571619
55,2023-09-28T04:30:00.000Z,2023-09-28T04:44:59.686Z,BTC-USD,15MINS,26361.0,26400.0,26373.0,26400.0,51.7507,109,1365120.6005,3224.7048,-0.0009082652134423386,16.246432038948114,24.413016147102958,-8.166584108154844,26369.709260067342,,26370.05022701503,26362.744828105446,,,26482.78172733462,26392.15,26301.518272665384,86.22419824818552,51.38002421393038
