,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:29.999Z,CELO-USD,15MINS,0.443,0.444,0.443,0.444,4393,7,1947.629,468200,0.0022573363431150906,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:55:19.888Z,CELO-USD,15MINS,0.443,0.443,0.443,0.443,3033,3,1343.619,468170,0.0045351473922903285,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:13:57.466Z,CELO-USD,15MINS,0.439,0.442,0.442,0.441,26609,27,11726.305,467087,-0.002262443438914019,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:19:01.137Z,CELO-USD,15MINS,0.442,0.442,0.442,0.442,20,2,8.84,465676,-0.0022573363431150906,,,,,,,,,,,,,40.0,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:36:11.862Z,CELO-USD,15MINS,0.442,0.443,0.442,0.443,9244,5,4094.955,465813,-0.0022522522522522292,,,,,,,,,,,,,66.66666666666666,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:54:12.703Z,CELO-USD,15MINS,0.444,0.444,0.444,0.444,7157,4,3177.708,470662,0.0022573363431150906,,,,,,,,,,,,,82.35294117647058,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:13:55.662Z,CELO-USD,15MINS,0.443,0.443,0.443,0.443,3363,6,1489.809,467676,-0.0022522522522522292,,,,,,,,,,,,,42.42424242424242,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:25:22.719Z,CELO-USD,15MINS,0.443,0.444,0.443,0.444,13682,8,6073.584,465726,0.004524886877828038,,,,0.443,,,,,,,,,70.76923076923077,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:40:52.459Z,CELO-USD,15MINS,0.442,0.443,0.443,0.442,18522,14,8205.226,467626,0.0,,,,0.44277777777777777,,,,,,,,,23.83419689119171,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:45:00.000Z,CELO-USD,15MINS,0.442,0.442,0.442,0.442,0,0,0,469811,-0.0022573363431150906,,,,0.4426049382716049,,,,,,,,,23.83419689119171,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:12:41.091Z,CELO-USD,15MINS,0.442,0.443,0.443,0.443,8672,9,3841.514,469811,-0.0022522522522522292,,,,0.4426927297668038,,,,,,,,,67.26057906458797,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:28:06.444Z,CELO-USD,15MINS,0.444,0.444,0.444,0.444,2766,1,1228.104,469569,0.006802721088435382,,,,0.4429832342630696,,,,,,,,,84.70343392299688,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:39:59.850Z,CELO-USD,15MINS,0.441,0.443,0.443,0.441,12439,12,5506.86,467687,0.0,,,,0.44254251553794305,,0.4427692307692307,,,,,,,20.183486238532108,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:55:36.786Z,CELO-USD,15MINS,0.44,0.441,0.44,0.441,9055,9,3989.57,467975,-0.002262443438914019,,,,0.44219973430728904,,0.4425164835164834,,,,,,,20.183486238532108,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:11:12.078Z,CELO-USD,15MINS,0.442,0.442,0.442,0.442,15882,12,7019.844,469878,0.0,,,,0.44215534890566927,,0.4424427001569858,,,,,,,60.40103333743387,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:24:00.275Z,CELO-USD,15MINS,0.442,0.442,0.442,0.442,51538,15,22779.796,470120,0.0,,,,0.4421208269266316,,0.4423794572774164,,,,,,,60.40103333743387,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:44:10.728Z,CELO-USD,15MINS,0.442,0.442,0.442,0.442,20353,6,8996.026,482900,0.0,,,,0.44209397649849125,,0.4423252490949283,,,,,,,60.40103333743387,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:52:21.948Z,CELO-USD,15MINS,0.442,0.442,0.442,0.442,22276,7,9845.992,466853,0.0,,,,0.44207309283215984,,0.44227878493851,,,,,,,60.40103333743387,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:13:56.528Z,CELO-USD,15MINS,0.442,0.443,0.443,0.442,4889,9,2163.866,467783,-0.0022573363431150906,,,,0.44205684998056877,,0.44223895851872286,,,,,,,60.40103333743387,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:28:40.503Z,CELO-USD,15MINS,0.442,0.443,0.443,0.443,5515,12,2443.115,468125,-0.004494382022471877,,,,0.4422664388737757,,0.44234767873033387,,,,0.44444935886896136,0.4425,0.44055064113103864,97.68751661266802,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:36:35.426Z,CELO-USD,15MINS,0.444,0.445,0.444,0.445,7342,5,3263.73,471796,0.0022522522522523403,,,,0.44287389690182555,,0.4427265817688576,0.44261904761904763,,,0.4446924285286338,0.44254999999999994,0.4404075714713661,99.51483747281416,0.001150000000000001
78,2023-09-27T22:45:00.000Z,2023-09-27T22:55:33.933Z,CELO-USD,15MINS,0.444,0.445,0.444,0.444,7102,9,3158.85,473065,0.0,,,,0.4431241420347532,,0.4429084986590208,0.4427445887445888,,,0.44482710574514406,0.4426,0.44037289425485593,55.58871741075977,0.001142500000000001
77,2023-09-27T23:00:00.000Z,2023-09-27T23:11:17.054Z,CELO-USD,15MINS,0.444,0.445,0.445,0.444,16023,9,7129.7,478217,-0.0022471910112359383,,,,0.4433187771381414,,0.44306442742201785,0.44285871704053525,,,0.4449294494717699,0.44275000000000003,0.4405705505282302,55.58871741075977,0.001135375000000001
