,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:42:34.978Z,COMP-USD,15MINS,40.1,40.2,40.2,40.1,214.82,13,8627.187,18308.41,-0.0024875621890547706,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:57:48.862Z,COMP-USD,15MINS,40.1,40.3,40.2,40.2,329.08,26,13227.785,18357.45,0.0024937655860348684,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:21.132Z,COMP-USD,15MINS,39.9,40.1,40.1,40.1,586.36,38,23476.244,18396.94,-0.0024875621890547706,,,,,,,,,,,,,50.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:29:39.593Z,COMP-USD,15MINS,40.1,40.2,40.2,40.2,458.08,26,18397.791,18342.00,-0.002481389578163684,,,,,,,,,,,,,75.0,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:21.473Z,COMP-USD,15MINS,40.2,40.3,40.2,40.3,398.7,20,16053.086,18297.78,0.0024875621890545485,,,,,,,,,,,,,87.49999999999956,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:58:41.517Z,COMP-USD,15MINS,40.2,40.3,40.3,40.2,343.73,25,13834.528,18290.69,-0.002481389578163684,,,,,,,,,,,,,43.750000000000554,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:09:49.477Z,COMP-USD,15MINS,40.2,40.3,40.2,40.3,315.6,29,12708.247,18217.47,-0.0024752475247524774,,,,,,,,,,,,,71.87500000000003,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:27:06.150Z,COMP-USD,15MINS,40.3,40.4,40.3,40.4,261.54,26,10554.076,18165.10,0.0,,,,40.225,,,,,,,,,85.93750000000045,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:40:34.449Z,COMP-USD,15MINS,40.4,40.4,40.4,40.4,499.1,39,20163.64,18368.51,0.002481389578163906,,,,40.26388888888889,,,,,,,,,85.93750000000045,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:57:35.325Z,COMP-USD,15MINS,40.3,40.3,40.3,40.3,37.45,3,1509.235,18301.23,-0.004938271604938316,,,,40.27191358024692,,,,,,,,,28.645833333332888,
