,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:43:49.727Z,CRV-USD,15MINS,0.5147,0.5176,0.5166,0.5174,93123,132,48053.8238,6361019,0.0005801585766775919,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:59:54.381Z,CRV-USD,15MINS,0.5168,0.5179,0.5178,0.5171,152234,166,78746.1266,6385579,0.0031037827352087266,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:56.341Z,CRV-USD,15MINS,0.5131,0.5167,0.5167,0.5155,323429,378,166565.2363,6388122,-0.0003878223773513545,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:28:41.113Z,CRV-USD,15MINS,0.5141,0.5158,0.5155,0.5157,134653,198,69358.6544,6430995,-0.0015488867376571847,,,,,,,,,,,,,17.391304347832385,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:15.181Z,CRV-USD,15MINS,0.5156,0.5179,0.5157,0.5165,157399,161,81314.5416,6446166,0.0005811700891127369,,,,,,,,,,,,,65.45454545454422,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:59:20.297Z,CRV-USD,15MINS,0.5159,0.5176,0.5167,0.5162,238485,168,123237.052,6457509,-0.0023192887514494887,,,,,,,,,,,,,45.56962025316481,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:13:08.779Z,CRV-USD,15MINS,0.5162,0.5176,0.5162,0.5174,91913,81,47512.187,6396235,-0.0009654373431164931,,,,,,,,,,,,,84.13284132841376,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:29:59.758Z,CRV-USD,15MINS,0.5175,0.5189,0.5175,0.5179,130467,147,67578.6432,6393299,0.004655674102812979,,,,0.5167124999999999,,,,,,,,,90.02320185614931,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:43:58.857Z,CRV-USD,15MINS,0.5155,0.5179,0.5179,0.5155,166099,181,85813.8634,6413027,-0.00019394879751744032,,,,0.5164430555555555,,,,,,,,,19.725470259278193,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:59:49.264Z,CRV-USD,15MINS,0.5145,0.5164,0.5152,0.5156,269707,192,138919.5828,6413483,-0.0011623401782255849,,,,0.5162557098765431,,,,,,,,,24.63007159904481,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:14:21.698Z,CRV-USD,15MINS,0.5147,0.5164,0.5157,0.5162,130932,155,67474.8016,6353540,-0.0025120772946859438,,,,0.516243329903978,,,,,,,,,56.51335720187348,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:43.194Z,CRV-USD,15MINS,0.5157,0.5184,0.5161,0.5175,227137,275,117402.6575,6366535,0.005830903790087438,,,,0.5165225899253162,,,,,,,,,84.65052979488632,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:27.105Z,CRV-USD,15MINS,0.5145,0.5176,0.5172,0.5145,213521,199,110106.2835,6341408,-0.0005827505827507018,,,,0.5160731254974681,,0.5163846153846153,,,,,,,21.235398834345222,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:58:27.627Z,CRV-USD,15MINS,0.5135,0.515,0.5145,0.5148,208626,209,107286.7562,6383856,-0.002132196162046851,,,,0.5157902087202529,,0.5161582417582418,,,,,,,31.498801722128988,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:14:56.344Z,CRV-USD,15MINS,0.5145,0.5159,0.5148,0.5159,157908,186,81364.7673,6379522,0.0038918077446974397,,,,0.515814606782419,,0.5161213500784929,,,,,,,64.97120609064426,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:27:34.827Z,CRV-USD,15MINS,0.5138,0.5159,0.5159,0.5139,109455,70,56323.3993,6376655,0.0011689070718878813,,,,0.5153891386085481,,0.515804014352994,,,,,,,23.39726690802892,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:44:10.681Z,CRV-USD,15MINS,0.5129,0.5138,0.5135,0.5133,57542,60,29538.4065,6381044,-0.0019443904335990636,,,,0.5149248855844263,,0.5154462980168519,,,,,,,16.906400715674476,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:56:51.818Z,CRV-USD,15MINS,0.5131,0.5143,0.5134,0.5143,32325,16,16596.9707,6382310,-0.005607115235885529,,,,0.5147860221212205,,0.5152825411573017,,,,,,,56.82850193026363,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:13:02.784Z,CRV-USD,15MINS,0.5145,0.5172,0.5145,0.5172,101985,33,52616.3023,6372065,0.0021313698895562005,,,,0.5153224616498382,,0.5155564638491157,,,,,,,88.59885966525636,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:28:58.732Z,CRV-USD,15MINS,0.5153,0.5175,0.5175,0.5161,66262,62,34223.7416,6355650,-0.0011612154054577717,,,,0.5154952479498741,,0.5156341118706705,,,,0.5184428363727739,0.515925,0.513407163627226,56.85694172524543,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:44:52.084Z,CRV-USD,15MINS,0.5157,0.5168,0.5161,0.5167,51525,64,26607.9158,6344782,-0.00019349845201233062,,,,0.5157629706276798,,0.5157863816034319,0.5159619047619047,,,0.5183434873140119,0.51589,0.513436512685988,68.98046551946925,0.0019450000000000023
78,2023-09-27T22:45:00.000Z,2023-09-27T22:59:47.663Z,CRV-USD,15MINS,0.5158,0.5175,0.5168,0.5168,127914,111,66065.2408,6339522,-0.0025091681142636046,,,,0.5159934215993065,,0.5159311842315131,0.5160380952380952,,,0.5183022412322246,0.5158750000000001,0.5134477587677756,71.63718678321547,0.0019327499999999983
77,2023-09-27T23:00:00.000Z,2023-09-27T23:14:55.870Z,CRV-USD,15MINS,0.5162,0.5184,0.5169,0.5181,194265,227,100455.1853,6358033,0.000386174937246464,,,,0.5164615501327939,,0.5162410150555826,0.5162255411255411,,,0.518609976007466,0.516005,0.5134000239925341,91.21027497231171,0.0019461124999999974
76,2023-09-27T23:15:00.000Z,2023-09-27T23:29:52.207Z,CRV-USD,15MINS,0.5166,0.5181,0.5181,0.5179,99146,119,51283.8285,6355879,-0.00019305019305015936,,,,0.5167812056588398,,0.5164780129047851,0.5163777646595828,,,0.5188421046916012,0.5161150000000001,0.513387895308399,75.2350524866875,0.0019238068750000003
75,2023-09-27T23:30:00.000Z,2023-09-27T23:44:49.773Z,CRV-USD,15MINS,0.5167,0.5185,0.5176,0.518,152060,171,78688.4493,6358108,0.0023219814241486336,,,,0.5170520488457643,,0.516695439632673,0.5165252405996208,,,0.5190352767877725,0.5161900000000001,0.5133447232122278,78.92608864132431,0.0019176165312499958
74,2023-09-27T23:45:00.000Z,2023-09-27T23:59:21.047Z,CRV-USD,15MINS,0.5168,0.5179,0.5179,0.5168,94005,151,48620.3596,6365786,-0.0034708831469338897,,,,0.51699603799115,,0.5167103768280054,0.516550218726928,,,0.5190776913757261,0.5162200000000001,0.5133623086242741,17.243966730429854,0.0018817357046874948
73,2023-09-28T00:00:00.000Z,2023-09-28T00:14:55.537Z,CRV-USD,15MINS,0.5154,0.5186,0.517,0.5186,167582,207,86563.0436,6360846,0.003094777562862472,,,,0.5173524739931167,,0.5169803229954332,0.5167365624790254,,,0.5192810664769584,0.5162800000000001,0.5132789335230418,75.25647123701647,0.0019476489194531189
72,2023-09-28T00:15:00.000Z,2023-09-28T00:29:44.576Z,CRV-USD,15MINS,0.5169,0.5188,0.5187,0.517,495055,500,256263.8885,6363113,0.00038699690402466125,,,,0.5172741464390908,,0.5169831339960855,0.5167605113445686,,,0.5191636686394288,0.516235,0.5133063313605712,33.50340518576026,0.0019452664734804636
71,2023-09-28T00:30:00.000Z,2023-09-28T00:44:53.531Z,CRV-USD,15MINS,0.5158,0.5176,0.517,0.5168,76266,123,39395.3457,6346702,-0.0001934610176049789,,,,0.5171687805637373,,0.5169569719966447,0.5167641012223351,,,0.5192182186346511,0.5163,0.5133817813653488,29.422437303733773,0.001938003149806436
70,2023-09-28T00:45:00.000Z,2023-09-28T00:59:55.044Z,CRV-USD,15MINS,0.5167,0.5175,0.5168,0.5169,95892,112,49585.5252,6351033,0.0027158098933075525,,,,0.5171090515495734,,0.5169488331399812,0.5167764556566683,,,0.5192758589796115,0.5163650000000001,0.5134541410203887,37.08585544924055,0.0018811029923161097
69,2023-09-28T01:00:00.000Z,2023-09-28T01:14:07.292Z,CRV-USD,15MINS,0.5144,0.5174,0.5169,0.5155,172673,188,89077.9759,6346221,-0.005018336228527431,,,,0.5167514845385571,,0.5167418569771267,0.5166604142333349,,,0.5192646890805307,0.5163300000000001,0.5133953109194694,9.17902600605315,0.0019370478427003044
68,2023-09-28T01:15:00.000Z,2023-09-28T01:29:40.651Z,CRV-USD,15MINS,0.515,0.5181,0.5154,0.5181,116571,168,60186.9697,6346127,0.0027095026127346156,,,,0.5170511546411,,0.5169358774089657,0.5167912856666681,,,0.5193535931586699,0.51636,0.5133664068413302,76.06807973506923,0.001995195450565289
67,2023-09-28T01:30:00.000Z,2023-09-28T01:44:50.945Z,CRV-USD,15MINS,0.5153,0.5181,0.5179,0.5167,173182,199,89490.7554,6349180,-0.00019349845201233062,,,,0.5169731202764111,,0.5169021806362564,0.5167829869696983,,,0.5193413063227625,0.5164700000000001,0.5135986936772376,42.42155713500926,0.0020354356780370258
66,2023-09-28T01:45:00.000Z,2023-09-28T01:59:53.006Z,CRV-USD,15MINS,0.5164,0.5177,0.5166,0.5168,141927,153,73378.7211,6363876,-0.0005801585766775919,0.00016874132507194162,0.00015251190686462992,1.62294182073117e-05,0.5169346491038753,,0.5168875834025055,0.5167845336088166,,,0.5193391876063599,0.5165700000000001,0.5138008123936403,45.84362990508908,0.0019986638941351786
