,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:43:14.429Z,DOGE-USD,15MINS,0.0604,0.0604,0.0604,0.0604,616890,15,37260.156,54350000,-0.0016528925619834212,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:55:32.856Z,DOGE-USD,15MINS,0.0605,0.0605,0.0605,0.0605,394510,13,23867.855,54274530,0.0033167495854062867,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:12:31.021Z,DOGE-USD,15MINS,0.0601,0.0604,0.0604,0.0603,995650,48,60007.82,54265810,-0.0016556291390729116,,,,,,,,,,,,,33.33333333333256,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:28:57.274Z,DOGE-USD,15MINS,0.0603,0.0604,0.0603,0.0604,457180,9,27612.279,54281850,-0.0016528925619834212,,,,,,,,,,,,,60.00000000000028,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:08.715Z,DOGE-USD,15MINS,0.0604,0.0605,0.0604,0.0605,162910,19,9856.013,54175010,0.0,,,,,,,,,,,,,77.77777777777753,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:45:00.000Z,DOGE-USD,15MINS,0.0605,0.0605,0.0605,0.0605,0,0,0,54066620,0.0016556291390728006,,,,,,,,,,,,,77.77777777777753,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:00:32.004Z,DOGE-USD,15MINS,0.0604,0.0604,0.0604,0.0604,5680,1,343.072,54066620,-0.0016528925619834212,,,,,,,,,,,,,28.000000000000323,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:24:42.474Z,DOGE-USD,15MINS,0.0605,0.0605,0.0605,0.0605,279520,11,16910.96,54066620,0.0,,,,0.060437500000000005,,,,,,,,,68.42105263157893,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:40:40.374Z,DOGE-USD,15MINS,0.0605,0.0605,0.0605,0.0605,581110,7,35157.155,53973030,0.0016556291390728006,,,,0.060451388888888895,,,,,,,,,68.42105263157893,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:50:06.896Z,DOGE-USD,15MINS,0.0604,0.0604,0.0604,0.0604,8240,1,497.696,54478560,0.0,,,,0.06043996913580248,,,,,,,,,21.08108108108113,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:04:42.556Z,DOGE-USD,15MINS,0.0604,0.0605,0.0605,0.0604,1050,2,63.502,54478560,-0.0016528925619834212,,,,0.06043108710562415,,,,,,,,,21.08108108108113,
