,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:24.221Z,DOT-USD,15MINS,3.99,3.99,3.99,3.99,1917.6,7,7651.224,632179.9,-0.0024999999999999467,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:52:03.167Z,DOT-USD,15MINS,4.0,4.0,4.0,4.0,5176,11,20704,631179.9,0.0025062656641603454,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:11:48.451Z,DOT-USD,15MINS,3.98,4.0,4.0,3.99,20294.2,44,81125.466,632688.0,0.0,,,,,,,,,,,,,50.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:21:57.515Z,DOT-USD,15MINS,3.98,3.99,3.99,3.99,9602.9,20,38314.071,637562.3,-0.0024999999999999467,,,,,,,,,,,,,50.0,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:41:51.214Z,DOT-USD,15MINS,4.0,4.0,4.0,4.0,27264.1,53,109056.4,639783.4,0.0,,,,,,,,,,,,,83.33333333333334,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:48:59.383Z,DOT-USD,15MINS,4.0,4.0,4.0,4.0,5997.4,9,23989.6,634166.4,0.0,,,,,,,,,,,,,83.33333333333334,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:07:37.322Z,DOT-USD,15MINS,3.99,4.0,3.99,4.0,4393.5,10,17567.785,632782.9,0.0,,,,,,,,,,,,,83.33333333333334,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:29:11.375Z,DOT-USD,15MINS,4.0,4.0,4.0,4.0,34820.4,36,139281.6,635717.0,0.0,,,,3.99625,,,,,,,,,83.33333333333334,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:30:08.821Z,DOT-USD,15MINS,4.0,4.0,4.0,4.0,10515.4,12,42061.6,640210.8,0.0025062656641603454,,,,3.9970833333333333,,,,,,,,,83.33333333333334,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:51:46.743Z,DOT-USD,15MINS,3.98,3.99,3.99,3.99,85809,64,341964.503,639455.3,0.0,,,,3.995509259259259,,,,,,,,,3.731343283582089,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:13:52.104Z,DOT-USD,15MINS,3.99,3.99,3.99,3.99,1628.7,8,6498.513,620313.1,-0.0024999999999999467,,,,3.994284979423868,,,,,,,,,3.731343283582089,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:32.746Z,DOT-USD,15MINS,3.99,4.0,3.99,4.0,57405.7,80,229050.749,621188.5,0.005025125628140614,,,,3.995554983996342,,,,,,,,,80.03095975232199,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:46.003Z,DOT-USD,15MINS,3.98,3.99,3.99,3.98,21091.2,39,83965.971,642159.0,0.0,,,,3.992098320886044,,3.9946153846153845,,,,,,,19.190794357831898,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:53:06.075Z,DOT-USD,15MINS,3.98,3.98,3.98,3.98,13088,35,52090.24,640263.4,0.0,,,,3.98940980513359,,3.992527472527472,,,,,,,19.190794357831898,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:10:51.957Z,DOT-USD,15MINS,3.98,3.99,3.99,3.98,8940.4,23,35582.807,642001.5,0.0025188916876572875,,,,3.987318737326125,,3.9907378335949764,,,,,,,19.190794357831898,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:27:11.352Z,DOT-USD,15MINS,3.97,3.98,3.98,3.97,5190.3,15,20655.644,643361.0,0.0,,,,3.983470129031431,,3.987775285938551,,,,,,,4.7492191805989155,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:34:04.953Z,DOT-USD,15MINS,3.97,3.97,3.97,3.97,15.6,2,61.932,646232.1,-0.002512562814070307,,,,3.9804767670244465,,3.985235959375901,,,,,,,4.7492191805989155,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:56:45.866Z,DOT-USD,15MINS,3.97,3.98,3.97,3.98,2759.4,7,10954.864,646246.4,0.0,,,,3.980370818796792,,3.9844879651793437,,,,,,,76.24730837952987,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:13:24.606Z,DOT-USD,15MINS,3.98,3.98,3.98,3.98,1262.2,3,5023.556,649001.2,0.0,,,,3.980288414619727,,3.9838468272965804,,,,,,,76.24730837952987,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:28:47.201Z,DOT-USD,15MINS,3.98,3.98,3.98,3.98,54.2,3,215.716,648522.0,0.0,,,,3.9802243224820097,,3.983297280539926,,,,4.008773134931831,3.9885000000000006,3.9682268650681705,76.24730837952987,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:36:10.240Z,DOT-USD,15MINS,3.98,3.98,3.98,3.98,4747.9,14,18896.642,648467.8,0.0,,,,3.980174473041563,,3.9828262404627934,3.9880952380952386,,,4.008591260280826,3.988000000000001,3.967408739719176,76.24730837952987,0.006999999999999962
78,2023-09-27T22:45:00.000Z,2023-09-27T22:45:00.000Z,DOT-USD,15MINS,3.98,3.98,3.98,3.98,0,0,0,650695.2,0.0,,,,3.9801357012545493,,3.9824224918252513,3.987359307359308,,,4.007099751241085,3.987000000000001,3.9669002487589173,76.24730837952987,0.006649999999999964
77,2023-09-27T23:00:00.000Z,2023-09-27T23:13:52.934Z,DOT-USD,15MINS,3.98,3.99,3.98,3.98,5446.5,18,21729.014,650695.2,0.0,,,,3.980105545420205,,3.9820764215645013,3.9866902794175525,,,4.006773134930955,3.9865000000000017,3.9662268650690478,76.24730837952987,0.006817499999999978
76,2023-09-27T23:15:00.000Z,2023-09-27T23:29:14.576Z,DOT-USD,15MINS,3.97,3.98,3.98,3.98,17032.4,51,67788.939,655840.5,-0.0025062656641604564,,,,3.9800820908823815,,3.9817797899124296,3.986082072197775,,,4.0063960780523145,3.986000000000002,3.965603921947689,76.24730837952987,0.006976624999999968
75,2023-09-27T23:30:00.000Z,2023-09-27T23:43:01.401Z,DOT-USD,15MINS,3.98,3.99,3.98,3.99,1450.4,3,5772.843,664230.4,0.0,,,,3.9822860706862966,,3.9829541056392253,3.9864382474525226,,,4.004967922331804,3.985500000000002,3.9660320776681997,99.75533027934682,0.007127793749999982
74,2023-09-27T23:45:00.000Z,2023-09-27T23:47:14.625Z,DOT-USD,15MINS,3.98,3.99,3.98,3.99,1300,4,5186.579,664752.2,0.0,,,,3.984000277200453,,3.9839606619764787,3.986762043138657,,,4.003439088912504,3.9850000000000017,3.966560911087499,99.75533027934682,0.007271404062499995
73,2023-09-28T00:00:00.000Z,2023-09-28T00:14:24.476Z,DOT-USD,15MINS,3.98,3.99,3.98,3.99,46876.4,67,186957.312,664752.2,-0.004987531172069737,,,,3.9853335489336854,,3.9848234245512675,3.9870564028533244,,,4.001791616463893,3.9845000000000015,3.96720838353611,99.75533027934682,0.007407833859375007
72,2023-09-28T00:15:00.000Z,2023-09-28T00:27:28.245Z,DOT-USD,15MINS,3.99,4.01,4.0,4.01,7009.5,26,28038.009,640208.2,0.0024999999999999467,,,,3.9908149825039776,,3.9884200781868007,3.989142184412113,,,4.004493588687611,3.9850000000000017,3.965506411312393,99.98546676683091,0.008037442166406235
71,2023-09-28T00:30:00.000Z,2023-09-28T00:41:59.082Z,DOT-USD,15MINS,4.0,4.0,4.0,4.0,4128.6,16,16514.4,638740.2,0.0,,,,3.992856097503094,,3.9900743527315434,3.990129258556466,,,4.004493588687611,3.9850000000000017,3.965506411312393,51.52294937168567,0.008135570058085913
70,2023-09-28T00:45:00.000Z,2023-09-28T00:52:59.956Z,DOT-USD,15MINS,4.0,4.0,4.0,4.0,2018,12,8072,636712.4,0.0025062656641603454,,,,3.994443631391295,,3.991492302341323,3.9910265986876965,,,4.005969489488572,3.985500000000002,3.965030510511432,51.52294937168567,0.007728791555181617
69,2023-09-28T01:00:00.000Z,2023-09-28T01:12:26.966Z,DOT-USD,15MINS,3.99,3.99,3.99,3.99,21646.5,65,86369.535,636232.3,-0.0024999999999999467,,,,3.9934561577487853,,3.9912791162925627,3.9909332715342694,,,4.005969489488572,3.985500000000002,3.965030510511432,17.532073234467255,0.007842351977422526
68,2023-09-28T01:15:00.000Z,2023-09-28T01:24:15.279Z,DOT-USD,15MINS,4.0,4.0,4.0,4.0,3574.6,8,14298.4,637269.3,0.0,,,,3.9949103449157217,,3.9925249568221965,3.9917575195766086,,,4.005969489488572,3.985500000000002,3.965030510511432,64.44499038949495,0.007950234378551389
67,2023-09-28T01:30:00.000Z,2023-09-28T01:43:30.959Z,DOT-USD,15MINS,4.0,4.01,4.01,4.0,3636.9,15,14550,635677.4,0.0,,,,3.9960413793788945,,3.9935928201333115,3.9925068359787352,,,4.007736760579882,3.9865000000000017,3.9652632394201217,64.44499038949495,0.008052722659623809
66,2023-09-28T01:45:00.000Z,2023-09-28T01:56:18.458Z,DOT-USD,15MINS,3.99,4.0,4.0,4.0,3517.5,13,14063.72,633308.5,0.0,0.001309906796965965,-0.001970363631479868,0.003280270428445833,3.996921072850251,,3.9945081315428386,3.993188032707941,,,4.009294494716274,3.9875000000000016,3.96570550528373,64.44499038949495,0.008150086526642609
65,2023-09-28T02:00:00.000Z,2023-09-28T02:12:16.172Z,DOT-USD,15MINS,4.0,4.0,4.0,4.0,19887.2,37,79548.8,634098.5,0.0025062656641603454,0.0016995500720327072,-0.001236380890777353,0.00293593096281006,3.997605278883529,,3.9952926841795757,3.993807302461765,,,4.0106585198051246,3.988500000000001,3.9663414801948775,64.44499038949495,0.007742582200310479
64,2023-09-28T02:15:00.000Z,2023-09-28T02:22:19.284Z,DOT-USD,15MINS,3.99,4.0,4.0,3.99,9134.8,22,36538.7,636611.5,0.0,0.0011877372525321839,-0.0007515572621154456,0.0019392945146476295,3.9959152169094114,,3.9945365864396365,3.99346118405615,,,4.009969489489439,3.989500000000001,3.969030510510563,6.379554411930889,0.007855453090294943
63,2023-09-28T02:30:00.000Z,2023-09-28T02:38:27.165Z,DOT-USD,15MINS,3.99,3.99,3.99,3.99,1248.5,1,4981.515,635466.1,0.0,0.0007732088355156819,-0.0004466040425892201,0.001219812878104902,3.9946007242628756,,3.9938885026625455,3.993146530960136,,,4.00891195263847,3.990500000000001,3.972088047361532,6.379554411930889,0.007462680435780196
62,2023-09-28T02:45:00.000Z,2023-09-28T02:45:01.106Z,DOT-USD,15MINS,3.99,3.99,3.99,3.99,627,1,2501.73,635466.1,0.002512562814070307,0.00043962436251954173,-0.00026935836156746773,0.0007089827240870095,3.9935783410933476,,3.993333002282182,3.9928604826910328,,,4.008776388833776,3.9910000000000005,3.9732236111662256,6.379554411930889,0.007089546413991186
61,2023-09-28T03:00:00.000Z,2023-09-28T03:09:32.406Z,DOT-USD,15MINS,3.98,3.99,3.99,3.98,7859.9,29,31359.251,635466.1,-0.0025062656641604564,-0.0006244617557822352,-0.00034037904041042124,-0.00028408271537181393,3.9905609319614928,,3.9914282876704417,3.991691347900939,,,4.008776388833776,3.9910000000000005,3.9732236111662256,0.777230288196693,0.007235069093291639
60,2023-09-28T03:15:00.000Z,2023-09-28T03:27:45.892Z,DOT-USD,15MINS,3.98,3.99,3.98,3.99,6974.5,17,27815.74,637028.8,-0.0024999999999999467,-0.0006533102899983767,-0.0004029652903280123,-0.0002503449996703644,3.9904362804144946,,3.991224246574664,3.9915375890008535,,,4.0085587221089405,3.9915,3.9744412778910596,64.00194705782796,0.007373315638627069
59,2023-09-28T03:30:00.000Z,2023-09-28T03:43:16.822Z,DOT-USD,15MINS,3.99,4.0,3.99,4.0,12545.2,25,50055.448,639324.2,0.0025062656641603454,0.0001292535112851212,-0.0002965215300053856,0.0004257750412905068,3.992561551433496,,3.9924779256354266,3.9923068990916852,,,4.009083123951838,3.9924999999999997,3.975916876048162,84.17250123985903,0.007504649856695705
58,2023-09-28T03:45:00.000Z,2023-09-28T03:56:50.609Z,DOT-USD,15MINS,3.99,4.0,4.0,3.99,22404.1,51,89394.802,638313.5,0.002512562814070307,-5.68204735929001e-05,-0.0002485813187228885,0.00019176084512998842,3.991992317781608,,3.992123936258937,3.9920971809924413,,,4.008620499352109,3.9929999999999994,3.9773795006478903,39.69189737037419,0.007629417363860909
57,2023-09-28T04:00:00.000Z,2023-09-28T04:11:52.016Z,DOT-USD,15MINS,3.98,3.99,3.99,3.98,5154.6,9,20527.848,629722.9,0.0,-0.0009996782056358455,-0.00039880069610547994,-0.0006008775095303656,3.989327358274584,,3.990391945364803,3.9909974372658557,,,4.008620499352109,3.9929999999999994,3.9773795006478903,19.297029448081922,0.007747946495667875
56,2023-09-28T04:15:00.000Z,2023-09-28T04:28:27.145Z,DOT-USD,15MINS,3.98,3.98,3.98,3.98,12066.8,25,48025.864,631260.7,0.0,-0.001726992061731103,-0.0006644389692306045,-0.0010625530925004985,3.987254611991343,,3.9889073817412597,3.989997670241687,,,4.008620499352109,3.9929999999999994,3.9773795006478903,19.297029448081922,0.007360549170884481
55,2023-09-28T04:30:00.000Z,2023-09-28T04:42:49.297Z,DOT-USD,15MINS,3.98,3.98,3.98,3.98,8611.6,25,34274.168,632309.8,0.0,-0.002277144033751455,-0.0009869799821347746,-0.0012901640516166802,3.985642475993267,,3.9876348986353656,3.989088791128806,,,4.009083123951838,3.9924999999999997,3.975916876048162,19.297029448081922,0.006992521712340258
54,2023-09-28T04:45:00.000Z,2023-09-28T04:45:00.000Z,DOT-USD,15MINS,3.98,3.98,3.98,3.98,0,0,0,634901.0,0.0,-0.00268222442170174,-0.0013260288700481676,-0.0013561955516535724,3.9843885924392075,,3.9865441988303134,3.988262537389824,,,4.0094355957739545,3.992,3.974564404226045,19.297029448081922,0.006642895626723244
53,2023-09-28T05:00:00.000Z,2023-09-28T05:04:45.897Z,DOT-USD,15MINS,3.98,3.99,3.99,3.98,1227.3,2,4896.889,634901.0,-0.0025062656641604564,-0.0029690284359453756,-0.001654628783227609,-0.0013143996527177665,3.9834133496749393,,3.985609313283126,3.9875113976271126,,,4.00969340539776,3.9915000000000007,3.9733065946022412,19.297029448081922,0.006810750845387094
52,2023-09-28T05:15:00.000Z,2023-09-28T05:22:44.875Z,DOT-USD,15MINS,3.99,3.99,3.99,3.99,8169.6,20,32596.704,633681.3,-0.0024999999999999467,-0.002362176556097051,-0.0017961383378014974,-0.0005660382182955536,3.9848770497471753,,3.986236554242679,3.987737634206466,,,4.006593476938983,3.9905,3.974406523061017,95.3732110395902,0.006970213303117751
51,2023-09-28T05:30:00.000Z,2023-09-28T05:40:44.593Z,DOT-USD,15MINS,4.0,4.0,4.0,4.0,1245.1,2,4980.4,632296.8,0.0,-0.0010620826154057461,-0.0016493271933223472,0.0005872445779166011,3.988237705358914,,3.9882027607794392,3.988852394733151,,,4.006593476938983,3.9905,3.974406523061017,98.39644809834182,0.007121702637961852
50,2023-09-28T05:45:00.000Z,2023-09-28T05:45:00.000Z,DOT-USD,15MINS,4.0,4.0,4.0,4.0,0,0,0,632296.8,0.0,-3.1386991041770784e-05,-0.0013257391528662319,0.001294352161824461,3.990851548612489,,3.989888080668091,3.9898658133937737,,,4.006593476938983,3.9905,3.974406523061017,98.39644809834182,0.006765617506063759
49,2023-09-28T06:00:00.000Z,2023-09-28T06:04:44.058Z,DOT-USD,15MINS,4.0,4.0,4.0,4.0,7.5,1,30,632296.8,0.0,0.0007764957572895526,-0.0009052921708350749,0.0016817879281246274,3.9928845378097138,,3.9913326405726495,3.990787103085249,,,4.007613247724966,3.9910000000000005,3.9743867522750347,98.39644809834182,0.006427336630760572
48,2023-09-28T06:15:00.000Z,2023-09-28T06:15:00.000Z,DOT-USD,15MINS,4.0,4.0,4.0,4.0,0,0,0,632296.8,0.0025062656641603454,0.0014006033719957678,-0.00044411306226890633,0.001844716434264674,3.9944657516297775,,3.9925708347765565,3.9916246391684083,,,4.007613247724966,3.9910000000000005,3.9743867522750347,98.39644809834182,0.006105969799222543
47,2023-09-28T06:30:00.000Z,2023-09-28T06:38:22.397Z,DOT-USD,15MINS,3.99,3.99,3.99,3.99,12.2,1,48.678,632296.8,-0.0024999999999999467,0.0010758944846918084,-0.00014011155287676336,0.0012160060375685717,3.9934733623787158,,3.9922035726656198,3.991476944698553,,,4.006593476938983,3.9905,3.974406523061017,8.590033609959661,0.0063006713092614046
46,2023-09-28T06:45:00.000Z,2023-09-28T06:49:41.105Z,DOT-USD,15MINS,4.0,4.0,4.0,4.0,8316.8,12,33267.2,632296.8,-0.0024937655860348684,0.0016069528267217414,0.00020930132304293762,0.0013976515036788037,3.9949237262945565,,3.9933173479991027,3.9922517679077756,,,4.006593476938983,3.9905,3.974406523061017,67.64706520516987,0.006485637743798324
45,2023-09-28T07:00:00.000Z,2023-09-28T07:12:27.707Z,DOT-USD,15MINS,4.0,4.02,4.0,4.01,18576.9,24,74513.596,632965.9,0.0,0.002802432122309906,0.0007279274828963313,0.0020745046394135746,3.9982740093402107,3.990545454545455,3.995700583999231,3.993865243552523,,,4.008776388833776,3.9910000000000005,3.9732236111662256,85.88524338646845,0.007161355856608387
44,2023-09-28T07:15:00.000Z,2023-09-28T07:26:33.163Z,DOT-USD,15MINS,4.01,4.01,4.01,4.01,4179.4,6,16759.394,635795.2,-0.0024875621890546595,0.0037071246516475753,0.0013237669166465801,0.002383357735000995,4.000879785042386,3.9912402597402603,3.9977433577136265,3.995332039593203,,,4.011595917941279,3.992000000000001,3.972404082058723,85.88524338646845,0.006803288063777968
43,2023-09-28T07:30:00.000Z,2023-09-28T07:40:32.617Z,DOT-USD,15MINS,4.01,4.02,4.01,4.02,22316.6,45,89611.299,634371.1,0.0024937655860348684,0.0051714037028189885,0.002093294273881062,0.0030781094289379267,4.005128721699633,3.992267393320965,4.000922878040251,3.997574581448366,,,4.016543437242731,3.993500000000001,3.9704565627572705,95.66353931515735,0.006963123660589059
42,2023-09-28T07:45:00.000Z,2023-09-28T07:59:22.185Z,DOT-USD,15MINS,4.01,4.02,4.02,4.01,10295.9,24,41389.114,624155.4,0.0,0.005461976706411242,0.002767030760387098,0.0026949459460241442,4.0062112279886035,3.9929007007023594,4.002219609748787,3.99870416495306,,,4.018562418830038,3.9945000000000013,3.9704375811699637,40.101381012079976,0.007114967477559596
41,2023-09-28T08:00:00.000Z,2023-09-28T08:07:38.555Z,DOT-USD,15MINS,4.01,4.02,4.02,4.01,4728.2,17,19007.319,619801.2,0.0,0.005627388869267058,0.0033391023821630903,0.002288286487103968,4.00705317732447,3.9935113899629893,4.003331094070389,3.9997310590482367,,,4.019999999999162,3.9960000000000013,3.9720000000008406,40.101381012079976,0.007259219103681605
