,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:43:53.463Z,ENJ-USD,15MINS,0.221,0.222,0.222,0.221,90907,13,20090.59,2305359,0.0,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:45:00.000Z,ENJ-USD,15MINS,0.221,0.221,0.221,0.221,0,0,0,2302115,0.00454545454545463,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:11:05.409Z,ENJ-USD,15MINS,0.22,0.221,0.221,0.22,73124,20,16118.432,2302115,-0.004524886877828038,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:29:03.219Z,ENJ-USD,15MINS,0.22,0.221,0.22,0.221,100150,22,22033.12,2262846,0.0,,,,,,,,,,,,,66.66666666666666,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:35:36.894Z,ENJ-USD,15MINS,0.221,0.221,0.221,0.221,3642,2,804.882,2225576,0.00454545454545463,,,,,,,,,,,,,66.66666666666666,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:56:13.708Z,ENJ-USD,15MINS,0.22,0.22,0.22,0.22,47452,13,10439.44,2221934,0.0,,,,,,,,,,,,,18.181818181818183,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:13:57.948Z,ENJ-USD,15MINS,0.22,0.22,0.22,0.22,238517,44,52473.74,2207714,0.0,,,,,,,,,,,,,18.181818181818183,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:24:08.218Z,ENJ-USD,15MINS,0.22,0.22,0.22,0.22,90588,21,19929.36,2135392,0.0,,,,0.2205,,,,,,,,,18.181818181818183,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:43:59.500Z,ENJ-USD,15MINS,0.22,0.22,0.22,0.22,60,6,13.2,2102211,0.0,,,,0.22038888888888888,,,,,,,,,18.181818181818183,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:57:34.489Z,ENJ-USD,15MINS,0.22,0.22,0.22,0.22,110,11,24.2,2102271,-0.004524886877828038,,,,0.22030246913580245,,,,,,,,,18.181818181818183,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:13:47.959Z,ENJ-USD,15MINS,0.221,0.221,0.221,0.221,716,4,158.236,2102381,0.0,,,,0.220457475994513,,,,,,,,,96.62921348314607,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:25.976Z,ENJ-USD,15MINS,0.221,0.221,0.221,0.221,97887,27,21633.027,2102381,0.009132420091324311,,,,0.22057803688462124,,,,,,,,,96.62921348314607,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:40:55.174Z,ENJ-USD,15MINS,0.219,0.221,0.221,0.219,20944,20,4607.72,2049130,-0.004545454545454519,,,,0.22022736202137208,,0.2203846153846154,,,,,,,11.144708423326133,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:58:58.011Z,ENJ-USD,15MINS,0.219,0.22,0.219,0.22,169939,36,37216.681,2028609,0.0,,,,0.22017683712773384,,0.22032967032967035,,,,,,,52.85354114141646,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:14:35.538Z,ENJ-USD,15MINS,0.22,0.22,0.22,0.22,40,4,8.8,2009101,0.0,,,,0.22013753998823743,,0.22028257456828887,,,,,,,52.85354114141646,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:15:39.945Z,ENJ-USD,15MINS,0.22,0.22,0.22,0.22,40,4,8.8,2009101,0.0,,,,0.2201069755464069,,0.22024220677281903,,,,,,,52.85354114141646,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:30:00.000Z,ENJ-USD,15MINS,0.22,0.22,0.22,0.22,0,0,0,2009101,0.0,,,,0.22008320320276092,,0.22020760580527346,,,,,,,52.85354114141646,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:45:00.000Z,ENJ-USD,15MINS,0.22,0.22,0.22,0.22,0,0,0,2009101,0.004566210045662045,,,,0.22006471360214738,,0.22017794783309153,,,,,,,52.85354114141646,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:13:48.829Z,ENJ-USD,15MINS,0.219,0.22,0.22,0.219,12743,12,2802.73,2009101,-0.004545454545454519,,,,0.21982811057944796,,0.2200096695712213,,,,,,,3.299045766033849,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:26:13.581Z,ENJ-USD,15MINS,0.219,0.22,0.219,0.22,424,23,93.076,2018641,0.0,,,,0.2198663082284595,,0.22000828820390397,,,,0.22139999999997334,0.22020000000000003,0.21900000000002673,66.36678923824832,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:44:55.504Z,ENJ-USD,15MINS,0.22,0.22,0.22,0.22,61385,41,13504.7,2018641,0.0,,,,0.21989601751102406,,0.22000710417477484,0.22019047619047621,,,0.22129455231422787,0.22015,0.21900544768577215,66.36678923824832,0.0004500000000000004
78,2023-09-27T22:45:00.000Z,2023-09-27T22:55:56.251Z,ENJ-USD,15MINS,0.22,0.22,0.22,0.22,21106,26,4643.32,2016402,0.0,,,,0.2199191247307965,,0.22000608929266416,0.2201731601731602,,,0.22117703296141406,0.22010000000000002,0.21902296703858598,66.36678923824832,0.00042750000000000036
77,2023-09-27T23:00:00.000Z,2023-09-27T23:11:29.317Z,ENJ-USD,15MINS,0.22,0.221,0.221,0.22,668,4,147.402,2006469,-0.004524886877828038,,,,0.21993709701284173,,0.22000521939371215,0.22015741833923652,,,0.22117703296141406,0.22010000000000002,0.21902296703858598,66.36678923824832,0.00045612500000000037
76,2023-09-27T23:15:00.000Z,2023-09-27T23:29:10.522Z,ENJ-USD,15MINS,0.22,0.221,0.22,0.221,60,6,13.22,2006469,0.0,,,,0.22017329767665467,,0.22014733090889613,0.2202340166720332,,,0.22117703296141406,0.22010000000000002,0.21902296703858598,97.05877361655578,0.0004833187500000004
75,2023-09-27T23:30:00.000Z,2023-09-27T23:43:59.833Z,ENJ-USD,15MINS,0.221,0.221,0.221,0.221,80,8,17.68,2006469,0.0,,,,0.22035700930406474,,0.22026914077905382,0.2203036515200302,,,0.22117703296141406,0.22010000000000002,0.21902296703858598,97.05877361655578,0.00045915281250000044
74,2023-09-27T23:45:00.000Z,2023-09-27T23:58:41.137Z,ENJ-USD,15MINS,0.221,0.221,0.221,0.221,190,19,41.99,2006469,0.0,,,,0.22049989612538368,,0.220373549239189,0.22036695592730018,,,0.22129455231422787,0.22015,0.21900544768577215,97.05877361655578,0.0004361951718750004
73,2023-09-28T00:00:00.000Z,2023-09-28T00:14:28.914Z,ENJ-USD,15MINS,0.22,0.221,0.221,0.221,51813,34,11450.404,2006469,-0.0045045045045044585,,,,0.22061103031974286,,0.22046304220501914,0.2204245053884547,,,0.22139999999997334,0.22020000000000003,0.21900000000002673,97.05877361655578,0.0004643854132812504
72,2023-09-28T00:15:00.000Z,2023-09-28T00:29:28.436Z,ENJ-USD,15MINS,0.221,0.222,0.221,0.222,13277,22,2943.174,2044012,0.004524886877828038,,,,0.22091969024868888,,0.2206826076043021,0.22056773217132247,,,0.2217282856856631,0.22030000000000008,0.21887171431433705,99.81146950335896,0.0004911661426171879
71,2023-09-28T00:30:00.000Z,2023-09-28T00:40:47.631Z,ENJ-USD,15MINS,0.221,0.222,0.222,0.221,130,13,28.76,2044047,0.0,,,,0.22093753686009135,,0.22072794937511608,0.2206070292466568,,,0.22180258390457605,0.2203500000000001,0.21889741609542415,34.75570009383806,0.0005166078354863285
70,2023-09-28T00:45:00.000Z,2023-09-28T00:56:38.091Z,ENJ-USD,15MINS,0.221,0.222,0.222,0.221,70,7,15.51,2044047,0.0,,,,0.22095141755784883,,0.2207668137500995,0.2206427538605971,,,0.22186969384562313,0.2204000000000001,0.21893030615437706,34.75570009383806,0.0005407774437120122
69,2023-09-28T01:00:00.000Z,2023-09-28T01:12:30.446Z,ENJ-USD,15MINS,0.221,0.221,0.221,0.221,15604,25,3448.484,2044047,0.0,,,,0.22096221365610466,,0.22080012607151384,0.22067523078236098,,,0.22186969384562313,0.2204000000000001,0.21893030615437706,34.75570009383806,0.0005137385715264116
68,2023-09-28T01:15:00.000Z,2023-09-28T01:23:48.031Z,ENJ-USD,15MINS,0.221,0.221,0.221,0.221,9933,32,2195.193,2028623,0.0,,,,0.22097061062141474,,0.220828679489869,0.2207047552566918,,,0.22186969384562313,0.2204000000000001,0.21893030615437706,34.75570009383806,0.00048805164295009104
67,2023-09-28T01:30:00.000Z,2023-09-28T01:44:56.438Z,ENJ-USD,15MINS,0.221,0.221,0.221,0.221,29508,18,6521.268,2028623,0.0,,,,0.22097714159443368,,0.22085315384845916,0.22073159568790165,,,0.22184164078644683,0.22050000000000008,0.21915835921355334,34.75570009383806,0.0004636490608025865
66,2023-09-28T01:45:00.000Z,2023-09-28T01:45:40.447Z,ENJ-USD,15MINS,0.221,0.221,0.221,0.221,40,4,8.84,2028573,-0.0045045045045044585,0.0001856135550598048,0.00011010165303144815,7.551190202835666e-05,0.2209822212401151,,0.22087413187010785,0.2207559960799106,,,0.2218879088159644,0.2205500000000001,0.2192120911840358,34.75570009383806,0.00044046660776245715
65,2023-09-28T02:00:00.000Z,2023-09-28T02:12:13.962Z,ENJ-USD,15MINS,0.221,0.222,0.221,0.222,603,23,133.463,2028603,0.004524886877828038,0.00026460096845351555,0.00014100151611586164,0.0001235994523376539,0.2212083942978673,,0.22103497017437815,0.22086908734537325,,,0.22210258390454743,0.22065000000000015,0.21919741609545287,98.47254329587285,0.00046844327737433436
64,2023-09-28T02:15:00.000Z,2023-09-28T02:23:17.829Z,ENJ-USD,15MINS,0.221,0.221,0.221,0.221,25751,9,5690.971,2029006,0.00454545454545463,0.00024369821862291197,0.0001615408566172717,8.215736200564027e-05,0.2211620844538968,,0.22102997443518127,0.22088098849579385,,,0.22212828568561463,0.22070000000000017,0.21927171431438572,33.34460916035263,0.0004950211135056177
