,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:43:47.336Z,EOS-USD,15MINS,0.559,0.56,0.56,0.559,13379,8,7478.918,1269389,-0.0017857142857142794,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:50:37.502Z,EOS-USD,15MINS,0.56,0.56,0.56,0.56,1513,3,847.28,1266382,0.0053859964093356805,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:30.284Z,EOS-USD,15MINS,0.554,0.559,0.559,0.557,267909,86,149065.514,1265252,-0.0017921146953404632,,,,,,,,,,,,,25.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:25:29.232Z,EOS-USD,15MINS,0.556,0.558,0.557,0.558,67722,23,37726.5,1274361,0.0,,,,,,,,,,,,,50.0,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:30:00.000Z,EOS-USD,15MINS,0.558,0.558,0.558,0.558,0,0,0,1277029,-0.0017889087656529634,,,,,,,,,,,,,50.0,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:47:05.231Z,EOS-USD,15MINS,0.559,0.559,0.559,0.559,36,1,20.124,1277029,0.0,,,,,,,,,,,,,78.57142857142857,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:07:41.760Z,EOS-USD,15MINS,0.558,0.559,0.558,0.559,5712,5,3192.993,1276993,-0.0017857142857142794,,,,,,,,,,,,,78.57142857142857,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:26:46.342Z,EOS-USD,15MINS,0.56,0.56,0.56,0.56,50516,16,28288.96,1275608,0.0,,,,0.5587500000000001,,,,,,,,,93.47826086956522,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:40:38.877Z,EOS-USD,15MINS,0.56,0.56,0.56,0.56,16957,7,9495.92,1253020,0.0017889087656528524,,,,0.5590277777777779,,,,,,,,,93.47826086956522,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:49:55.011Z,EOS-USD,15MINS,0.558,0.559,0.559,0.559,29801,9,16658.67,1259996,0.0,,,,0.5590216049382717,,,,,,,,,24.71264367816092,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:13:01.215Z,EOS-USD,15MINS,0.558,0.559,0.559,0.559,84783,23,47393.398,1267293,-0.0035650623885917776,,,,0.559016803840878,,,,,,,,,24.71264367816092,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:28.507Z,EOS-USD,15MINS,0.559,0.561,0.559,0.561,65877,23,36883.081,1300296,0.005376344086021501,,,,0.5594575140984607,,,,,,,,,89.0651085141903,
