,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:41.270Z,ETC-USD,15MINS,15.29,15.32,15.31,15.32,1505.4,20,23028.869,40981.1,0.0006531678641410466,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:59:59.377Z,ETC-USD,15MINS,15.3,15.32,15.32,15.31,673.2,16,10307.724,41119.7,0.003934426229508237,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:51.455Z,ETC-USD,15MINS,15.19,15.29,15.29,15.25,1850.4,89,28210.549,40896.3,-0.0013097576948264411,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:28:59.328Z,ETC-USD,15MINS,15.22,15.28,15.25,15.27,1706,61,26035.984,41013.9,-0.0026126714565644082,,,,,,,,,,,,,36.36363636363578,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:11.919Z,ETC-USD,15MINS,15.28,15.31,15.28,15.31,659.9,26,10094.482,40766.6,0.0019633507853404897,,,,,,,,,,,,,74.07407407407428,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:57:15.269Z,ETC-USD,15MINS,15.28,15.29,15.29,15.28,519.8,15,7945.653,40778.9,-0.0006540222367560355,,,,,,,,,,,,,39.21568627450942,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:12:38.926Z,ETC-USD,15MINS,15.28,15.29,15.28,15.29,461.7,26,7056.427,40653.6,-0.0013063357282822041,,,,,,,,,,,,,53.7313432835813,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:28:40.841Z,ETC-USD,15MINS,15.3,15.31,15.3,15.31,216,11,3305.881,40653.6,0.0013080444735122931,,,,15.2925,,,,,,,,,76.33587786259565,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:38:22.788Z,ETC-USD,15MINS,15.29,15.3,15.3,15.29,517.5,8,7915.334,40699.3,0.0013097576948264411,,,,15.291944444444445,,,,,,,,,38.610038610038195,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:56:52.357Z,ETC-USD,15MINS,15.27,15.27,15.27,15.27,664.3,16,10143.861,40621.3,-0.0006544502617801262,,,,15.287067901234568,,,,,,,,,19.41747572815585,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:14:02.765Z,ETC-USD,15MINS,15.25,15.28,15.27,15.28,960.9,24,14669.832,40651.3,-0.0006540222367560355,,,,15.285497256515775,,,,,,,,,46.173800259403045,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:44.075Z,ETC-USD,15MINS,15.26,15.3,15.29,15.29,1319.7,39,20165.497,40555.0,0.0026229508196720097,,,,15.286497866178935,,,,,,,,,67.65393608729488,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:27.429Z,ETC-USD,15MINS,15.25,15.28,15.28,15.25,1604.2,49,24493.293,40458.4,-0.002616088947024142,,,,15.278387229250283,,15.286153846153846,,,,,,,16.13682840676712,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:57:23.729Z,ETC-USD,15MINS,15.25,15.29,15.25,15.29,1309.7,32,19992.661,40433.8,0.0,,,,15.280967844972443,,15.286703296703296,,,,,,,66.76000294746144,
