,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:57.164Z,ETH-USD,15MINS,1592.3,1596.1,1595.6,1595.1,2951.702,371,4706168.4034,64903.428,-0.0003760105282948345,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:59:57.408Z,ETH-USD,15MINS,1595.1,1597.0,1595.3,1595.7,2116.634,256,3377662.3262,64321.575,0.0056087723720696925,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:51.494Z,ETH-USD,15MINS,1582.3,1595.6,1595.6,1586.8,7972.803,1356,12652917.7359,64547.010,-0.002577157583757761,,,,,,,,,,,,,6.315789473685496,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:29:57.061Z,ETH-USD,15MINS,1585.0,1591.0,1586.9,1590.9,3024.344,452,4806501.9635,64882.420,-0.002257761053621743,,,,,,,,,,,,,49.717514124294695,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:43.249Z,ETH-USD,15MINS,1591.0,1594.8,1591.0,1594.5,2195.455,402,3498751.8884,64829.099,0.0008787897809303669,,,,,,,,,,,,,72.27414330218052,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:59:57.044Z,ETH-USD,15MINS,1593.1,1594.6,1594.5,1593.1,1555.012,200,2478393.8021,64740.508,-0.0007526814275857774,,,,,,,,,,,,,53.57967667436393,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:14:32.639Z,ETH-USD,15MINS,1592.5,1595.3,1593.0,1594.3,1818.263,321,2898559.5015,64460.859,-0.002003129890453814,,,,,,,,,,,,,67.8399999999995,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:29:55.296Z,ETH-USD,15MINS,1594.1,1598.9,1594.4,1597.5,2770.941,434,4422056.0434,64955.609,0.0012535255405830004,,,,1593.4875,,,,,,,,,87.81079442086086,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:43:34.618Z,ETH-USD,15MINS,1595.2,1597.9,1597.1,1595.5,1273.314,162,2032737.5243,65669.202,-0.0005011589300256691,,,,1593.9347222222223,,,,,,,,,49.43666780471175,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:59:49.353Z,ETH-USD,15MINS,1595.3,1596.5,1595.5,1596.3,1331.216,145,2124701.8739,65122.514,0.0001253054319905189,,,,1594.4603395061729,,,,,,,,,62.53478370857529,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:14:45.055Z,ETH-USD,15MINS,1595.5,1596.6,1596.4,1596.1,1799.169,199,2871731.8602,65141.336,-0.001688766574931222,,,,1594.824708504801,,,,,,,,,55.363941769315005,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:57.418Z,ETH-USD,15MINS,1595.7,1599.0,1596.0,1598.8,1596.522,281,2550795.6648,65724.660,0.0038930051488133,,,,1595.7081066148453,,,,,,,,,89.10273935152229,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:47.874Z,ETH-USD,15MINS,1592.6,1598.7,1598.7,1592.6,2062.009,821,3287839.1296,65753.700,-0.0008156095112618056,,,,1595.0174162559908,,1594.3999999999999,,,,,,,19.927363439597983,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:59:29.932Z,ETH-USD,15MINS,1592.1,1595.1,1592.7,1593.9,1179.948,302,1880152.5321,65230.734,0.0,,,,1594.7691015324374,,1594.3285714285714,,,,,,,39.59373068514325,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:14:39.211Z,ETH-USD,15MINS,1593.2,1594.5,1593.8,1593.9,697.849,104,1112244.8806,64999.019,-0.0001254626434977757,,,,1594.5759678585625,,1594.2673469387755,,,,,,,39.59373068514325,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:28:51.878Z,ETH-USD,15MINS,1593.4,1594.2,1593.9,1594.1,300.653,84,479162.677,64960.456,0.0009418560843903467,,,,1594.4701972233263,,1594.2434402332362,,,,,,,47.52494290178625,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:43:50.166Z,ETH-USD,15MINS,1592.6,1594.7,1594.7,1592.6,1592.122,331,2535969.5715,64985.198,-0.001128951329653849,,,,1594.054597840365,,1594.0086630570597,,,,,,,16.00453386228142,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:57:18.200Z,ETH-USD,15MINS,1592.5,1594.5,1592.6,1594.4,428.393,144,682571.4193,65061.424,-0.001190252458810881,,,,1594.1313538758395,,1594.0645683346227,,,,,,,67.59151950969007,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:14:35.935Z,ETH-USD,15MINS,1594.4,1596.3,1594.4,1596.3,716.958,118,1143573.0174,65125.630,0.0003133224714877425,,,,1594.6132752367641,,1594.383915715391,,,,,,,85.88830102926539,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:29:50.386Z,ETH-USD,15MINS,1594.2,1596.3,1596.3,1595.8,761.27,110,1214487.2291,65265.957,-0.00012531328320808388,,,,1594.8769918508165,,1594.586213470335,,,,1599.3742320656804,1594.4099999999999,1589.4457679343193,66.21354791285111,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:43:09.942Z,ETH-USD,15MINS,1595.6,1597.3,1595.8,1596.0,512.395,93,817807.6657,65662.330,-0.0005635919594214611,,,,1595.1265492173018,,1594.788182974573,1594.485714285714,,,1599.4595878951477,1594.455,1589.4504121048521,71.44627453436361,3.1850000000000023
78,2023-09-27T22:45:00.000Z,2023-09-27T22:59:59.873Z,ETH-USD,15MINS,1595.1,1596.9,1595.9,1596.9,559.138,76,892578.8376,65749.535,0.0013167795334838583,,,,1595.5206493912347,,1595.0898711210625,1594.7051948051947,,,1599.605884009789,1594.5149999999999,1589.4241159902108,88.07223975242292,3.1157500000000113
77,2023-09-27T23:00:00.000Z,2023-09-27T23:14:55.231Z,ETH-USD,15MINS,1594.3,1597.8,1596.9,1594.8,1621.54,258,2587596.2416,65663.349,-0.00012539184952975457,,,,1595.3605050820713,,1595.0484609609107,1594.7138134592678,,,1598.5741119141483,1594.915,1591.2558880858517,23.6927974339571,3.1349625000000105
76,2023-09-27T23:15:00.000Z,2023-09-27T23:29:32.993Z,ETH-USD,15MINS,1593.7,1595.0,1594.6,1595.0,532.982,69,849633.0961,65332.338,-0.002064693737095613,,,,1595.280392841611,,1595.0415379664948,1594.7398304175163,,,1598.2820246679705,1595.12,1591.9579753320293,33.018917983241536,3.043214375000008
75,2023-09-27T23:30:00.000Z,2023-09-27T23:44:56.310Z,ETH-USD,15MINS,1594.6,1598.3,1594.9,1598.3,929.201,148,1483841.2912,65257.815,0.0006260564702935678,,,,1595.9514166545864,,1595.5070325427098,1595.0634821977421,,,1598.7450545846552,1595.31,1591.8749454153447,86.69213972250583,3.07605365625001
