,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:54.209Z,FIL-USD,15MINS,3.19,3.19,3.19,3.19,12707.3,37,40536.287,273214.1,0.0,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:55:36.179Z,FIL-USD,15MINS,3.19,3.19,3.19,3.19,3009.6,9,9600.624,269285.6,0.0031446540880502027,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:25.640Z,FIL-USD,15MINS,3.17,3.19,3.19,3.18,16639.1,62,52887.957,270429.2,-0.0031347962382444194,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:29:47.063Z,FIL-USD,15MINS,3.18,3.19,3.18,3.19,9669.3,32,30818.178,272051.4,0.0,,,,,,,,,,,,,66.66666666666666,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:30:00.000Z,FIL-USD,15MINS,3.19,3.19,3.19,3.19,0,0,0,269818.2,0.0,,,,,,,,,,,,,66.66666666666666,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:45:00.000Z,FIL-USD,15MINS,3.19,3.19,3.19,3.19,0,0,0,269818.2,0.0,,,,,,,,,,,,,66.66666666666666,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:13:49.247Z,FIL-USD,15MINS,3.19,3.19,3.19,3.19,47.8,4,152.482,269818.2,-0.0031250000000000444,,,,,,,,,,,,,66.66666666666666,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:25:22.602Z,FIL-USD,15MINS,3.2,3.2,3.2,3.2,10696.5,43,34228.8,269818.2,0.0,,,,3.19,,,,,,,,,97.14285714285727,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:43:52.374Z,FIL-USD,15MINS,3.2,3.2,3.2,3.2,15589.1,50,49885.12,268220.2,0.0031347962382446415,,,,3.192222222222222,,,,,,,,,97.14285714285727,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:46:22.745Z,FIL-USD,15MINS,3.19,3.19,3.19,3.19,15.7,1,50.083,267772.8,0.0,,,,3.191728395061728,,,,,,,,,20.858895705521434,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:06:01.155Z,FIL-USD,15MINS,3.19,3.19,3.19,3.19,5697.8,27,18175.982,267772.8,-0.0031250000000000444,,,,3.1913443072702328,,,,,,,,,20.858895705521434,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:41.037Z,FIL-USD,15MINS,3.2,3.2,3.2,3.2,14070.3,40,45024.96,265939.9,0.0062893081761006275,,,,3.1932677945435146,,,,,,,,,80.88888888888889,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:42:57.843Z,FIL-USD,15MINS,3.18,3.2,3.2,3.18,5827,27,18589.143,262687.1,-0.0031347962382444194,,,,3.190319395756067,,3.1907692307692312,,,,,,,20.051413881748406,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:59:25.016Z,FIL-USD,15MINS,3.18,3.19,3.18,3.19,6718.6,36,21371.758,260797.9,0.0,,,,3.1902484189213856,,3.190659340659341,,,,,,,54.37015300775483,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:12:34.670Z,FIL-USD,15MINS,3.19,3.19,3.19,3.19,8820,43,28135.8,259061.2,0.0,,,,3.190193214716633,,3.190565149136578,,,,,,,54.37015300775483,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:15:00.000Z,FIL-USD,15MINS,3.19,3.19,3.19,3.19,0,0,0,258640.6,0.0,,,,3.1901502781129367,,3.1904844135456383,,,,,,,54.37015300775483,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:30:00.000Z,FIL-USD,15MINS,3.19,3.19,3.19,3.19,0,0,0,258640.6,0.0,,,,3.1901168829767284,,3.190415211610547,,,,,,,54.37015300775483,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:45:00.000Z,FIL-USD,15MINS,3.19,3.19,3.19,3.19,0,0,0,258640.6,0.0,,,,3.1900909089818996,,3.1903558956661833,,,,,,,54.37015300775483,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:11:59.252Z,FIL-USD,15MINS,3.18,3.19,3.18,3.19,2948,24,9403.793,258640.6,0.0,,,,3.1900707069859218,,3.190305053428157,,,,,,,54.37015300775483,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:15:00.000Z,FIL-USD,15MINS,3.19,3.19,3.19,3.19,0,0,0,256637.5,0.0,,,,3.1900549943223835,,3.1902614743669915,,,,3.2004498743717162,3.1904999999999992,3.180550125628282,54.37015300775483,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:35:58.534Z,FIL-USD,15MINS,3.19,3.19,3.19,3.19,5132.9,27,16373.951,256637.5,0.0,,,,3.1900427733618537,,3.1902241208859925,3.19047619047619,,,3.2004498743717162,3.1904999999999992,3.180550125628282,54.37015300775483,0.0050000000000000044
78,2023-09-27T22:45:00.000Z,2023-09-27T22:45:00.000Z,FIL-USD,15MINS,3.19,3.19,3.19,3.19,0,0,0,254075.3,-0.0031250000000000444,,,,3.1900332681703305,,3.190192103616565,3.1904329004328997,,,3.2004498743717162,3.1904999999999992,3.180550125628282,54.37015300775483,0.004750000000000004
77,2023-09-27T23:00:00.000Z,2023-09-27T23:13:56.028Z,FIL-USD,15MINS,3.2,3.21,3.2,3.2,12125.9,44,38812.152,254075.3,0.0,,,,3.1922480974658125,,3.1915932316713413,3.1913026367571815,,,3.2010393920144167,3.1914999999999996,3.1819606079855824,99.7933254663468,0.005512500000000005
76,2023-09-27T23:15:00.000Z,2023-09-27T23:25:38.406Z,FIL-USD,15MINS,3.2,3.2,3.2,3.2,19734.4,79,63150.08,254756.3,0.0,,,,3.1939707424734096,,3.1927941985754353,3.192093306142892,,,3.202198039027201,3.1919999999999997,3.1818019609727983,99.7933254663468,0.0052368750000000045
75,2023-09-27T23:30:00.000Z,2023-09-27T23:30:00.000Z,FIL-USD,15MINS,3.2,3.2,3.2,3.2,0,0,0,252223.4,-0.0031152647975076775,,,,3.1953105774793187,,3.1938235987789447,3.1928120964935385,,,3.2032238052951403,3.1925,3.1817761947048595,99.7933254663468,0.004975031250000005
74,2023-09-27T23:45:00.000Z,2023-09-27T23:53:54.361Z,FIL-USD,15MINS,3.21,3.21,3.21,3.21,809,6,2596.89,252223.4,-0.0031055900621118626,,,,3.198574893595026,,3.1961345132390955,3.194374633175944,,,3.206576696830687,3.1935000000000002,3.1804233031693134,99.97694333429888,0.005226279687499993
73,2023-09-28T00:00:00.000Z,2023-09-28T00:14:45.143Z,FIL-USD,15MINS,3.21,3.22,3.21,3.22,19957.6,72,64068.621,251526.1,0.0,,,,3.203336028351687,,3.1995438684906534,3.196704211978131,,,3.2123205080757713,3.1950000000000003,3.1776794919242293,99.99169691520757,0.005464965703125005
72,2023-09-28T00:15:00.000Z,2023-09-28T00:26:20.044Z,FIL-USD,15MINS,3.22,3.22,3.22,3.22,2918.5,13,9397.57,250330.4,0.0,,,,3.2070391331624233,,3.2024661729919885,3.1988220108892103,,,3.2163960780544034,3.196,3.175603921945597,99.99169691520757,0.005191717417968754
71,2023-09-28T00:30:00.000Z,2023-09-28T00:40:34.356Z,FIL-USD,15MINS,3.22,3.22,3.22,3.22,19065.5,59,61390.91,250898.2,0.0,,,,3.209919325792996,,3.2049710054217044,3.200747282626555,,,3.2198910462846446,3.197,3.1741089537153555,99.99169691520757,0.004932131547070317
70,2023-09-28T00:45:00.000Z,2023-09-28T00:45:00.000Z,FIL-USD,15MINS,3.22,3.22,3.22,3.22,0,0,0,254357.2,0.0,,,,3.2121594756167746,,3.2071180046471754,3.2024975296605045,,,3.223218414188745,3.1985,3.173781585811255,99.99169691520757,0.004685524969716802
69,2023-09-28T01:00:00.000Z,2023-09-28T01:11:49.264Z,FIL-USD,15MINS,3.22,3.22,3.22,3.22,9284.8,31,29897.056,254357.2,-0.003095975232198067,,,,3.2139018143686027,,3.208958289697579,3.2040886633277315,,,3.2260768096208623,3.2,3.173923190379138,99.99169691520757,0.004451248721230962
68,2023-09-28T01:15:00.000Z,2023-09-28T01:29:48.478Z,FIL-USD,15MINS,3.23,3.23,3.23,3.23,4001.3,18,12924.199,260602.1,0.0,,,,3.217479188953358,,3.2119642483122104,3.206444239388847,,,3.230671904291583,3.2015000000000002,3.1723280957084175,99.99961338335274,0.004728686285169403
67,2023-09-28T01:30:00.000Z,2023-09-28T01:35:05.066Z,FIL-USD,15MINS,3.23,3.23,3.23,3.23,377.8,3,1220.294,260014.1,0.0,,,,3.220261591408167,,3.214540784267609,3.208585672171679,,,3.233933259094384,3.2039999999999997,3.1740667409056154,99.99961338335274,0.0044922519709109324
66,2023-09-28T01:45:00.000Z,2023-09-28T01:59:15.912Z,FIL-USD,15MINS,3.23,3.23,3.23,3.23,1492.2,4,4819.806,259840.2,-0.0030864197530865445,0.010052833194103439,0.006704622493006074,0.003348210701097365,3.222425682206352,,3.216749243657951,3.210532429246981,,,3.237240998703536,3.2060000000000004,3.1747590012964646,99.99961338335274,0.004267639372365386
65,2023-09-28T02:00:00.000Z,2023-09-28T02:12:15.766Z,FIL-USD,15MINS,3.24,3.24,3.24,3.24,11311.1,52,36647.964,259198.6,0.003095975232198178,0.011130714151989185,0.007589840824802696,0.0035408733271864888,3.226331086160496,,3.2200707802782436,3.213211299315437,,,3.242130343441719,3.2085,3.174869656558281,99.99995518784917,0.0045542574037471285
64,2023-09-28T02:15:00.000Z,2023-09-28T02:23:16.709Z,FIL-USD,15MINS,3.23,3.24,3.24,3.23,4286.5,31,13846.629,257311.5,0.0031055900621117516,0.011050641236919567,0.00828200090722607,0.0027686403296934975,3.2271464003470527,,3.2214892402384945,3.2147375448322157,,,3.2442490740612975,3.2105000000000006,3.1767509259387037,36.12476280827774,0.0048265445335597835
63,2023-09-28T02:30:00.000Z,2023-09-28T02:43:18.736Z,FIL-USD,15MINS,3.22,3.22,3.22,3.22,7798.6,45,25111.492,259274.0,0.0,0.010064252015860475,0.00863845112895295,0.0014258008869075245,3.225558311381041,,3.2212764916329952,3.215215949847469,,,3.2446190128604844,3.2120000000000006,3.179380987139517,15.861555521016275,0.005085217306881783
62,2023-09-28T02:45:00.000Z,2023-09-28T02:53:49.177Z,FIL-USD,15MINS,3.22,3.22,3.22,3.22,7033.7,22,22648.514,260369.9,0.0031152647975078995,0.009176747617413827,0.008746110426645127,0.0004306371907687005,3.224323131074143,,3.2210941356854246,3.215650863497699,,,3.2446608729016497,3.2135000000000007,3.1823391270983516,15.861555521016275,0.004830956441537694
61,2023-09-28T03:00:00.000Z,2023-09-28T03:12:06.100Z,FIL-USD,15MINS,3.21,3.22,3.22,3.21,15810.3,54,50784.134,262094.2,0.0,0.007579110295355296,0.00851271040038716,-0.0009336001050318649,3.2211402130576667,,3.219509259158935,3.2151371486342715,,,3.2438087017797206,3.2145,3.1851912982202797,4.889970184535877,0.005089408619460821
60,2023-09-28T03:15:00.000Z,2023-09-28T03:15:00.000Z,FIL-USD,15MINS,3.21,3.21,3.21,3.21,0,0,0,265733.7,-0.0031055900621118626,0.006241028515447944,0.008058374023399317,-0.0018173455079513734,3.218664610155963,,3.2181507935648015,3.214670135122065,,,3.2426845544384517,3.2155,3.1883154455615483,4.889970184535877,0.00483493818848778
59,2023-09-28T03:30:00.000Z,2023-09-28T03:43:23.324Z,FIL-USD,15MINS,3.21,3.22,3.21,3.22,25.3,2,81.337,265733.7,0.0,0.005919271810216564,0.007630553580762767,-0.0017112817705462026,3.218961363454638,,3.218414965912687,3.2151546682927865,,,3.2415764114552332,3.217,3.192423588544767,74.75069253260538,0.005093191279063402
58,2023-09-28T03:45:00.000Z,2023-09-28T03:45:07.346Z,FIL-USD,15MINS,3.22,3.22,3.22,3.22,1863,4,5998.86,263964.5,0.0031152647975078995,0.005599727134491417,0.007224388291508497,-0.0016246611570170802,3.2191921715758296,,3.2186413993537317,3.2155951529934423,,,3.2397367605822223,3.2185,3.197263239417778,74.75069253260538,0.004838531715110232
57,2023-09-28T04:00:00.000Z,2023-09-28T04:11:30.278Z,FIL-USD,15MINS,3.21,3.22,3.22,3.21,6861.7,33,22027.56,263964.5,0.0,0.004487836267362155,0.006677077886679228,-0.002189241619317073,3.217149466781201,,3.2174069137317702,3.215086502721311,,,3.2388997487428983,3.219,3.1991002512571014,18.98140484538435,0.005096605129354732
56,2023-09-28T04:15:00.000Z,2023-09-28T04:24:38.605Z,FIL-USD,15MINS,3.21,3.21,3.21,3.21,7022.7,30,22542.867,263547.7,0.0,0.0035655532658518396,0.006054772962513751,-0.0024892196966619113,3.2155606963853782,,3.21634878319866,3.21462409338301,,,3.2379119526407836,3.219499999999999,3.2010880473592147,18.98140484538435,0.004841774872886996
55,2023-09-28T04:30:00.000Z,2023-09-28T04:30:00.000Z,FIL-USD,15MINS,3.21,3.21,3.21,3.21,0,0,0,264623.7,-0.0031055900621118626,0.0028023337830069828,0.005404285126612398,-0.002601951343605415,3.2143249860775165,,3.2154418141702803,3.214203721257282,,,3.2367332005322744,3.219999999999999,3.2032667994677233,18.98140484538435,0.0045996861292426465
54,2023-09-28T04:45:00.000Z,2023-09-28T04:55:20.891Z,FIL-USD,15MINS,3.22,3.22,3.22,3.22,4757.4,22,15318.828,264623.7,0.0,0.002970155170714861,0.0049174591354328905,-0.0019473039647180295,3.215586100282513,,3.216092983574526,3.214730655688438,,,3.236593476940969,3.220499999999999,3.204406523059029,88.37370314120435,0.004869701822780526
53,2023-09-28T05:00:00.000Z,2023-09-28T05:00:00.000Z,FIL-USD,15MINS,3.22,3.22,3.22,3.22,0,0,0,267782.8,-0.003095975232198067,0.003067791241760265,0.0045475255566983655,-0.0014797343149381007,3.216566966886399,,3.216651128778165,3.215209686989489,,,3.236593476940969,3.220499999999999,3.204406523059029,88.37370314120435,0.004626216731641499
52,2023-09-28T05:15:00.000Z,2023-09-28T05:27:08.271Z,FIL-USD,15MINS,3.23,3.23,3.23,3.23,7297.7,19,23571.571,267782.8,0.0,0.0039070469527868745,0.004419429835916067,-0.0005123828831291926,3.219552085356088,,3.2185581103812844,3.2165542608995357,,,3.2376132477271033,3.220999999999999,3.204386752272895,97.37317814776618,0.0048949058950594135
