,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:36:49.038Z,ICP-USD,15MINS,2.94,2.94,2.94,2.94,1001.6,2,2944.704,145605.9,0.0,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:57:35.321Z,ICP-USD,15MINS,2.94,2.95,2.95,2.94,3802.9,10,11209.633,145381.9,0.0,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:10:25.416Z,ICP-USD,15MINS,2.91,2.94,2.94,2.94,19647.8,38,57613.648,146573.9,0.0,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:26:30.302Z,ICP-USD,15MINS,2.94,2.94,2.94,2.94,8300,16,24402,143557.1,-0.003389830508474634,,,,,,,,,,,,,0.0,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:23.256Z,ICP-USD,15MINS,2.94,2.95,2.94,2.95,495.8,10,1459.039,141521.1,0.0,,,,,,,,,,,,,100.0,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:45:00.000Z,ICP-USD,15MINS,2.95,2.95,2.95,2.95,0,0,0,141302.7,0.003401360544217802,,,,,,,,,,,,,100.0,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:13:52.556Z,ICP-USD,15MINS,2.94,2.94,2.94,2.94,69,4,202.86,141302.7,-0.003389830508474634,,,,,,,,,,,,,20.0,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:28:40.719Z,ICP-USD,15MINS,2.94,2.95,2.94,2.95,304.3,4,897.138,141233.7,0.0,,,,2.94375,,,,,,,,,69.23076923076923,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:30:00.000Z,ICP-USD,15MINS,2.95,2.95,2.95,2.95,0,0,0,141249.4,0.0,,,,2.945138888888889,,,,,,,,,69.23076923076923,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:45:00.000Z,ICP-USD,15MINS,2.95,2.95,2.95,2.95,0,0,0,141249.4,0.0,,,,2.9462191358024694,,,,,,,,,69.23076923076923,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:00:00.000Z,ICP-USD,15MINS,2.95,2.95,2.95,2.95,0,0,0,141249.4,0.0,,,,2.947059327846365,,,,,,,,,69.23076923076923,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:21.958Z,ICP-USD,15MINS,2.95,2.95,2.95,2.95,1101.6,3,3249.72,141249.4,0.003401360544217802,,,,2.947712810547173,,,,,,,,,69.23076923076923,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:32:38.738Z,ICP-USD,15MINS,2.94,2.94,2.94,2.94,36.3,1,106.722,141249.4,0.0034129692832762792,,,,2.945998852647801,,2.9453846153846155,,,,,,,3.3457249070631967,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:57:51.135Z,ICP-USD,15MINS,2.93,2.93,2.93,2.93,448.2,15,1313.226,141249.4,-0.00340136054421758,,,,2.942443552059401,,2.9431868131868133,,,,,,,1.1523687580025945,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:04:45.567Z,ICP-USD,15MINS,2.94,2.94,2.94,2.94,4.2,1,12.348,141474.4,0.0034129692832762792,,,,2.941900540490645,,2.9427315541601256,,,,,,,57.22991689750657,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:17:44.972Z,ICP-USD,15MINS,2.93,2.93,2.93,2.93,483.7,2,1417.241,141478.6,0.0068728522336769515,,,,2.9392559759371686,,2.940912760708679,,,,,,,26.81027770568381,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:30:52.866Z,ICP-USD,15MINS,2.91,2.91,2.91,2.91,8374.9,13,24370.959,141962.3,-0.003424657534246478,,,,2.932754647951131,,2.9364966520360105,,,,,,,8.576172685761591,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:53:48.773Z,ICP-USD,15MINS,2.9,2.92,2.9,2.92,1194.4,7,3477.226,141359.3,0.0,,,,2.9299202817397685,,2.9341399874594374,,,,,,,45.58481988436978,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:12:48.725Z,ICP-USD,15MINS,2.91,2.92,2.91,2.92,1024.7,9,2988.764,141135.5,0.0,,,,2.9277157746864866,,2.932119989250946,,,,,,,45.58481988436978,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:26:37.981Z,ICP-USD,15MINS,2.92,2.92,2.92,2.92,908.4,4,2652.528,140886.9,0.0,,,,2.9260011580894894,,2.930388562215097,,,,2.9621660919469672,2.938,2.913833908053033,45.58481988436978,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:30:00.000Z,ICP-USD,15MINS,2.92,2.92,2.92,2.92,0,0,0,140887.9,0.0,,,,2.924667567402936,,2.9289044818986545,2.9371428571428573,,,2.962377155080783,2.9370000000000003,2.9116228449192176,45.58481988436978,0.008000000000000007
78,2023-09-27T22:45:00.000Z,2023-09-27T22:45:00.000Z,ICP-USD,15MINS,2.92,2.92,2.92,2.92,0,0,0,140887.9,0.0,,,,2.9236303302022835,,2.9276324130559894,2.9355844155844157,,,2.962381811916101,2.936000000000001,2.9096181880839005,45.58481988436978,0.007600000000000007
77,2023-09-27T23:00:00.000Z,2023-09-27T23:13:52.660Z,ICP-USD,15MINS,2.92,2.93,2.92,2.92,86.6,6,253.164,140887.9,0.0,,,,2.9228235901573316,,2.9265420683337053,2.934167650531287,,,2.9622029410170874,2.935000000000001,2.9077970589829145,45.58481988436978,0.0077200000000000185
76,2023-09-27T23:15:00.000Z,2023-09-27T23:23:26.520Z,ICP-USD,15MINS,2.92,2.92,2.92,2.92,1939.7,7,5663.924,140887.9,-0.0034129692832765013,,,,2.9221961256779245,,2.925607487143176,2.93287968230117,,,2.961856776553893,2.934000000000001,2.9061432234461093,45.58481988436978,0.0073340000000000185
75,2023-09-27T23:30:00.000Z,2023-09-27T23:39:21.121Z,ICP-USD,15MINS,2.93,2.93,2.93,2.93,375.4,2,1099.922,140064.9,0.0,,,,2.9239303199717193,,2.926234988979865,2.932617893001064,,,2.95990724809385,2.9330000000000007,2.9060927519061512,98.96969816048274,0.007467300000000029
74,2023-09-27T23:45:00.000Z,2023-09-27T23:45:00.000Z,ICP-USD,15MINS,2.93,2.93,2.93,2.93,0,0,0,140064.9,-0.00340136054421758,,,,2.9252791377557816,,2.9267728476970274,2.93237990272824,,,2.9577681974531838,2.932000000000001,2.906231802546818,98.96969816048274,0.007093935000000028
73,2023-09-28T00:00:00.000Z,2023-09-28T00:12:42.185Z,ICP-USD,15MINS,2.93,2.94,2.93,2.94,5818.1,22,17074.811,140515.4,-0.003389830508474634,,,,2.928550440476719,,2.9286624408831665,2.9330726388438544,,,2.9577681974531838,2.932000000000001,2.906231802546818,99.7907703742858,0.007239238250000016
72,2023-09-28T00:15:00.000Z,2023-09-28T00:24:46.150Z,ICP-USD,15MINS,2.94,2.95,2.94,2.95,5713.2,16,16796.997,141069.1,0.003401360544217802,,,,2.9333170092596705,,2.9317106636141426,2.9346114898580495,,,2.9577681974531838,2.932000000000001,2.906231802546818,99.9193362011028,0.007377276337500027
71,2023-09-28T00:30:00.000Z,2023-09-28T00:33:13.991Z,ICP-USD,15MINS,2.94,2.95,2.95,2.94,197.4,6,580.601,137958.4,0.0,,,,2.934802118313077,,2.932894854526408,2.9351013544164086,,,2.9562184141884584,2.9315000000000007,2.906781585811543,44.82808981094642,0.007508412520625038
