,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:59.583Z,LINK-USD,15MINS,7.507,7.558,7.54,7.555,50357,260,379488.4421,538998.8,0.00013238019592254346,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:59:45.721Z,LINK-USD,15MINS,7.546,7.566,7.555,7.554,43007.2,227,325124.1125,538352.5,0.003720435822482049,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:57.005Z,LINK-USD,15MINS,7.485,7.555,7.555,7.526,29647.9,226,222876.464,535300.6,-0.0014594666312857107,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:29:53.252Z,LINK-USD,15MINS,7.509,7.554,7.527,7.537,19837.4,208,149305.0953,537517.9,-0.006459267070920149,,,,,,,,,,,,,43.13725490196113,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:59.563Z,LINK-USD,15MINS,7.536,7.594,7.539,7.586,48748.7,272,369147.5153,537223.8,-0.0014479399763064338,,,,,,,,,,,,,88.259109311741,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:59:48.261Z,LINK-USD,15MINS,7.581,7.599,7.588,7.597,22289.2,86,169188.074,537581.9,-0.006798274284220085,,,,,,,,,,,,,91.34328358208964,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:14:38.118Z,LINK-USD,15MINS,7.594,7.657,7.596,7.649,118586.9,592,904105.0433,548611.7,-0.0026079019428868477,,,,,,,,,,,,,97.51499571550985,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:29:20.304Z,LINK-USD,15MINS,7.647,7.689,7.649,7.669,61403.4,315,471234.6878,591325.5,0.0014364063724208176,,,,7.584124999999999,,,,,,,,,98.3951300498063,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:44:57.333Z,LINK-USD,15MINS,7.646,7.69,7.664,7.658,13252.4,129,101539.4179,595526.1,0.0011766243953459377,,,,7.6005416666666665,,,,,,,,,70.80844285145479,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:59:29.535Z,LINK-USD,15MINS,7.644,7.669,7.656,7.649,9960.3,78,76268.8583,594067.1,0.00013075313807542344,,,,7.611310185185185,,,,,,,,,48.53944853944837,
