,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:43:49.802Z,LTC-USD,15MINS,63.4,63.6,63.5,63.5,175.06,16,11116.352,18139.03,0.0,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:59:30.098Z,LTC-USD,15MINS,63.5,63.6,63.6,63.5,251.19,20,15974.849,18104.63,0.001577287066246047,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:13:45.757Z,LTC-USD,15MINS,63.1,63.5,63.5,63.4,603.02,39,38136.246,18061.63,0.0,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:26:01.125Z,LTC-USD,15MINS,63.3,63.4,63.4,63.4,355.79,18,22549.18,18370.30,-0.0031446540880503138,,,,,,,,,,,,,0.0,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:43:28.321Z,LTC-USD,15MINS,63.5,63.7,63.5,63.6,143.74,26,9136.388,18120.64,0.0,,,,,,,,,,,,,88.88888888888889,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:55:04.634Z,LTC-USD,15MINS,63.6,63.6,63.6,63.6,118.84,19,7558.224,18058.47,0.0,,,,,,,,,,,,,88.88888888888889,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:12:58.813Z,LTC-USD,15MINS,63.5,63.6,63.5,63.6,67.8,12,4311.806,18014.38,-0.0031347962382444194,,,,,,,,,,,,,88.88888888888889,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:29:26.697Z,LTC-USD,15MINS,63.6,63.8,63.6,63.8,88.29,11,5624.048,17994.26,0.0031446540880502027,,,,63.55000000000001,,,,,,,,,98.63013698630134,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:42:27.087Z,LTC-USD,15MINS,63.6,63.7,63.7,63.6,198.42,12,12622.768,17958.35,0.0,,,,63.56111111111112,,,,,,,,,35.82089552238815,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:50:38.322Z,LTC-USD,15MINS,63.6,63.6,63.6,63.6,63.33,7,4027.788,18062.45,0.0,,,,63.56975308641976,,,,,,,,,35.82089552238815,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:05:43.690Z,LTC-USD,15MINS,63.6,63.6,63.6,63.6,128.51,8,8173.236,18087.27,-0.0015698587127158659,,,,63.576474622770924,,,,,,,,,35.82089552238815,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:43.118Z,LTC-USD,15MINS,63.6,63.7,63.6,63.7,980.65,29,62416.118,18078.72,0.004731861198738141,,,,63.60392470659961,,,,,,,,,81.90743338008463,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:47.453Z,LTC-USD,15MINS,63.4,63.6,63.6,63.4,234.75,13,14904.398,18312.73,0.0,,,,63.558608105133025,,63.561538461538476,,,,,,,15.429326287978832,
