,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:54.347Z,MATIC-USD,15MINS,0.5035,0.5045,0.5045,0.504,220507,68,111184.7581,11856070,0.0,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:59:50.932Z,MATIC-USD,15MINS,0.504,0.5046,0.504,0.504,97971,67,49410.2154,11937121,0.0035842293906811484,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:57.102Z,MATIC-USD,15MINS,0.5003,0.5039,0.5039,0.5022,187813,91,94242.4307,11925921,-0.0005970149253731183,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:28:58.072Z,MATIC-USD,15MINS,0.5013,0.5025,0.5022,0.5025,164212,75,82478.1166,11933366,-0.0011926058437686793,,,,,,,,,,,,,24.999999999997687,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:41:36.073Z,MATIC-USD,15MINS,0.5026,0.5036,0.5026,0.5031,22146,7,11141.3066,12018860,0.0013933121019109596,,,,,,,,,,,,,62.500000000000576,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:59:55.077Z,MATIC-USD,15MINS,0.5024,0.5035,0.5035,0.5024,55141,31,27722.2834,12015849,-0.000596777402029236,,,,,,,,,,,,,28.846153846153804,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:13:57.574Z,MATIC-USD,15MINS,0.5021,0.503,0.5023,0.5027,39175,16,19695.4098,12030874,-0.001985308715505285,,,,,,,,,,,,,51.31578947368758,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:29:20.314Z,MATIC-USD,15MINS,0.5026,0.5038,0.5026,0.5037,73789,42,37134.6106,12029451,0.0017899761336515052,,,,0.5030749999999999,,,,,,,,,84.32203389830502,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:43:03.096Z,MATIC-USD,15MINS,0.5027,0.5036,0.5036,0.5028,103814,44,52253.7176,12033467,0.00019892580067626398,,,,0.5030138888888889,,,,,,,,,37.977099236641656,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:56:15.753Z,MATIC-USD,15MINS,0.5023,0.5028,0.5027,0.5027,52709,45,26491.054,12051140,0.00019896538002384112,,,,0.5029441358024691,,,,,,,,,33.84353741496687,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:12:45.322Z,MATIC-USD,15MINS,0.5024,0.5028,0.5028,0.5026,48486,27,24368.2849,12031517,-0.0013908205841445254,,,,0.5028676611796982,,,,,,,,,27.793296089386793,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:43.384Z,MATIC-USD,15MINS,0.5026,0.5038,0.5027,0.5033,83775,26,42123.9921,12026818,0.0041899441340782495,,,,0.5029637364730986,,,,,,,,,79.38596491227963,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:26.814Z,MATIC-USD,15MINS,0.5012,0.5034,0.5033,0.5012,81544,52,40959.1343,12010650,-0.0023885350318471055,,,,0.5025717950346322,,0.5028615384615385,,,,,,,15.015082956258277,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:59:59.520Z,MATIC-USD,15MINS,0.5007,0.5024,0.5011,0.5024,75582,37,37897.1934,11998250,0.00039824771007568316,,,,0.5025336183602696,,0.5027956043956044,,,,,,,55.890872083919895,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:14:00.974Z,MATIC-USD,15MINS,0.5021,0.5024,0.5023,0.5022,54026,28,27131.934,11987135,0.0017953321364452268,,,,0.5024594809468763,,0.5027105180533752,,,,,,,48.16826339225488,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:29:53.534Z,MATIC-USD,15MINS,0.5013,0.5022,0.5022,0.5013,20617,5,10350.1491,11990007,0.0,,,,0.5022018185142372,,0.5025090154743216,,,,,,,21.469597642388415,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:39:12.064Z,MATIC-USD,15MINS,0.5012,0.5015,0.5015,0.5013,19960,4,10005.8544,11986089,-0.0005980861244020419,,,,0.5020014143999623,,0.5023362989779899,,,,,,,21.469597642388415,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:57:40.460Z,MATIC-USD,15MINS,0.5015,0.5016,0.5016,0.5016,32266,14,16182.6332,11983778,-0.0015923566878979223,,,,0.5019122111999706,,0.5022311134097056,,,,,,,54.84264222722255,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:14:20.550Z,MATIC-USD,15MINS,0.5018,0.5025,0.5018,0.5024,47962,24,24086.5015,11980243,-0.00019900497512437276,,,,0.5020206087110882,,0.502255240065462,,,,,,,86.17563604408576,
