,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:43.794Z,MKR-USD,15MINS,1441.0,1447.0,1441.0,1447.0,75.165,47,108505.932,4945.456,-0.002068965517241339,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:59:14.150Z,MKR-USD,15MINS,1445.0,1451.0,1448.0,1450.0,26.67,30,38625.472,4977.213,0.0,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:09.520Z,MKR-USD,15MINS,1442.0,1450.0,1450.0,1450.0,102.678,101,148530.737,4974.637,-0.0034364261168384758,,,,,,,,,,,,,100.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:25:48.391Z,MKR-USD,15MINS,1449.0,1456.0,1449.0,1455.0,38.661,45,56175.788,4979.512,-0.002741603838245399,,,,,,,,,,,,,100.0,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:31.625Z,MKR-USD,15MINS,1456.0,1467.0,1456.0,1459.0,33.46,39,48964.701,4971.428,-0.002734107997265922,,,,,,,,,,,,,100.0,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:59:30.070Z,MKR-USD,15MINS,1458.0,1464.0,1459.0,1463.0,62.343,32,91220.66,4978.894,-0.000683060109289646,,,,,,,,,,,,,100.0,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:14:23.520Z,MKR-USD,15MINS,1464.0,1469.0,1465.0,1464.0,31.741,38,46539.835,5019.322,-0.0027247956403270157,,,,,,,,,,,,,100.0,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:29:32.693Z,MKR-USD,15MINS,1464.0,1472.0,1464.0,1468.0,11.327,21,16628.714,5022.310,0.0020477815699657675,,,,1457.0,,,,,,,,,100.0,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:43:45.189Z,MKR-USD,15MINS,1465.0,1469.0,1469.0,1465.0,5.295,7,7764.953,5023.481,-0.002043596730245234,,,,1458.7777777777778,,,,,,,,,51.63727959697732,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:58:07.391Z,MKR-USD,15MINS,1464.0,1468.0,1466.0,1468.0,14.289,18,20936.314,5021.080,-0.000680735194009574,,,,1460.8271604938273,,,,,,,,,75.41613316261203,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:08:19.757Z,MKR-USD,15MINS,1468.0,1471.0,1469.0,1469.0,5.706,11,8385.748,5022.558,-0.005416384563303955,,,,1462.6433470507545,,,,,,,,,81.4850530376085,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:42.493Z,MKR-USD,15MINS,1468.0,1480.0,1471.0,1477.0,21.689,34,32025.762,5022.358,0.0033967391304348116,,,,1465.833714372809,,,,,,,,,96.25949736995909,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:28.228Z,MKR-USD,15MINS,1470.0,1481.0,1476.0,1472.0,34.454,55,50825.185,5025.648,0.002042205582028611,,,,1467.2040000677403,,1462.076923076923,,,,,,,48.190773432166196,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:57:57.173Z,MKR-USD,15MINS,1464.0,1469.0,1468.0,1469.0,22.287,31,32682.981,5027.219,-0.004067796610169538,,,,1467.603111163798,,1463.065934065934,,,,,,,30.133561017259254,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:14:40.404Z,MKR-USD,15MINS,1468.0,1475.0,1470.0,1475.0,10.112,13,14878.474,5026.633,0.004084411164057222,,,,1469.2468642385097,,1464.7708006279433,,,,,,,72.04012398408707,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:27:14.194Z,MKR-USD,15MINS,1469.0,1474.0,1474.0,1469.0,5.39,16,7929.326,5028.976,-0.0013596193065941176,,,,1469.192005518841,,1465.3749719668085,,,,,,,32.75117891816921,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:43:40.259Z,MKR-USD,15MINS,1471.0,1472.0,1471.0,1471.0,62.34,19,91759.596,5030.354,-0.005409060175794456,,,,1469.5937820702095,,1466.1785474001215,,,,,,,50.68230086335267,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:59:10.300Z,MKR-USD,15MINS,1472.0,1481.0,1472.0,1479.0,128.884,58,189867.222,5047.946,-0.006715916722632609,,,,1471.6840527212742,,1468.0101834858185,,,,,,,84.25917509226386,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:14:55.266Z,MKR-USD,15MINS,1479.0,1493.0,1479.0,1489.0,189.253,105,281206.141,5106.100,-0.0033467202141901353,,,,1475.5320410054355,,1471.0087287021302,,,,,,,94.1745314528973,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:29:40.779Z,MKR-USD,15MINS,1484.0,1498.0,1488.0,1494.0,96.546,115,143904.504,5183.527,-0.0066489361702127825,,,,1479.6360318931165,,1474.2931960303972,,,,1491.2404641751264,1467.65,1444.0595358248738,96.42590300379122,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:44:10.894Z,MKR-USD,15MINS,1493.0,1510.0,1493.0,1504.0,105.103,185,158015.975,5135.481,-0.011176857330703505,,,,1485.0502470279796,,1478.537025168912,1469.3809523809523,,,1497.0141471671257,1470.5,1443.9858528328743,98.59612614388456,8.3
78,2023-09-27T22:45:00.000Z,2023-09-27T22:59:59.807Z,MKR-USD,15MINS,1503.0,1521.0,1503.0,1521.0,61.85,75,93525.881,5125.238,0.007284768211920589,,,,1493.0390810217618,,1484.603164430496,1474.073593073593,,,1506.8918939770508,1474.05,1441.208106022949,99.54189286500103,8.785
77,2023-09-27T23:00:00.000Z,2023-09-27T23:14:37.294Z,MKR-USD,15MINS,1508.0,1532.0,1521.0,1510.0,150.84,180,229206.462,5123.527,0.010709504685408211,,,,1496.808174128037,,1488.231283797568,1477.3396300669026,,,1511.4794931708352,1477.05,1442.6205068291647,53.17903756230358,9.54575
76,2023-09-27T23:15:00.000Z,2023-09-27T23:29:58.694Z,MKR-USD,15MINS,1493.0,1509.0,1509.0,1494.0,83.338,96,124916.797,5105.006,-0.002004008016032066,,,,1496.1841354329176,,1489.0553861122012,1478.8542091517297,,,1512.6214217426982,1479.0,1445.3785782573018,22.581862495565545,9.9184625
75,2023-09-27T23:30:00.000Z,2023-09-27T23:43:34.019Z,MKR-USD,15MINS,1493.0,1505.0,1495.0,1497.0,126.193,111,188904.797,5116.532,-0.0013342228152101177,,,,1496.365438670047,,1490.1903309533152,1480.5038265015726,,,1514.0777033563172,1480.9,1447.722296643683,36.32123134635857,10.022539375000001
