,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:25.372Z,NEAR-USD,15MINS,1.065,1.068,1.068,1.067,16159.2,26,17225.6917,1304334.7,0.0009380863039398779,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:59:51.075Z,NEAR-USD,15MINS,1.066,1.068,1.068,1.066,1810.3,13,1931.2538,1309990.6,0.002822201317027373,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:11:04.150Z,NEAR-USD,15MINS,1.056,1.065,1.065,1.063,25984.5,85,27588.0155,1310269.7,-0.00187793427230043,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:25:43.447Z,NEAR-USD,15MINS,1.063,1.066,1.064,1.065,5637.7,10,5993.8594,1309405.5,-0.0018744142455482393,,,,,,,,,,,,,50.0,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:37:51.773Z,NEAR-USD,15MINS,1.067,1.067,1.067,1.067,1008.2,6,1075.7494,1305312.1,-0.00187090739008422,,,,,,,,,,,,,75.0,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:55:50.187Z,NEAR-USD,15MINS,1.068,1.069,1.068,1.069,1014.5,7,1084.1129,1306340.0,0.0,,,,,,,,,,,,,87.5,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:10:07.216Z,NEAR-USD,15MINS,1.068,1.069,1.068,1.069,1639.7,17,1752.2967,1305727.6,-0.002798507462686728,,,,,,,,,,,,,87.5,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:27:32.355Z,NEAR-USD,15MINS,1.07,1.072,1.07,1.072,3852.7,11,4124.5767,1304604.5,0.0018691588785046953,,,,1.06725,,,,,,,,,96.87500000000009,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:42:11.446Z,NEAR-USD,15MINS,1.07,1.071,1.071,1.07,4367.9,17,4675.8677,1303501.7,0.00093545369504211,,,,1.0678611111111111,,,,,,,,,48.43750000000072,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:51:11.600Z,NEAR-USD,15MINS,1.069,1.069,1.069,1.069,1109.8,3,1186.3762,1301826.2,-0.0009345794392524587,,,,1.0681141975308641,,,,,,,,,32.291666666666096,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:13:52.212Z,NEAR-USD,15MINS,1.068,1.071,1.069,1.07,8370.9,12,8954.7868,1301826.2,-0.001865671641791078,,,,1.0685332647462276,,,,,,,,,59.37500000000071,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:19:52.341Z,NEAR-USD,15MINS,1.07,1.072,1.07,1.072,5926.3,12,6352.7227,1303927.3,0.0037453183520599342,,,,1.069303650358177,,,,,,,,,84.37499999999957,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:05.863Z,NEAR-USD,15MINS,1.068,1.072,1.072,1.068,13663.6,26,14599.6957,1301188.3,0.0,,,,1.069013950278582,,1.068230769230769,,,,,,,24.37500000000036,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:51:32.789Z,NEAR-USD,15MINS,1.067,1.068,1.067,1.068,280.1,2,299.0068,1298402.3,-0.0018691588785046953,,,,1.0687886279944527,,1.068197802197802,,,,,,,24.37500000000036,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:11:05.878Z,NEAR-USD,15MINS,1.07,1.07,1.07,1.07,1032.7,4,1104.989,1298682.4,0.00093545369504211,,,,1.0690578217734632,,1.0684552590266874,,,,,,,68.77866972477065,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:22:44.655Z,NEAR-USD,15MINS,1.069,1.069,1.069,1.069,139.9,2,149.5531,1298161.6,0.0018744142455482393,,,,1.0690449724904714,,1.068533079165732,,,,,,,43.334537572252614,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:30:24.305Z,NEAR-USD,15MINS,1.067,1.067,1.067,1.067,9076.2,6,9684.3054,1304493.7,0.0009380863039398779,,,,1.0685905341592554,,1.0683140678563416,,,,,,,17.475233100232856,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:48:24.543Z,NEAR-USD,15MINS,1.066,1.066,1.066,1.066,5615.4,3,5986.0164,1304493.7,-0.006523765144454741,,,,1.068014859901643,,1.0679834867340072,,,,,,,10.9443430656938,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:10:36.837Z,NEAR-USD,15MINS,1.069,1.073,1.069,1.073,4540.4,18,4865.7603,1303408.1,0.0009328358208953169,,,,1.069122668812389,,1.0687001314862918,,,,,,,85.7102073085034,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:25:05.737Z,NEAR-USD,15MINS,1.072,1.073,1.072,1.072,11666.8,7,12507.4766,1305878.6,-0.0018621973929237035,,,,1.069762075742969,,1.0691715412739644,,,,1.0736358713251115,1.0685999999999998,1.063564128674888,69.12844795012423,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:39:12.255Z,NEAR-USD,15MINS,1.074,1.074,1.074,1.074,10010.3,3,10751.0622,1313070.9,0.0009319664492080104,,,,1.070703836688976,,1.0698613210919694,1.0688571428571427,,,1.0744445427474028,1.0689499999999998,1.063455457252597,82.59632282458304,0.0026000000000000025
78,2023-09-27T22:45:00.000Z,2023-09-27T22:51:03.264Z,NEAR-USD,15MINS,1.071,1.075,1.075,1.073,20190.1,17,21663.2026,1305405.3,0.0009328358208953169,,,,1.0712140952025369,,1.0703097037931166,1.069233766233766,,,1.07488927544525,1.0693,1.06371072455475,57.50811086392134,0.0026700000000000027
77,2023-09-27T23:00:00.000Z,2023-09-27T23:13:53.981Z,NEAR-USD,15MINS,1.072,1.073,1.073,1.072,1168.5,7,1253.7581,1309898.6,-0.0018621973929237035,,,,1.0713887407130842,,1.0705511746798142,1.0694852420306964,,,1.07464387372158,1.06975,1.06485612627842,35.77510149005939,0.0025864999999999972
76,2023-09-27T23:15:00.000Z,2023-09-27T23:29:01.963Z,NEAR-USD,15MINS,1.071,1.074,1.072,1.074,3741.3,10,4011.6009,1310075.4,-0.0009302325581393989,,,,1.071969020554621,,1.0710438640112694,1.0698956745733603,,,1.074915930449192,1.0702,1.065484069550808,74.42918312058117,0.002607175000000003
75,2023-09-27T23:30:00.000Z,2023-09-27T23:39:28.593Z,NEAR-USD,15MINS,1.074,1.075,1.074,1.075,258,4,277.1719,1307842.9,0.0,,,,1.072642571542483,,1.0716090262953737,1.0703597041576003,,,1.0755152822912202,1.0706,1.0656847177087798,84.0367476752318,0.002526816249999997
74,2023-09-27T23:45:00.000Z,2023-09-27T23:45:00.000Z,NEAR-USD,15MINS,1.075,1.075,1.075,1.075,0,0,0,1308076.6,-0.004629629629629761,,,,1.0731664445330422,,1.0720934511103204,1.0707815492341821,,,1.076111525688587,1.0709,1.065688474311413,84.0367476752318,0.002400475437499997
73,2023-09-28T00:00:00.000Z,2023-09-28T00:14:52.255Z,NEAR-USD,15MINS,1.074,1.08,1.076,1.08,11444.5,28,12314.562,1314705.0,0.0,,,,1.0746850124145884,,1.0732229580945603,1.0716195902128929,,,1.0779145185437669,1.07145,1.0649854814562332,98.12516328360992,0.002580451665624998
72,2023-09-28T00:15:00.000Z,2023-09-28T00:28:19.770Z,NEAR-USD,15MINS,1.077,1.08,1.08,1.08,3660.9,28,3949.5849,1312851.3,0.0018552875695732052,,,,1.075866120766902,,1.0741911069381944,1.0723814456480845,,,1.0793139131828224,1.0718500000000002,1.064386086817178,98.12516328360992,0.0026014290823437535
71,2023-09-28T00:30:00.000Z,2023-09-28T00:44:55.270Z,NEAR-USD,15MINS,1.078,1.08,1.08,1.078,1209.5,27,1304.3676,1312195.8,-0.0018518518518518823,,,,1.0763403161520348,,1.0747352345184524,1.0728922233164404,,,1.0801208322304627,1.0722500000000001,1.0643791677695376,40.68064514733317,0.002571357628226566
70,2023-09-28T00:45:00.000Z,2023-09-28T00:59:23.777Z,NEAR-USD,15MINS,1.079,1.08,1.079,1.08,3629.8,17,3918.8509,1312179.2,0.0037174721189590088,,,,1.0771535792293605,,1.0754873438729593,1.0735383848331277,,,1.0812047605558142,1.0728000000000002,1.0643952394441862,72.6744912173724,0.002542789746815238
69,2023-09-28T01:00:00.000Z,2023-09-28T01:10:59.068Z,NEAR-USD,15MINS,1.076,1.08,1.08,1.076,2119,25,2283.6586,1312139.4,-0.0046253469010174575,,,,1.0768972282895026,,1.0755605804625366,1.0737621680301161,,,1.0815118963379684,1.0731000000000002,1.064688103662032,23.017218493270647,0.0026156502594744764
68,2023-09-28T01:15:00.000Z,2023-09-28T01:25:17.244Z,NEAR-USD,15MINS,1.077,1.081,1.077,1.081,601.1,4,649.2335,1311491.5,0.002782931354359919,,,,1.0778089553362797,,1.07633764039646,1.074420152754651,,,1.082615870063025,1.0735500000000002,1.0644841299369754,71.57427789670867,0.0027348677465007473
67,2023-09-28T01:30:00.000Z,2023-09-28T01:40:05.722Z,NEAR-USD,15MINS,1.077,1.081,1.081,1.078,1216.6,9,1311.964,1311491.5,-0.000926784059314123,,,,1.0778514097059955,,1.0765751203398228,1.0747455934133192,,,1.0829376318555872,1.0740500000000002,1.0651623681444131,40.73889803700838,0.00279812435917571
66,2023-09-28T01:45:00.000Z,2023-09-28T01:56:02.048Z,NEAR-USD,15MINS,1.078,1.079,1.078,1.079,1553.6,8,1676.1643,1311491.5,-0.0027726432532348966,0.0029901891008667913,0.0027834323753436075,0.00020675672552318385,1.078106651993552,,1.0769215317198482,1.075132357648472,,,1.083281013765855,1.0746,1.065918986234145,53.961625578494065,0.002708218141216919
65,2023-09-28T02:00:00.000Z,2023-09-28T02:12:54.446Z,NEAR-USD,15MINS,1.081,1.084,1.082,1.082,3568,12,3863.6734,1311011.6,0.002780352177942591,0.0031675680511222826,0.0028602595104993424,0.00030730854062294014,1.0789718404394293,,1.0776470271884413,1.0757566887713381,,,1.0841799777283174,1.0752000000000002,1.0662200222716829,80.3150457530969,0.0028228072341560787
64,2023-09-28T02:15:00.000Z,2023-09-28T02:24:20.986Z,NEAR-USD,15MINS,1.079,1.082,1.082,1.079,5498,32,5940.5109,1311640.7,0.0018570102135562205,0.0030311262822213525,0.0028944328648437445,0.00013669341737760797,1.078978098119556,,1.077840309018664,1.076051535246671,,,1.0843510115016504,1.0757,1.0670489884983498,37.445603380855445,0.0028316668724482803
63,2023-09-28T02:30:00.000Z,2023-09-28T02:38:19.987Z,NEAR-USD,15MINS,1.077,1.079,1.079,1.077,7309.1,20,7873.9668,1310550.7,0.0009293680297397522,0.002730140551233884,0.0028615744021217725,-0.0001314338508878886,1.0785385207596547,,1.0777202648731405,1.0761377593151555,,,1.0838837490850357,1.0762,1.0685162509149644,21.87641835293247,0.0027900835288258664
62,2023-09-28T02:45:00.000Z,2023-09-28T02:57:05.396Z,NEAR-USD,15MINS,1.075,1.077,1.077,1.076,7084.3,12,7622.2875,1312366.3,0.0018621973929235924,0.0023834407272267377,0.0027659476671427654,-0.0003825069399160277,1.077974405035287,,1.0774745127484062,1.0761252357410505,,,1.0828024585209703,1.0767000000000002,1.07059754147903,15.451833528434115,0.0027505793523845733
61,2023-09-28T03:00:00.000Z,2023-09-28T03:07:41.642Z,NEAR-USD,15MINS,1.074,1.076,1.076,1.074,559.6,5,601.709,1310354.9,-0.0009302325581393989,0.001925103933748451,0.0025977789204639024,-0.0006726749867154514,1.0770912039163345,,1.0769781537843481,1.075932032491864,,,1.0827458318856433,1.07675,1.0707541681143569,7.105254788014554,0.002713050384765345
60,2023-09-28T03:15:00.000Z,2023-09-28T03:24:08.237Z,NEAR-USD,15MINS,1.075,1.075,1.075,1.075,2143.5,4,2304.2625,1310354.9,0.0,0.0016238417287868234,0.0024029914821284866,-0.0007791497533416632,1.0766264919349269,,1.0766955603865842,1.075847302265331,,,1.0825533176100655,1.0769000000000002,1.071246682389935,39.685298226363685,0.002627397865527072
59,2023-09-28T03:30:00.000Z,2023-09-28T03:31:49.588Z,NEAR-USD,15MINS,1.075,1.076,1.076,1.075,278.3,2,299.3118,1309898.4,0.0,0.0013693047678762227,0.002196254139278034,-0.0008269493714018112,1.0762650492827208,,1.0764533374742151,1.0757702747866644,,,1.0825168662639624,1.07695,1.0713831337360378,39.685298226363685,0.002546027972250724
58,2023-09-28T03:45:00.000Z,2023-09-28T03:50:57.005Z,NEAR-USD,15MINS,1.075,1.075,1.075,1.075,139.2,1,149.64,1309898.4,0.0018639328984155767,0.0011542766102641266,0.0019878586334752526,-0.000833582023211126,1.0759839272198939,,1.0762457178350415,1.0757002498060586,,,1.0823969617542317,1.07705,1.0717030382457684,39.685298226363685,0.0024187265736381877
57,2023-09-28T04:00:00.000Z,2023-09-28T04:14:42.626Z,NEAR-USD,15MINS,1.073,1.076,1.075,1.073,5494.5,8,5900.906,1309898.4,-0.0027881040892194786,0.000813108947060659,0.0017529086961923339,-0.0009397997491316749,1.0753208322821397,,1.075782043858607,1.0754547725509624,,,1.082273006862542,1.0771000000000002,1.0719269931374584,6.002447225902396,0.002447790244956284
56,2023-09-28T04:15:00.000Z,2023-09-28T04:25:49.227Z,NEAR-USD,15MINS,1.073,1.076,1.073,1.076,4669.6,6,5014.788,1309664.0,-0.0009285051067779992,0.0007758623853248992,0.0015574994340188469,-0.0007816370486939477,1.0754717584416642,,1.0758131804502347,1.0755043386826932,,,1.082203998401426,1.0772,1.0721960015985739,73.49379071314122,0.0024754007327084755
55,2023-09-28T04:30:00.000Z,2023-09-28T04:44:07.511Z,NEAR-USD,15MINS,1.076,1.077,1.076,1.077,3169.9,7,3413.5879,1310682.9,0.0009293680297397522,0.0008176109493744921,0.0014095217370899758,-0.0005919107877154837,1.07581136767685,,1.075982726100201,1.0756403078933574,,,1.0822030602688981,1.0773,1.0723969397311017,82.07434443509148,0.002401630696073046
54,2023-09-28T04:45:00.000Z,2023-09-28T04:54:56.567Z,NEAR-USD,15MINS,1.076,1.077,1.076,1.076,1229.4,5,1322.8954,1310452.1,0.0,0.000761230354833442,0.0012798634606386691,-0.0005186331058052271,1.0758532859708834,,1.0759851938001723,1.0756730071757794,,,1.0821780430818753,1.07735,1.0725219569181248,49.81940530240685,0.002331549161269388
53,2023-09-28T05:00:00.000Z,2023-09-28T05:11:20.978Z,NEAR-USD,15MINS,1.075,1.076,1.076,1.076,10515.4,7,11314.5153,1310452.1,-0.0037037037037036535,0.0007083825345541861,0.0011655672754217726,-0.0004571847408675865,1.0758858890884648,,1.0759873089715764,1.075702733796163,,,1.081852127178176,1.07715,1.072447872821824,49.81940530240685,0.0022649717032059242
52,2023-09-28T05:15:00.000Z,2023-09-28T05:29:54.931Z,NEAR-USD,15MINS,1.077,1.08,1.077,1.08,18305.1,18,19740.5964,1309088.8,-0.0009250693802034249,0.0009779931308075973,0.0011280524464989375,-0.00015005931569134017,1.0768001359576949,,1.0765605505470655,1.0760933943601483,,,1.081852127178176,1.07715,1.072447872821824,93.11457626774684,0.002351723118045628
51,2023-09-28T05:30:00.000Z,2023-09-28T05:40:46.349Z,NEAR-USD,15MINS,1.081,1.081,1.081,1.081,4760.2,8,5145.7762,1306420.0,0.0,0.001257853362848893,0.0011540126297689287,0.00010384073307996436,1.0777334390782072,,1.0771947576117704,1.0765394494183167,,,1.0822839743178425,1.0773,1.0723160256821573,95.18970609080895,0.002284136962143341
50,2023-09-28T05:45:00.000Z,2023-09-28T05:58:11.003Z,NEAR-USD,15MINS,1.081,1.082,1.082,1.081,8988.2,10,9719.6277,1302634.6,0.0,0.0014627825661535088,0.0012157666170458446,0.00024701594910766416,1.0784593415052723,,1.0777383636672317,1.0769449540166516,,,1.0824597945165328,1.07735,1.0722402054834672,95.18970609080895,0.0022199301140361795
49,2023-09-28T06:00:00.000Z,2023-09-28T06:10:18.920Z,NEAR-USD,15MINS,1.081,1.081,1.081,1.081,1492.8,9,1613.7168,1300311.3,-0.0009242144177450395,0.0016066697474759195,0.0012939472431318596,0.0003127225043440599,1.0790239322818784,,1.0782043117147702,1.0773135945605923,,,1.082906599664762,1.0776,1.0722934003352378,95.18970609080895,0.0021089336083343706
