,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:47.949Z,RUNE-USD,15MINS,1.714,1.719,1.715,1.719,114479,97,196467.858,4480001,0.0,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:53:50.034Z,RUNE-USD,15MINS,1.719,1.72,1.719,1.719,12334,38,21210.208,4472055,0.0029171528588098905,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:56.314Z,RUNE-USD,15MINS,1.705,1.718,1.718,1.714,82228,163,140528.389,4471741,-0.002908667830133882,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:28:27.273Z,RUNE-USD,15MINS,1.708,1.719,1.713,1.719,62003,46,106087.548,4453812,-0.004055619930474985,,,,,,,,,,,,,66.66666666666666,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:23.455Z,RUNE-USD,15MINS,1.72,1.726,1.72,1.726,12411,25,21385.983,4451470,-0.0005790387955993959,,,,,,,,,,,,,88.37209302325553,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:59:59.897Z,RUNE-USD,15MINS,1.725,1.727,1.726,1.727,13433,48,23186.498,4450286,-0.0011567379988433046,,,,,,,,,,,,,90.19607843137248,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:13:19.240Z,RUNE-USD,15MINS,1.726,1.733,1.726,1.729,133203,72,230469.438,4450059,-0.004605641911341385,,,,,,,,,,,,,93.97590361445776,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:29:10.864Z,RUNE-USD,15MINS,1.729,1.737,1.729,1.737,43763,51,75921.376,4524254,0.0046269519953729965,,,,1.7237500000000001,,,,,,,,,98.52507374631266,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:43:29.029Z,RUNE-USD,15MINS,1.729,1.736,1.736,1.729,8138,11,14093.831,4536859,-0.00230813618003467,,,,1.7249166666666669,,,,,,,,,39.247943595769726,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:57:57.314Z,RUNE-USD,15MINS,1.727,1.733,1.729,1.733,40981,48,70910.715,4537219,0.004637681159420204,,,,1.7267129629629632,,,,,,,,,62.068965517241395,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:14:56.233Z,RUNE-USD,15MINS,1.724,1.731,1.731,1.725,45415,67,78443.09,4539992,0.00877192982456143,,,,1.7263323045267491,,,,,,,,,24.80211081794197,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:44.112Z,RUNE-USD,15MINS,1.709,1.725,1.725,1.71,75327,134,129005.133,4546054,0.0029325513196480912,,,,1.7227029035208048,,,,,,,,,7.627806329456282,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:44.455Z,RUNE-USD,15MINS,1.697,1.708,1.708,1.705,151688,158,257892.092,4539864,-0.002340550029256927,,,,1.718768924960626,,1.7224615384615387,,,,,,,5.218678674973806,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:58:24.837Z,RUNE-USD,15MINS,1.696,1.71,1.705,1.709,36612,66,62264.276,4485947,-0.0023350846468184194,,,,1.7165980527471536,,1.7205384615384618,,,,,,,37.03642994713774,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:13:58.212Z,RUNE-USD,15MINS,1.71,1.715,1.711,1.713,20338,28,34847.468,4469527,0.0005841121495326895,,,,1.7157984854700083,,1.7194615384615386,,,,,,,62.32868315884973,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:29:53.801Z,RUNE-USD,15MINS,1.711,1.715,1.715,1.712,12097,14,20716.362,4466688,0.0005844535359438296,,,,1.7149543775877842,,1.7183956043956046,,,,,,,51.903877171848265,
