,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:49.535Z,SNX-USD,15MINS,2.041,2.062,2.041,2.058,59092.2,220,121298.7274,1465145.7,0.00048614487117148997,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:59:51.578Z,SNX-USD,15MINS,2.046,2.068,2.057,2.057,17173.4,92,35340.6641,1485687.3,0.00194836824159772,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:21.308Z,SNX-USD,15MINS,2.044,2.066,2.055,2.053,11589.3,118,23800.6836,1482466.3,-0.0009732360097324255,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:29:03.913Z,SNX-USD,15MINS,2.052,2.057,2.054,2.055,8373.2,34,17201.6083,1484886.2,-0.003394762366634163,,,,,,,,,,,,,44.44444444444773,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:36.675Z,SNX-USD,15MINS,2.054,2.072,2.054,2.062,6415.9,48,13243.0184,1486549.8,0.002430724355857894,,,,,,,,,,,,,86.48648648648643,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:59:59.503Z,SNX-USD,15MINS,2.056,2.062,2.062,2.057,5967.6,33,12284.2349,1484821.5,0.0004863813229571967,,,,,,,,,,,,,41.55844155844142,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:13:17.345Z,SNX-USD,15MINS,2.055,2.061,2.056,2.056,10036.5,42,20660.0252,1483087.4,-0.0033931168201648543,,,,,,,,,,,,,34.40860215053804,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:27:30.039Z,SNX-USD,15MINS,2.057,2.064,2.058,2.063,7650.2,42,15769.4442,1481358.3,0.006341463414634374,,,,2.057625,,,,,,,,,80.75709779179897,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:42:49.971Z,SNX-USD,15MINS,2.05,2.061,2.061,2.05,12175.1,37,25009.3832,1481955.0,-0.00146127618119829,,,,2.0559305555555554,,,,,,,,,22.280243690165182,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:59:48.653Z,SNX-USD,15MINS,2.049,2.053,2.049,2.053,7348,20,15068.6001,1476825.2,0.0009751340809360798,,,,2.0552793209876543,,,,,,,,,41.748206131767915,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:14:13.658Z,SNX-USD,15MINS,2.047,2.054,2.051,2.051,43870.5,83,89970.3476,1472877.8,0.009350393700787496,,,,2.0543283607681757,,,,,,,,,31.29584352078355,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:54.270Z,SNX-USD,15MINS,2.02,2.053,2.053,2.032,96631.7,257,196348.1252,1460580.8,0.008937437934458892,,,,2.049366502819692,,,,,,,,,5.436167501911279,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:49.083Z,SNX-USD,15MINS,2.014,2.037,2.031,2.014,150423.3,249,304415.9568,1439331.9,-0.0014873574615766882,,,,2.0415072799708716,,2.050846153846154,,,,,,,2.1188544942890624,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:59:58.804Z,SNX-USD,15MINS,2.011,2.02,2.015,2.017,64347.8,65,129849.5656,1380978.2,0.0004960317460316332,,,,2.0360612177551225,,2.046010989010989,,,,,,,18.66351206360602,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:12:05.048Z,SNX-USD,15MINS,2.015,2.02,2.016,2.016,48102.7,105,97070.5533,1394547.8,-0.0009910802775023875,,,,2.0316031693650953,,2.041723704866562,,,,,,,16.773395969836173,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:28:49.141Z,SNX-USD,15MINS,2.015,2.024,2.016,2.018,18200.8,74,36745.9389,1425887.2,0.003980099502487455,,,,2.0285802428395185,,2.038334604171339,,,,,,,40.7679177884516,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:43:18.216Z,SNX-USD,15MINS,2.01,2.017,2.017,2.01,25865.1,36,52067.0026,1423027.1,-0.0009940357852883386,,,,2.0244512999862923,,2.0342868035754336,,,,,,,12.32989712667769,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:59:46.950Z,SNX-USD,15MINS,2.007,2.013,2.012,2.012,10298,27,20700.4147,1435967.1,-0.0029732408325072734,,,,2.021684344433783,,2.031102974493229,,,,,,,35.00041430414808,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:14:48.231Z,SNX-USD,15MINS,2.012,2.018,2.013,2.018,11951.2,28,24066.8559,1434047.6,0.0024838549428711776,,,,2.0208656012262756,,2.0292311209941962,,,,,,,74.52528635914437,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:29:05.502Z,SNX-USD,15MINS,2.011,2.017,2.017,2.013,4471.5,8,9011.853,1435604.7,0.0009945300845348726,,,,2.0191176898426586,,2.0269123894235967,,,,2.078548262989805,2.03825,1.9979517370101951,37.013455318802485,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:40:37.548Z,SNX-USD,15MINS,2.011,2.014,2.014,2.011,4689,7,9439.96,1433381.2,-0.003962357602773636,,,,2.0173137587665124,,2.0246391909345114,2.036952380952381,,,2.0767944984074083,2.0359000000000003,1.9950055015925923,26.38776411993492,0.010999999999999921
78,2023-09-27T22:45:00.000Z,2023-09-27T22:59:28.594Z,SNX-USD,15MINS,2.015,2.019,2.017,2.019,13335,25,26893.1606,1432387.5,0.0,,,,2.0176884790406207,,2.023833592229581,2.0353203463203466,,,2.0743236903073328,2.034,1.993676309692667,77.67033379535869,0.010849999999999926
77,2023-09-27T23:00:00.000Z,2023-09-27T23:09:43.056Z,SNX-USD,15MINS,2.017,2.022,2.022,2.019,2415.9,16,4879.9544,1431942.4,0.0014880952380953438,,,,2.017979928142705,,2.0231430790539267,2.0338366784730426,,,2.072140180722383,2.0323,1.9924598192776175,77.67033379535869,0.010557499999999925
76,2023-09-27T23:15:00.000Z,2023-09-27T23:28:09.361Z,SNX-USD,15MINS,2.012,2.02,2.014,2.016,8995.8,34,18138.5385,1431746.6,-0.006407097092163583,,,,2.0175399441109927,,2.02212263918908,2.0322151622482205,,,2.069364228173786,2.03035,1.9913357718262137,37.980838464006425,0.010429624999999929
75,2023-09-27T23:30:00.000Z,2023-09-27T23:43:35.798Z,SNX-USD,15MINS,2.018,2.029,2.018,2.029,146763.7,128,296826.7969,1430356.2,0.0014807502467917288,,,,2.0200866231974386,,2.0231051193049256,2.0319228747711096,,,2.0649110480378527,2.0286999999999997,1.9924889519621465,88.57560741669536,0.010558143749999926
74,2023-09-27T23:45:00.000Z,2023-09-27T23:55:52.116Z,SNX-USD,15MINS,2.026,2.026,2.026,2.026,1467.9,2,2973.9654,1514742.9,-0.0034431874077718305,,,,2.021400706931341,,2.0235186736899364,2.0313844316100997,,,2.060956951947715,2.02715,1.9933430480522847,64.34750759362257,0.010180236562499934
73,2023-09-28T00:00:00.000Z,2023-09-28T00:14:49.311Z,SNX-USD,15MINS,2.016,2.033,2.025,2.033,61798.8,96,125039.4269,1516446.9,-0.005381604696673259,,,,2.023978327613265,,2.0248731488770884,2.031531301463727,,,2.0572729915421086,2.026,1.9947270084578907,84.33872235913097,0.010521224734374933
72,2023-09-28T00:15:00.000Z,2023-09-28T00:28:36.818Z,SNX-USD,15MINS,2.031,2.044,2.035,2.044,23073.4,68,47016.874,1529887.0,0.0034364261168384758,,,,2.0284275881436504,,2.0276055561803616,2.0326648195124792,,,2.052715682713454,2.0250499999999994,1.9973843172865449,94.33029951557563,0.010645163497656183
71,2023-09-28T00:30:00.000Z,2023-09-28T00:41:58.145Z,SNX-USD,15MINS,2.037,2.043,2.043,2.037,11447,44,23349.9285,1527341.8,-0.002936857562408357,,,,2.0303325685561724,,2.028947619583167,2.0330589268295265,,,2.050241052610118,2.0243999999999995,1.998558947389881,52.059406606997214,0.010462905322773379
70,2023-09-28T00:45:00.000Z,2023-09-28T00:59:48.215Z,SNX-USD,15MINS,2.038,2.044,2.039,2.043,22908.8,48,46719.7247,1530498.6,0.007893438579181122,,,,2.0331475533214673,,2.0309551024998576,2.033962660754115,,,2.0478240464803195,2.0239,1.9999759535196802,72.88732269999178,0.010289760056634716
69,2023-09-28T01:00:00.000Z,2023-09-28T01:11:10.371Z,SNX-USD,15MINS,2.025,2.044,2.042,2.027,7921.4,44,16121.0004,1530227.6,-0.005397448478900779,,,,2.0317814303611414,,2.030390087857021,2.0333296915946497,,,2.04323387445172,2.0226999999999995,2.002166125548279,21.973334799636817,0.010725272053802987
68,2023-09-28T01:15:00.000Z,2023-09-28T01:28:42.679Z,SNX-USD,15MINS,2.031,2.038,2.031,2.038,1149.8,8,2342.7089,1530844.3,0.003940886699507429,,,,2.0331633347253324,,2.0314772181631606,2.033754265086045,,,2.044232051243163,2.0229999999999997,2.0017679487568363,60.200200887596125,0.010739008451112822
67,2023-09-28T01:30:00.000Z,2023-09-28T01:39:16.093Z,SNX-USD,15MINS,2.03,2.03,2.03,2.03,984,3,1997.52,1530348.2,-0.001966568338249708,,,,2.0324603714530363,,2.031266186996995,2.0334129682600413,,,2.0448199904851787,2.0237999999999996,2.0027800095148205,35.151109261082844,0.010602058028557182
66,2023-09-28T01:45:00.000Z,2023-09-28T01:59:12.291Z,SNX-USD,15MINS,2.032,2.036,2.032,2.034,13178.2,28,26809.9609,1530110.2,0.001477104874445967,-0.004360942474653129,-0.008981482443052377,0.004620539968399248,2.0328025111301393,,2.03165673171171,2.033466334781856,,,2.0458752208469977,2.0246499999999994,2.003424779153001,54.20588095585125,0.010371955127129334
65,2023-09-28T02:00:00.000Z,2023-09-28T02:13:56.017Z,SNX-USD,15MINS,2.031,2.04,2.036,2.031,12620.8,39,25705.2538,1527659.2,0.004451038575667754,-0.003981489275374894,-0.00798148380951688,0.003999994534141986,2.0324019531012194,,2.031562912895751,2.03324212252896,,,2.046408569680012,2.0253999999999994,2.004391430319987,37.62337377333147,0.010303357370772861
64,2023-09-28T02:15:00.000Z,2023-09-28T02:29:09.073Z,SNX-USD,15MINS,2.021,2.031,2.031,2.022,12704.6,40,25758.919,1526929.3,0.0044709388971684305,-0.004356772503571804,-0.007256541548327865,0.002899769044756061,2.030090407967615,,2.030196782482072,2.0322201113899636,,,2.046398076834257,2.0255999999999994,2.0048019231657417,13.268678327777678,0.01028818950223423
63,2023-09-28T02:30:00.000Z,2023-09-28T02:44:22.719Z,SNX-USD,15MINS,2.01,2.023,2.022,2.013,125645.4,143,252771.7852,1529072.3,0.0014925373134329067,-0.0053190967136571565,-0.006869052581393724,0.001549955867736567,2.0262925395303673,,2.0277400992703476,2.0304728285363307,,,2.0461350435368577,2.0257499999999995,2.0053649564631413,5.782421611823171,0.010423780027122536
62,2023-09-28T02:45:00.000Z,2023-09-28T02:59:24.274Z,SNX-USD,15MINS,2.009,2.014,2.011,2.01,50589.1,60,101730.2588,1479169.5,0.003996003996004083,-0.006251754180661706,-0.00674559290124732,0.0004938387205856137,2.0226719751902857,,2.0252057993745836,2.0286116623057553,,,2.0463214779346495,2.0256499999999993,2.004978522065349,4.201923629370309,0.010152591025766404
61,2023-09-28T03:00:00.000Z,2023-09-28T03:14:28.441Z,SNX-USD,15MINS,2.002,2.01,2.01,2.002,31633.1,63,63475.329,1471490.0,-0.0024912805181864783,-0.007549400296626985,-0.006906354380323253,-0.0006430459163037318,2.0180782029257776,,2.0218906851782146,2.0261924202779595,,,2.0477609144296522,2.0248499999999994,2.0019390855703465,1.7096630568054445,0.010044961474478083
60,2023-09-28T03:15:00.000Z,2023-09-28T03:29:56.581Z,SNX-USD,15MINS,1.999,2.011,2.002,2.007,30817.1,50,61809.4127,1458131.0,0.0004985044865406518,-0.008081181153333006,-0.007141319734925203,-0.0009398614184078025,2.0156163800533826,,2.01976344443847,2.024447654798145,,,2.0482183332747605,2.024549999999999,2.000881666725238,43.55686544722288,0.010142713400754181
59,2023-09-28T03:30:00.000Z,2023-09-28T03:40:36.112Z,SNX-USD,15MINS,2.006,2.008,2.007,2.006,7190.9,15,14434.9762,1448333.1,0.0009980039920158834,-0.008485497423933896,-0.007410155272726942,-0.001075342151206955,2.0134794067081865,,2.017797238090117,2.022770595271041,,,2.0486318721023333,2.0242999999999993,1.999968127897665,37.21853507464839,0.009735577730716483
58,2023-09-28T03:45:00.000Z,2023-09-28T03:56:51.006Z,SNX-USD,15MINS,2.004,2.008,2.008,2.004,2239.4,5,4491.4672,1448440.4,0.008048289738430636,-0.008865112765015226,-0.007701146771184599,-0.0011639659938306275,2.011372871884145,,2.015826204077243,2.0210641775191283,,,2.049368404288375,2.0235499999999993,1.9977315957116235,23.525153485061676,0.009448798844180659
57,2023-09-28T04:00:00.000Z,2023-09-28T04:14:56.379Z,SNX-USD,15MINS,1.988,2.003,2.002,1.988,14035.5,56,27989.9545,1446829.4,-0.0015067805123054612,-0.010337858542044387,-0.008228489125356557,-0.00210936941668783,2.006178900354335,,2.011851032066208,2.0180583431992076,,,2.0520931885980755,2.0219999999999994,1.991906811401923,3.416030315105436,0.009776358901971626
56,2023-09-28T04:15:00.000Z,2023-09-28T04:28:03.287Z,SNX-USD,15MINS,1.99,1.995,1.993,1.991,5892.1,17,11749.1979,1447000.2,-0.003004506760140191,-0.011134592600491544,-0.008809709820383555,-0.002324882780107989,2.002805811386705,,2.008872313199607,2.0155984938174614,,,2.053679470083844,2.020749999999999,1.9878205299161542,26.86064348675935,0.009637540956873051
55,2023-09-28T04:30:00.000Z,2023-09-28T04:44:05.278Z,SNX-USD,15MINS,1.991,1.997,1.991,1.997,1605,7,3201.481,1446377.3,-0.0005005005005004337,-0.011153292018357241,-0.009278426259978292,-0.0018748657583789498,2.0015156310785485,,2.007176268456806,2.0139077216522376,,,2.0534036129482605,2.019149999999999,1.9848963870517373,62.89136635138303,0.0094556639090294
54,2023-09-28T04:45:00.000Z,2023-09-28T04:56:58.237Z,SNX-USD,15MINS,1.995,2.001,1.998,1.998,2138.3,9,4274.2963,1445781.9,-0.0019980019980019303,-0.01096106743670422,-0.009614954495323477,-0.0013461129413807425,2.00073437972776,,2.0058653729629765,2.012461565138398,,,2.0530423504460553,2.017749999999999,1.9824576495539428,68.12549129005819,0.00928288071357792
53,2023-09-28T05:00:00.000Z,2023-09-28T05:12:44.504Z,SNX-USD,15MINS,1.996,2.002,1.999,2.002,4680.1,15,9349.5649,1446275.5,0.0,-0.010366463363480793,-0.00976525626895494,-0.0006012070945258536,2.0010156286771466,,2.005313176825408,2.01151051376218,,,2.051400000000071,2.016199999999999,1.980999999999927,85.02411992316766,0.009118736677899014
52,2023-09-28T05:15:00.000Z,2023-09-28T05:29:56.608Z,SNX-USD,15MINS,1.997,2.002,1.998,2.002,5162.7,13,10319.6663,1445278.0,-0.0029880478087650486,-0.009782469136727201,-0.009768698842509391,-1.3770294217809592e-05,2.001234377860003,,2.0048398658503497,2.0106459216019816,,,2.047374013884713,2.0140999999999996,1.9808259861152862,85.02411992316766,0.008912799844004046
51,2023-09-28T05:30:00.000Z,2023-09-28T05:44:06.117Z,SNX-USD,15MINS,2.002,2.008,2.004,2.008,8598.6,33,17234.2995,1445472.6,0.0014962593516210099,-0.008734810193980369,-0.009561921112803587,0.0008271109188232179,2.002737849446669,,2.005291313586014,2.0104053832745286,,,2.044293482741196,2.01265,1.9810065172588038,96.41808251775134,0.008767159851803855
50,2023-09-28T05:45:00.000Z,2023-09-28T05:54:33.481Z,SNX-USD,15MINS,2.005,2.007,2.007,2.005,4377.9,9,8778.0821,1443282.6,-0.0004985044865403188,-0.00805376902580024,-0.009260290695402917,0.0012065216696026775,2.0032405495696315,,2.005249697359441,2.009913984795026,,,2.039286818322919,2.01075,1.9822131816770805,54.75746135524558,0.008478801859213668
49,2023-09-28T06:00:00.000Z,2023-09-28T06:11:31.754Z,SNX-USD,15MINS,2.006,2.007,2.007,2.006,2584.9,14,5186.375,1444317.1,-0.0004982561036374067,-0.00734863683961029,-0.00887795992424439,0.001529323084634101,2.00385376077638,,2.005356883450949,2.009558167995478,,,2.0372978260012773,2.0096999999999996,1.9821021739987221,64.87531566458176,0.008154861766252996
48,2023-09-28T06:15:00.000Z,2023-09-28T06:27:55.888Z,SNX-USD,15MINS,2.007,2.007,2.007,2.007,1435.1,7,2880.2457,1443708.5,-0.002485089463220569,-0.0066326656186395105,-0.008428901063123415,0.0017962354444839047,2.0045529250482956,,2.0055916143865278,2.0093256072686163,,,2.0325079555792205,2.0081499999999997,1.9837920444207788,75.73041498749221,0.007797118677940364
47,2023-09-28T06:30:00.000Z,2023-09-28T06:44:45.730Z,SNX-USD,15MINS,2.008,2.012,2.009,2.012,2801.9,18,5629.5727,1444144.4,-0.003960396039603964,-0.005597273173506778,-0.007862575485200089,0.0022653023116933103,2.006207830593119,,2.0065070980455952,2.00956873388056,,,2.029555828834524,2.00725,1.9849441711654763,94.06676532196389,0.007657262744043341
46,2023-09-28T06:45:00.000Z,2023-09-28T06:56:13.082Z,SNX-USD,15MINS,2.012,2.02,2.013,2.02,55866.3,60,112692.113,1443230.7,-0.0009891196834815874,-0.004084105039302788,-0.007106881396020628,0.0030227763567178406,2.0092727571279814,,2.008434655467653,2.0105170308005094,,,2.026171162044932,2.00655,1.9869288379550678,98.26396322352568,0.007674399606841175
45,2023-09-28T07:00:00.000Z,2023-09-28T07:14:08.932Z,SNX-USD,15MINS,2.02,2.022,2.02,2.022,6367.5,27,12867.7,1462514.0,0.000990099009900991,-0.0026924877827125826,-0.006224002673359019,0.0035315148906464363,2.012101033321763,2.0240727272727277,2.0103725618294166,2.0115609370913723,,,2.0237737092877564,2.0061,1.9884262907122434,98.71756387388706,0.007390679626499105
44,2023-09-28T07:15:00.000Z,2023-09-28T07:29:40.621Z,SNX-USD,15MINS,2.02,2.026,2.023,2.02,6755.1,24,13671.8869,1462065.9,-0.0039447731755424265,-0.0017310499003961866,-0.005325412118766452,0.0035943622183702657,2.0138563592502603,2.0239272727272732,2.0117479101395,2.01232812462852,,,2.023332051234237,2.0060000000000002,1.9886679487657632,64.83612764490427,0.007321145645174139
43,2023-09-28T07:30:00.000Z,2023-09-28T07:44:55.075Z,SNX-USD,15MINS,2.015,2.028,2.019,2.028,7850.7,19,15895.4587,1459479.5,-0.0009852216748766907,-0.0003198828997157399,-0.0043243062749563094,0.0040044233752405695,2.0169993905279804,2.0240727272727277,2.0140696372624287,2.013752840571382,,,2.026375238851678,2.0067500000000003,1.9871247611483225,90.61227060383091,0.007605088362915427
42,2023-09-28T07:45:00.000Z,2023-09-28T07:59:26.422Z,SNX-USD,15MINS,2.027,2.031,2.027,2.03,8760.2,32,17772.3733,1458734.8,0.007444168734491052,0.0009489218204721261,-0.0032696606558706223,0.0042185824763427485,2.019888414855096,2.024284415584416,2.016345403367796,2.015229855064893,,,2.029821474803096,2.0077500000000006,1.9856785251969054,93.13016515361727,0.007424833944769655
41,2023-09-28T08:00:00.000Z,2023-09-28T08:14:54.737Z,SNX-USD,15MINS,2.015,2.027,2.027,2.015,823.1,18,1662.1202,1459155.1,-0.0014866204162535812,0.0007356044722377497,-0.002468607630248948,0.0032042121024866976,2.0188021004428522,2.023952829313544,2.016153202886682,2.0152089591499025,,,2.0305214827710283,2.0084000000000004,1.9862785172289723,18.540123245480434,0.007803592247531156
40,2023-09-28T08:15:00.000Z,2023-09-28T08:28:53.813Z,SNX-USD,15MINS,2.011,2.018,2.014,2.018,2516.5,23,5071.5285,1458977.4,0.004980079681274896,0.0007994087780685,-0.0018150043485854583,0.0026144131266539585,2.018623855899996,2.023740228266632,2.0164170310457274,2.015462690136275,,,2.0314486666269085,2.0089500000000005,1.9864513333730924,38.30521809101593,0.007763412635154582
39,2023-09-28T08:30:00.000Z,2023-09-28T08:42:46.880Z,SNX-USD,15MINS,2.004,2.015,2.015,2.008,6493.2,31,13023.414,1458003.5,0.0024962556165750716,4.25670373025433e-05,-0.0014434900714078579,0.0014860571087104012,2.01626299903333,2.0231780772571093,2.015214598039195,2.01478426376025,,,2.0315130808213797,2.0090500000000007,1.9865869191786214,14.633868005534437,0.008075242003396842
38,2023-09-28T08:45:00.000Z,2023-09-28T08:57:52.260Z,SNX-USD,15MINS,2.003,2.01,2.008,2.003,5418,30,10877.1906,1457647.5,-0.0019930244145490716,-0.0009497456318139363,-0.0013447411834890735,0.0003949955516751372,2.013315665914812,2.022457431640784,2.013469655462167,2.013712967054773,,,2.0315122189041754,2.009000000000001,1.9864877810958261,9.044603823025305,0.008021479903226983
37,2023-09-28T09:00:00.000Z,2023-09-28T09:10:40.123Z,SNX-USD,15MINS,2.004,2.007,2.005,2.007,2071.7,21,4156.6548,1457238.8,0.0014970059880239361,-0.0013972869465712634,-0.0013552503361055116,-4.2036610465751804e-05,2.0119121846004093,2.021905380510756,2.0125454189675716,2.013102697322521,,,2.03034092935566,2.009950000000001,1.9895590706443416,43.544695092288876,0.007820405908065634
36,2023-09-28T09:15:00.000Z,2023-09-28T09:26:38.594Z,SNX-USD,15MINS,2.004,2.009,2.009,2.004,1674.2,13,3359.3998,1457583.0,0.0,-0.001971317470137901,-0.0014784637629119894,-0.0004928537072259116,2.010153921355874,2.021265902635372,2.011324644829347,2.01227517938411,,,2.02929117438749,2.0106000000000006,1.9919088256125113,27.753829217541227,0.007679385612662347
35,2023-09-28T09:30:00.000Z,2023-09-28T09:43:54.776Z,SNX-USD,15MINS,2.002,2.006,2.005,2.004,1019.4,17,2043.0584,1457703.1,-0.00248880039820798,-0.002398591327973598,-0.0016624892759243112,-0.000736102052049287,2.008786383276791,2.020649263255537,2.010278266996583,2.011522890349191,,,2.0288550272267463,2.0109500000000002,1.9930449727732542,27.753829217541227,0.00749541633202923
