,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:00.255Z,SOL-USD,15MINS,18.848,18.9,18.899,18.883,5926.6,78,111931.2587,1438220.6,-0.0005821954059489487,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:58:44.160Z,SOL-USD,15MINS,18.891,18.926,18.898,18.894,1695.1,39,32062.599,1436354.3,0.005267358339983819,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:56.411Z,SOL-USD,15MINS,18.687,18.884,18.883,18.795,15377.4,213,288406.9628,1436638.5,-0.002811969439728168,,,,,,,,,,,,,9.999999999999677,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:29:56.066Z,SOL-USD,15MINS,18.743,18.86,18.784,18.848,5378.2,108,101128.611,1437238.1,-0.003278688524590234,,,,,,,,,,,,,54.16666666666619,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:55.108Z,SOL-USD,15MINS,18.846,18.912,18.856,18.91,11217.6,175,212004.0285,1436635.1,0.0006879398846377782,,,,,,,,,,,,,78.66379310344878,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:59:49.493Z,SOL-USD,15MINS,18.896,18.929,18.91,18.897,20682.8,242,391074.8199,1430871.9,-0.0017432646592711043,,,,,,,,,,,,,64.26056338028046,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:14:06.368Z,SOL-USD,15MINS,18.895,18.944,18.895,18.93,4241.3,52,80238.525,1422644.2,-0.002844500632111391,,,,,,,,,,,,,81.47810218978059,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:29:24.150Z,SOL-USD,15MINS,18.935,19.005,18.935,18.984,10402.9,156,197338.9355,1421843.9,0.001107419712070845,,,,18.892625000000002,,,,,,,,,92.81161473087806,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:42:58.546Z,SOL-USD,15MINS,18.962,18.986,18.984,18.963,4477.1,69,84940.7629,1417785.1,0.0007916402786574128,,,,18.90826388888889,,,,,,,,,62.883877159308845,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:59:25.459Z,SOL-USD,15MINS,18.929,18.959,18.956,18.948,4953.5,50,93841.9842,1417023.5,0.0009508716323296529,,,,18.91709413580247,,,,,,,,,43.05190538764767,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:14:07.299Z,SOL-USD,15MINS,18.929,18.959,18.937,18.93,3903.4,42,73947.9704,1416091.0,-0.003579324139383111,,,,18.91996210562414,,,,,,,,,24.50448765893781,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:27.412Z,SOL-USD,15MINS,18.932,19.01,18.932,18.998,5304.3,50,100597.3406,1415059.9,0.005664072838918122,,,,18.937303859929887,,,,,,,,,82.25742661276122,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:27.729Z,SOL-USD,15MINS,18.891,18.991,18.991,18.891,2250.5,33,42603.1261,1414174.5,-0.0016910637848120968,,,,18.9270141132788,,18.913153846153847,,,,,,,24.140443641991116,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:59:59.364Z,SOL-USD,15MINS,18.862,18.935,18.886,18.923,4878.7,58,92246.1902,1414219.1,-0.0016882089158533065,,,,18.926122088105735,,18.91456043956044,,,,,,,46.67521847916694,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:14:00.706Z,SOL-USD,15MINS,18.922,18.955,18.923,18.955,2203.5,33,41720.8883,1413767.3,-0.00021098159185617416,,,,18.932539401860016,,18.920337519623235,,,,,,,66.5490434703482,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:27:18.573Z,SOL-USD,15MINS,18.958,18.976,18.958,18.959,2329.7,24,44194.1767,1413176.7,0.0008974765072324864,,,,18.938419534780014,,18.92586073110563,,,,,,,69.4001394177751,
