,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:43:47.555Z,SUSHI-USD,15MINS,0.576,0.577,0.577,0.576,105712.3,33,60984.057,880823.3,-0.0017331022530329143,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:57:34.994Z,SUSHI-USD,15MINS,0.577,0.577,0.577,0.577,36200.3,14,20887.5731,878740.6,0.005226480836237002,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:13:45.648Z,SUSHI-USD,15MINS,0.571,0.576,0.576,0.574,122067.3,68,69901.2647,875819.9,-0.00347222222222221,,,,,,,,,,,,,25.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:28:36.077Z,SUSHI-USD,15MINS,0.574,0.576,0.574,0.576,20592.5,10,11829.6779,863013.7,-0.0017331022530329143,,,,,,,,,,,,,62.5,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:43:21.747Z,SUSHI-USD,15MINS,0.577,0.577,0.577,0.577,32042.1,35,18488.2917,867455.4,0.0017361111111111605,,,,,,,,,,,,,75.0,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:59:42.144Z,SUSHI-USD,15MINS,0.576,0.577,0.577,0.576,7772.3,6,4476.9942,863073.7,-0.0017331022530329143,,,,,,,,,,,,,45.0,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:06:42.736Z,SUSHI-USD,15MINS,0.576,0.577,0.576,0.577,6776.2,13,3907.4657,858453.6,-0.0017301038062284002,,,,,,,,,,,,,69.44444444444444,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:25:22.305Z,SUSHI-USD,15MINS,0.578,0.578,0.578,0.578,36627.1,16,21170.4638,861554.2,0.003472222222222321,,,,0.576375,,,,,,,,,83.82352941176471,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:43:10.355Z,SUSHI-USD,15MINS,0.576,0.578,0.578,0.576,33930.1,27,19584.285,851990.1,0.0,,,,0.5762916666666666,,,,,,,,,29.081632653061224,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:54:17.688Z,SUSHI-USD,15MINS,0.576,0.576,0.576,0.576,12067.8,9,6951.0528,856446.9,0.0,,,,0.5762268518518519,,,,,,,,,29.081632653061224,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:13:01.111Z,SUSHI-USD,15MINS,0.575,0.576,0.575,0.576,50437.9,28,29010.8785,857717.5,-0.0034602076124568004,,,,0.5761764403292181,,,,,,,,,29.081632653061224,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:23.291Z,SUSHI-USD,15MINS,0.576,0.578,0.576,0.578,28940.6,17,16686.6464,842985.3,0.00521739130434784,,,,0.5765816758116141,,,,,,,,,88.60655737704917,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:42:15.611Z,SUSHI-USD,15MINS,0.575,0.577,0.577,0.575,62296.2,25,35864.2364,843845.9,-0.0017361111111111605,,,,0.576230192297922,,0.5763076923076922,,,,,,,25.186393289841565,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:58:27.777Z,SUSHI-USD,15MINS,0.574,0.576,0.574,0.576,27300.7,22,15700.7774,867109.3,0.0017391304347826875,,,,0.5761790384539394,,0.5762637362637362,,,,,,,49.35331230283912,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:13:58.328Z,SUSHI-USD,15MINS,0.574,0.575,0.575,0.575,9887.6,12,5685.3688,867109.3,0.0,,,,0.5759170299086195,,0.5760832025117738,,,,,,,29.982752012265234,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:28:21.238Z,SUSHI-USD,15MINS,0.575,0.575,0.575,0.575,24119.3,7,13868.5975,868301.7,0.0,,,,0.5757132454844818,,0.5759284592958062,,,,,,,29.982752012265234,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:30:00.000Z,SUSHI-USD,15MINS,0.575,0.575,0.575,0.575,0,0,0,850965.2,0.0,,,,0.5755547464879303,,0.5757958222535481,,,,,,,29.982752012265234,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:55:07.803Z,SUSHI-USD,15MINS,0.575,0.575,0.575,0.575,2713,4,1559.975,850965.2,-0.0017361111111111605,,,,0.5754314694906124,,0.575682133360184,,,,,,,29.982752012265234,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:13:08.198Z,SUSHI-USD,15MINS,0.575,0.576,0.575,0.576,2575.1,6,1483.2078,853630.9,0.0,,,,0.5755578096038096,,0.5757275428801577,,,,,,,90.3819828357816,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:28:57.162Z,SUSHI-USD,15MINS,0.576,0.576,0.576,0.576,12201.2,7,7027.8912,856011.3,-0.0017331022530329143,,,,0.5756560741362964,,0.5757664653258494,,,,0.5780000000000286,0.5759999999999998,0.5739999999999711,90.3819828357816,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:44:42.374Z,SUSHI-USD,15MINS,0.576,0.577,0.576,0.577,31520.9,14,18179.1349,859129.8,-0.0017301038062284002,,,,0.5759547243282305,,0.5759426845650137,0.5760476190476189,,,0.5780969489491172,0.5760499999999998,0.5740030510508825,97.83890735723834,0.0013500000000000012
78,2023-09-27T22:45:00.000Z,2023-09-27T22:57:20.594Z,SUSHI-USD,15MINS,0.577,0.578,0.577,0.578,12406.4,16,7164.592,849228.8,0.0,,,,0.5764092300330681,,0.5762365867700118,0.5762251082251081,,,0.5782817424229635,0.5760999999999998,0.5739182575770362,99.15271728795321,0.0013325000000000012
77,2023-09-27T23:00:00.000Z,2023-09-27T23:14:03.862Z,SUSHI-USD,15MINS,0.578,0.579,0.579,0.578,23387.7,23,13534.0661,844350.2,0.0,,,,0.576762734470164,,0.5764885029457244,0.5763864620228255,,,0.5784071307506481,0.5762999999999998,0.5741928692493515,99.15271728795321,0.0013158750000000013
76,2023-09-27T23:15:00.000Z,2023-09-27T23:29:01.826Z,SUSHI-USD,15MINS,0.577,0.578,0.577,0.578,14638.4,7,8448.9274,847941.3,-0.0017271157167529916,,,,0.5770376823656831,,0.5767044310963352,0.5765331472934777,,,0.5786271057452436,0.5763999999999998,0.574172894254756,99.15271728795321,0.0013000812500000012
75,2023-09-27T23:30:00.000Z,2023-09-27T23:43:37.122Z,SUSHI-USD,15MINS,0.578,0.579,0.578,0.579,27406.8,12,15843.701,843721.0,0.0,,,,0.5774737529510868,,0.5770323695111444,0.5767574066304343,,,0.5789899799197002,0.5764999999999998,0.5740100200802993,99.85549887397097,0.0012850771875000011
74,2023-09-27T23:45:00.000Z,2023-09-27T23:47:39.901Z,SUSHI-USD,15MINS,0.579,0.579,0.579,0.579,31201.7,24,18065.7843,847454.7,-0.0034423407917384408,,,,0.5778129189619564,,0.5773134595809809,0.5769612787549403,,,0.5793537011670389,0.5766499999999998,0.5739462988329607,99.85549887397097,0.001220823328125001
73,2023-09-28T00:00:00.000Z,2023-09-28T00:14:56.127Z,SUSHI-USD,15MINS,0.579,0.581,0.579,0.581,58791.1,28,34075.3267,856041.0,-0.0034305317324184736,,,,0.5785211591926328,,0.5778401082122694,0.5773284352317639,,,0.5801530289130964,0.5768499999999998,0.5735469710869031,99.98107540984286,0.001259782161718751
72,2023-09-28T00:15:00.000Z,2023-09-28T00:28:18.292Z,SUSHI-USD,15MINS,0.581,0.583,0.581,0.583,47607.6,36,27704.4507,851067.3,0.0017182130584192379,,,,0.5795164571498255,,0.5785772356105167,0.5778440320288762,,,0.5813379240201468,0.5770999999999998,0.5728620759798528,99.99308834683737,0.0012967930536328133
71,2023-09-28T00:30:00.000Z,2023-09-28T00:40:56.195Z,SUSHI-USD,15MINS,0.582,0.583,0.583,0.582,24856.8,14,14470.0852,848807.6,-0.0017152658662092923,,,,0.5800683555609754,,0.5790662019518714,0.5782218472989784,,,0.582107440918434,0.5773999999999998,0.5726925590815656,61.16611086059998,0.0012819534009511726
70,2023-09-28T00:45:00.000Z,2023-09-28T00:58:04.571Z,SUSHI-USD,15MINS,0.583,0.583,0.583,0.583,103455,49,60314.265,847548.1,0.0,,,,0.5807198321029808,,0.5796281731016041,0.5786562248172531,,,0.5829988093888875,0.5777499999999998,0.572501190611112,78.14137271855638,0.0012678557309036141
69,2023-09-28T01:00:00.000Z,2023-09-28T01:14:58.471Z,SUSHI-USD,15MINS,0.58,0.583,0.582,0.583,72794.4,42,42343.8388,852170.9,-0.001712328767123239,,,,0.5812265360800962,,0.5801098626585178,0.5790511134702301,,,0.5837533176101045,0.5780999999999998,0.5724466823898952,78.14137271855638,0.0013544629443584335
68,2023-09-28T01:15:00.000Z,2023-09-28T01:29:44.689Z,SUSHI-USD,15MINS,0.582,0.584,0.583,0.584,11324.3,25,6607.6033,850669.0,0.0034364261168384758,,,,0.5818428613956304,,0.5806655965644438,0.5795010122456637,,,0.584609669878586,0.5783999999999998,0.5721903301214136,92.04706972378632,0.001386739797140512
67,2023-09-28T01:30:00.000Z,2023-09-28T01:40:28.511Z,SUSHI-USD,15MINS,0.582,0.583,0.583,0.582,30795.8,19,17940.6171,850931.5,-0.0017152658662092923,,,,0.5818777810854903,,0.5808562256266662,0.5797281929506034,,,0.5849427376822162,0.5787499999999999,0.5725572623177836,25.96780894604963,0.0014174028072834865
66,2023-09-28T01:45:00.000Z,2023-09-28T01:56:45.056Z,SUSHI-USD,15MINS,0.583,0.583,0.583,0.583,17974.6,10,10479.1918,853492.9,-0.0034188034188034067,0.001828984899589492,0.0012766432201472494,0.0005523416794422425,0.5821271630664924,,0.581162479108571,0.580025629955094,,,0.5854213922517866,0.5790999999999998,0.5727786077482131,56.90505034718423,0.0013965326669193121
65,2023-09-28T02:00:00.000Z,2023-09-28T02:11:46.701Z,SUSHI-USD,15MINS,0.583,0.585,0.583,0.585,28167.8,20,16456.9704,853175.3,0.0068846815834768815,0.001998608807583513,0.001421036337634502,0.0005775724699490109,0.5827655712739385,,0.5817106963787751,0.5804778454137218,,,0.5861238025721899,0.5795999999999999,0.5730761974278099,83.86897113931559,0.0014267060335733466
64,2023-09-28T02:15:00.000Z,2023-09-28T02:27:35.473Z,SUSHI-USD,15MINS,0.581,0.584,0.584,0.581,61008.8,25,35541.6707,856065.0,-0.0017182130584192379,0.0017896405439596919,0.00149475717889954,0.00029488336506015194,0.5823732221019521,,0.5816091683246644,0.5805253140124744,,,0.5860935450269178,0.5799,0.5737064549730821,23.943782289141062,0.0015553707318946793
63,2023-09-28T02:30:00.000Z,2023-09-28T02:44:28.368Z,SUSHI-USD,15MINS,0.581,0.582,0.581,0.582,18544.4,16,10779.0773,874051.9,0.0,0.0016852962856338527,0.0015328650002464025,0.00015243128538745018,0.5822902838570738,,0.5816650014211409,0.5806593763749768,,,0.5860766628527786,0.58025,0.5744233371472215,43.96319951737287,0.0015276021952999454
62,2023-09-28T02:45:00.000Z,2023-09-28T02:55:32.508Z,SUSHI-USD,15MINS,0.582,0.583,0.583,0.582,45077.5,20,26236.3401,876753.0,0.001721170395869276,0.001584339430414028,0.0015431598862799276,4.117954413410032e-05,0.5822257763332797,,0.5817128583609779,0.5807812512499789,,,0.5859441556863197,0.5806000000000001,0.5752558443136805,43.96319951737287,0.0015012220855349482
61,2023-09-28T03:00:00.000Z,2023-09-28T03:07:16.903Z,SUSHI-USD,15MINS,0.581,0.582,0.582,0.581,25068.7,17,14584.9454,860881.4,-0.0017182130584192379,0.001407414949197161,0.0015160108988633743,-0.00010859594966621325,0.5819533815925508,,0.5816110214522667,0.5808011374999809,,,0.585760193478856,0.5808500000000001,0.5759398065211442,21.41543226817905,0.0014761609812582008
60,2023-09-28T03:15:00.000Z,2023-09-28T03:26:39.353Z,SUSHI-USD,15MINS,0.581,0.582,0.581,0.582,39801.1,23,23124.5274,857837.7,0.0,0.0013325320656317752,0.0014793151322170545,-0.00014678306658527933,0.5819637412386507,,0.5816665898162287,0.5809101249999826,,,0.585544314508556,0.58115,0.5767556854914441,61.20729686580596,0.0014523529321952906
59,2023-09-28T03:30:00.000Z,2023-09-28T03:32:41.669Z,SUSHI-USD,15MINS,0.582,0.582,0.582,0.582,21633,11,12590.406,860983.1,0.001721170395869276,0.0012586775891560986,0.0014351876236048634,-0.00017651003444876475,0.5819717987411728,,0.5817142198424817,0.5810092045454387,,,0.585369886648218,0.5814000000000001,0.5774301133517823,61.20729686580596,0.0013797352855855261
58,2023-09-28T03:45:00.000Z,2023-09-28T03:49:49.224Z,SUSHI-USD,15MINS,0.581,0.581,0.581,0.581,2226.4,1,1293.5384,857879.4,0.0017241379310344307,0.0011066984114140865,0.001369489781166708,-0.0002627913697526214,0.5817558434653566,,0.5816121884364129,0.5810083677685807,,,0.5852092348926613,0.5815500000000001,0.5778907651073389,20.230948373738684,0.0013607485213062499
57,2023-09-28T04:00:00.000Z,2023-09-28T04:11:52.294Z,SUSHI-USD,15MINS,0.58,0.581,0.581,0.58,16450.6,24,9547.6318,857879.4,-0.0017211703958691649,0.0008952423785800745,0.0012746403006493813,-0.0003793979220693068,0.5813656560286107,,0.5813818758026397,0.580916697971437,,,0.5850130343441746,0.5816500000000001,0.5782869656558256,8.649634787538323,0.0013427110952409374
56,2023-09-28T04:15:00.000Z,2023-09-28T04:29:44.554Z,SUSHI-USD,15MINS,0.58,0.581,0.58,0.581,31017,13,17998.4525,866337.4,-0.0017182130584192379,0.0007991415850083783,0.0011795405575211807,-0.0003803989725128024,0.5812843991333638,,0.5813273221165483,0.5809242708831245,,,0.5847393876913217,0.5818000000000001,0.5788606123086785,57.410642029937385,0.0013255755404788907
55,2023-09-28T04:30:00.000Z,2023-09-28T04:43:10.262Z,SUSHI-USD,15MINS,0.581,0.584,0.581,0.582,1312367.7,194,764654.8637,873904.3,0.0,0.0007945139936343937,0.0011025352447438233,-0.0003080212511094296,0.5814434215481719,,0.5814234189570413,0.5810220644392041,,,0.5845938608132252,0.5819500000000002,0.5793061391867752,79.40115219088368,0.0014092967634549464
