,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:42:50.455Z,TRX-USD,15MINS,0.0851,0.0852,0.0852,0.0851,415740,15,35398.802,29960730,0.0,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:45:00.000Z,TRX-USD,15MINS,0.0851,0.0851,0.0851,0.0851,0,0,0,30051030,0.002355712603062221,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:13:56.751Z,TRX-USD,15MINS,0.0849,0.0851,0.0851,0.0849,597700,29,50765.274,30051030,-0.00235017626321965,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:29:30.561Z,TRX-USD,15MINS,0.0849,0.0851,0.0849,0.0851,752250,35,63961.966,29864320,-0.0023446658851113966,,,,,,,,,,,,,66.66666666666666,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:44:16.979Z,TRX-USD,15MINS,0.0851,0.0853,0.0852,0.0853,1390,8,118.454,29862400,0.002350176263219872,,,,,,,,,,,,,85.71428571428628,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:59:34.350Z,TRX-USD,15MINS,0.085,0.0852,0.0852,0.0851,343990,20,29279.506,29861520,0.0,,,,,,,,,,,,,39.99999999999963,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:06:37.422Z,TRX-USD,15MINS,0.085,0.0851,0.085,0.0851,147870,9,12577.376,29797570,-0.0011737089201878659,,,,,,,,,,,,,39.99999999999963,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:24:53.295Z,TRX-USD,15MINS,0.0852,0.0852,0.0852,0.0852,75620,6,6442.824,29735070,0.0,,,,0.08511249999999998,,,,,,,,,70.9677419354839,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:41:32.197Z,TRX-USD,15MINS,0.0852,0.0853,0.0852,0.0852,144320,10,12301.948,29781580,0.001175088131609936,,,,0.08513194444444443,,,,,,,,,70.9677419354839,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:59:33.117Z,TRX-USD,15MINS,0.0851,0.0851,0.0851,0.0851,58960,5,5017.496,29839680,0.0,,,,0.08512484567901234,,,,,,,,,23.15789473684201,
