,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:38:15.088Z,UMA-USD,15MINS,1.35,1.35,1.35,1.35,7.2,2,9.72,100027.8,0.0,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:45:00.000Z,UMA-USD,15MINS,1.35,1.35,1.35,1.35,0,0,0,100035.0,0.0,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:07:03.147Z,UMA-USD,15MINS,1.35,1.35,1.35,1.35,23735,29,32042.25,100035.0,0.0,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:23:40.572Z,UMA-USD,15MINS,1.35,1.35,1.35,1.35,1,1,1.35,114945.0,0.0,,,,,,,,,,,,,0.0,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:38:51.528Z,UMA-USD,15MINS,1.35,1.35,1.35,1.35,37372.1,38,50452.335,114946.0,0.0,,,,,,,,,,,,,0.0,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:45:00.000Z,UMA-USD,15MINS,1.35,1.35,1.35,1.35,0,0,0,102771.2,0.0,,,,,,,,,,,,,0.0,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:00:00.000Z,UMA-USD,15MINS,1.35,1.35,1.35,1.35,0,0,0,102771.2,0.0,,,,,,,,,,,,,0.0,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:15:00.000Z,UMA-USD,15MINS,1.35,1.35,1.35,1.35,0,0,0,102771.2,0.0,,,,1.3499999999999999,,,,,,,,,0.0,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:30:00.000Z,UMA-USD,15MINS,1.35,1.35,1.35,1.35,0,0,0,102771.2,0.0,,,,1.3499999999999999,,,,,,,,,0.0,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:45:00.000Z,UMA-USD,15MINS,1.35,1.35,1.35,1.35,0,0,0,102771.2,0.0,,,,1.3499999999999999,,,,,,,,,0.0,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:00:00.000Z,UMA-USD,15MINS,1.35,1.35,1.35,1.35,0,0,0,102771.2,-0.007352941176470562,,,,1.3499999999999999,,,,,,,,,0.0,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:22.212Z,UMA-USD,15MINS,1.36,1.36,1.36,1.36,1042.9,6,1418.344,102771.2,0.0,,,,1.3522222222222222,,,,,,,,,100.0,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:30:00.000Z,UMA-USD,15MINS,1.36,1.36,1.36,1.36,0,0,0,101883.2,0.0,,,,1.3539506172839506,,1.3515384615384614,,,,,,,100.0,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:45:00.000Z,UMA-USD,15MINS,1.36,1.36,1.36,1.36,0,0,0,101883.2,0.0,,,,1.3552949245541839,,1.3527472527472526,,,,,,,100.0,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:04:46.487Z,UMA-USD,15MINS,1.36,1.36,1.36,1.36,1.7,1,2.312,101883.2,0.0,,,,1.3563404968754764,,1.3537833594976452,,,,,,,100.0,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:15:00.000Z,UMA-USD,15MINS,1.36,1.36,1.36,1.36,0,0,0,101883.2,0.0,,,,1.3571537197920371,,1.3546714509979816,,,,,,,100.0,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:30:00.000Z,UMA-USD,15MINS,1.36,1.36,1.36,1.36,0,0,0,101883.2,0.0,,,,1.3577862265049179,,1.3554326722839842,,,,,,,100.0,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:45:00.000Z,UMA-USD,15MINS,1.36,1.36,1.36,1.36,0,0,0,101883.2,0.007407407407407307,,,,1.3582781761704916,,1.3560851476719864,,,,,,,100.0,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:13:53.906Z,UMA-USD,15MINS,1.35,1.35,1.35,1.35,63.1,4,85.185,101883.2,0.0,,,,1.3564385814659379,,1.3552158408617025,,,,,,,0.7751937984496124,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:16:42.538Z,UMA-USD,15MINS,1.35,1.35,1.35,1.35,23.3,1,31.455,101946.3,-0.007352941176470562,,,,1.3550077855846183,,1.3544707207386022,,,,1.3630393920140913,1.3535,1.3439606079859086,0.7751937984496124,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:42:08.020Z,UMA-USD,15MINS,1.36,1.36,1.36,1.36,1,1,1.36,101969.6,0.0,,,,1.3561171665658143,,1.3552606177759448,1.3538095238095236,,,1.3637979589712732,1.3539999999999996,1.344202041028726,80.03120124804992,0.0015000000000000013
