,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:44.095Z,UNI-USD,15MINS,4.215,4.229,4.229,4.227,25690.7,86,108481.6815,365349.7,-0.0007092198581560849,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:59:50.779Z,UNI-USD,15MINS,4.225,4.237,4.226,4.23,28516.8,68,120653.0418,356835.6,0.0045119924008549805,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:51.660Z,UNI-USD,15MINS,4.2,4.232,4.229,4.211,20801.1,111,87731.3703,345582.7,-0.0028415818138762816,,,,,,,,,,,,,13.636363636364004,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:28:26.395Z,UNI-USD,15MINS,4.206,4.224,4.207,4.223,2115.6,23,8915.1891,344635.3,-0.0021266540642722598,,,,,,,,,,,,,58.69565217391221,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:43:10.579Z,UNI-USD,15MINS,4.228,4.238,4.228,4.232,4154.5,33,17588.4456,344040.6,0.002368545712932102,,,,,,,,,,,,,76.82926829268298,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:59:39.624Z,UNI-USD,15MINS,4.221,4.225,4.223,4.222,3458.3,21,14604.1997,343356.1,-0.0016552376448332184,,,,,,,,,,,,,38.8888888888895,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:13:19.479Z,UNI-USD,15MINS,4.223,4.232,4.223,4.229,3763.4,27,15914.53,343129.2,-0.002123643227937788,,,,,,,,,,,,,63.868613138685895,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:29:08.372Z,UNI-USD,15MINS,4.228,4.238,4.228,4.238,1540.6,19,6520.3642,342540.8,0.003551977267345574,,,,4.226500000000001,,,,,,,,,82.3843416370111,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:42:50.257Z,UNI-USD,15MINS,4.223,4.236,4.236,4.223,3185,19,13471.2395,342553.9,0.0007109004739336289,,,,4.225722222222223,,,,,,,,,30.42049934296937,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:59:53.029Z,UNI-USD,15MINS,4.219,4.221,4.219,4.22,251.7,7,1061.9309,343501.4,0.0,,,,4.224450617283951,,,,,,,,,24.29171038824726,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:08:54.985Z,UNI-USD,15MINS,4.22,4.222,4.222,4.22,713.2,3,3011.127,343507.8,-0.002599858189553328,,,,4.22346159122085,,,,,,,,,24.29171038824726,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:42.297Z,UNI-USD,15MINS,4.221,4.232,4.221,4.231,3509.6,26,14827.2869,343494.4,0.003319895660422123,,,,4.225136793171773,,,,,,,,,80.85699124436154,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:52.420Z,UNI-USD,15MINS,4.217,4.23,4.23,4.217,3049.7,20,12880.2175,342771.5,-0.00212967345007109,,,,4.223328616911378,,4.224846153846154,,,,,,,27.86413093169959,
