,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:48.098Z,XLM-USD,15MINS,0.1126,0.1127,0.1126,0.1126,1721140,33,193833.892,13576630,0.000888888888888939,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:56:58.786Z,XLM-USD,15MINS,0.1125,0.1126,0.1126,0.1125,245700,25,27650.769,12776820,0.003568242640499486,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:14:44.937Z,XLM-USD,15MINS,0.1118,0.1123,0.1123,0.1121,654960,68,73405.896,12621630,0.0,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:27:05.547Z,XLM-USD,15MINS,0.1119,0.1122,0.112,0.1121,60890,10,6818.996,12650560,-0.002669039145907437,,,,,,,,,,,,,0.0,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:41:42.114Z,XLM-USD,15MINS,0.1123,0.1124,0.1123,0.1124,10580,5,1189.025,12609230,-0.001776198934280715,,,,,,,,,,,,,70.58823529411727,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:53:20.075Z,XLM-USD,15MINS,0.1126,0.1126,0.1126,0.1126,18680,3,2103.368,12613320,-0.0008873114463175957,,,,,,,,,,,,,84.84848484848496,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:13:57.491Z,XLM-USD,15MINS,0.1126,0.1127,0.1127,0.1127,26520,10,2986.575,12594640,0.000888099467140302,,,,,,,,,,,,,89.79591836734662,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:27:48.810Z,XLM-USD,15MINS,0.1125,0.1126,0.1126,0.1126,64690,25,7281.13,12605370,0.001779359430605032,,,,0.11245000000000002,,,,,,,,,54.320987654322494,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:40:43.513Z,XLM-USD,15MINS,0.1124,0.1126,0.1126,0.1124,213810,11,24070.559,12623840,0.0008904719501336977,,,,0.11243888888888891,,,,,,,,,21.05263157894678,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:58:11.475Z,XLM-USD,15MINS,0.1123,0.1123,0.1123,0.1123,99900,10,11218.77,12618160,-0.000889679715302516,,,,0.11240802469135804,,,,,,,,,13.05637982195792,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:12:34.388Z,XLM-USD,15MINS,0.1124,0.1124,0.1124,0.1124,137320,25,15434.768,12681390,-0.002661934338952898,,,,0.1124062414266118,,,,,,,,,50.59021922428346,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:25.116Z,XLM-USD,15MINS,0.1124,0.1127,0.1125,0.1127,71300,31,8021.43,12708640,0.00535236396074934,,,,0.11247152110958696,,,,,,,,,86.23767026773103,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:41:59.375Z,XLM-USD,15MINS,0.1121,0.1126,0.1126,0.1121,37670,4,4232.742,12704100,0.0026833631484795006,,,,0.11238896086301207,,0.11242307692307696,,,,,,,22.19267496675942,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:55:29.640Z,XLM-USD,15MINS,0.1118,0.1119,0.1119,0.1118,318620,15,35631.054,12684230,0.0008952551477170445,,,,0.11225808067123161,,0.11233406593406596,,,,,,,12.734965665533554,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:13:58.390Z,XLM-USD,15MINS,0.1116,0.1118,0.1118,0.1117,497780,45,55613.28,12655770,0.0,,,,0.11213406274429125,,0.11224348508634226,,,,,,,9.917355371900623,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:25:48.525Z,XLM-USD,15MINS,0.1117,0.1117,0.1117,0.1117,19110,3,2134.587,12564610,0.0008960573476701761,,,,0.11203760435667097,,0.11216584435972193,,,,,,,9.917355371900623,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:43:34.073Z,XLM-USD,15MINS,0.1116,0.1117,0.1116,0.1116,30620,9,3417.203,12553830,-0.0008952551477170445,,,,0.11194035894407742,,0.11208500945119022,,,,,,,5.261197237585079,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:56:39.562Z,XLM-USD,15MINS,0.1116,0.1117,0.1116,0.1117,30170,12,3368.664,12558020,0.0017937219730941312,,,,0.11188694584539355,,0.11203000810102019,,,,,,,51.140175866399254,
