,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:55.023Z,XMR-USD,15MINS,145.1,145.5,145.4,145.3,149.81,53,21773.108,8307.84,0.0,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:59:14.086Z,XMR-USD,15MINS,145.2,145.4,145.3,145.3,86.03,43,12498.736,8282.38,0.00206896551724145,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:09:20.888Z,XMR-USD,15MINS,144.8,145.3,145.2,145.0,190.52,80,27640.771,8282.84,-0.0027510316368638543,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:25:50.917Z,XMR-USD,15MINS,145.0,145.4,145.1,145.4,49.64,14,7209.208,8299.87,-0.0013736263736262577,,,,,,,,,,,,,72.72727272727226,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:40:19.864Z,XMR-USD,15MINS,145.5,145.6,145.5,145.6,94.17,20,13709.952,8284.22,0.0013755158184318717,,,,,,,,,,,,,84.2105263157887,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:56:05.129Z,XMR-USD,15MINS,145.4,145.6,145.6,145.4,140.21,37,20398.529,8288.89,-0.0013736263736262577,,,,,,,,,,,,,45.71428571428623,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:13:44.317Z,XMR-USD,15MINS,145.4,145.6,145.4,145.6,35.43,22,5154.468,8299.90,-0.001371742112482921,,,,,,,,,,,,,71.64179104477606,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:26:02.816Z,XMR-USD,15MINS,145.6,145.8,145.6,145.8,79.02,10,11510.461,8289.06,-0.001369863013698569,,,,145.425,,,,,,,,,85.49618320610776,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:44:25.173Z,XMR-USD,15MINS,145.8,146.0,145.9,146.0,122.49,57,17875.062,8299.44,0.0006854009595613775,,,,145.55277777777778,,,,,,,,,92.66409266409283,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:46:29.184Z,XMR-USD,15MINS,145.9,146.0,146.0,145.9,0.76,2,110.919,8302.75,-0.001368925393565923,,,,145.62993827160494,,,,,,,,,62.01550387596989,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:12:30.640Z,XMR-USD,15MINS,146.0,146.1,146.0,146.1,38.46,10,5618.972,8302.75,0.0,,,,145.73439643347052,,,,,,,,,83.64849833147957,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:23.103Z,XMR-USD,15MINS,145.9,146.2,146.2,146.1,103.96,23,15182.358,8308.14,0.001370801919122533,,,,145.81564167047708,,,,,,,,,83.64849833147957,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:41:42.576Z,XMR-USD,15MINS,145.9,146.1,146.1,145.9,57.46,38,8389.577,8301.30,0.000685871056241405,,,,145.83438796592662,,145.64615384615385,,,,,,,25.517475398710793,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:52:55.579Z,XMR-USD,15MINS,145.8,145.9,145.8,145.8,23.33,17,3401.805,8296.94,-0.001369863013698569,,,,145.82674619572072,,145.66813186813187,,,,,,,15.055055055055218,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:10:11.156Z,XMR-USD,15MINS,145.9,146.0,145.9,146.0,31.49,20,4595.016,8297.11,0.0006854009595613775,,,,145.8652470411161,,145.7155416012559,,,,,,,67.82437248805644,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:27:48.184Z,XMR-USD,15MINS,145.9,146.0,146.0,145.9,15.92,3,2324.088,8291.66,-0.000684931506849229,,,,145.8729699208681,,145.7418928010765,,,,,,,41.835445998409675,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:44:21.851Z,XMR-USD,15MINS,145.9,146.1,145.9,146.0,44.74,12,6532.9,8303.06,-0.000684462696783017,,,,145.90119882734186,,145.77876525806556,,,,,,,67.07094245690226,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:52:31.620Z,XMR-USD,15MINS,146.1,146.1,146.1,146.1,0.28,2,40.908,8289.40,-0.0013670539986330166,,,,145.94537686571033,,145.82465593548477,,,,,,,82.36945456607734,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:12:27.340Z,XMR-USD,15MINS,146.2,146.3,146.2,146.3,48.68,16,7120.65,8289.54,0.0,,,,146.02418200666358,,145.8925622304155,,,,,,,93.83193702474722,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:24:03.780Z,XMR-USD,15MINS,146.3,146.3,146.3,146.3,7.6,2,1111.88,8300.84,-0.000683060109289535,,,,146.08547489407167,,145.95076762607044,,,,146.49114192570363,145.79000000000002,145.0888580742964,93.83193702474722,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:44:51.944Z,XMR-USD,15MINS,146.4,146.4,146.4,146.4,27.18,7,3979.152,8308.44,-0.0006825938566552558,,,,146.15536936205575,,146.01494367948897,145.81904761904764,,,146.55626647608597,145.845,145.13373352391403,97.31858103664294,0.194999999999996
78,2023-09-27T22:45:00.000Z,2023-09-27T22:57:50.700Z,XMR-USD,15MINS,146.5,146.6,146.5,146.5,65.5,9,9598.204,8295.87,0.0,,,,146.23195394826558,,146.08423743956197,145.8809523809524,,,146.6246526940172,145.905,145.18534730598282,98.74144134570135,0.19524999999999565
77,2023-09-27T23:00:00.000Z,2023-09-27T23:12:05.496Z,XMR-USD,15MINS,146.5,146.5,146.5,146.5,15,2,2197.5,8309.61,0.0013670539986327945,,,,146.2915197375399,,146.14363209105312,145.93722943722946,,,146.61435006110258,145.98,145.3456499388974,98.74144134570135,0.18548749999999586
76,2023-09-27T23:15:00.000Z,2023-09-27T23:27:19.547Z,XMR-USD,15MINS,146.3,146.5,146.5,146.3,10.14,4,1484.376,8309.61,-0.0020463847203272545,,,,146.2934042403088,,146.1659703637598,145.9702085792995,,,146.6144913061429,146.025,145.43550869385712,18.82547629554946,0.18621312499999548
75,2023-09-27T23:30:00.000Z,2023-09-27T23:44:30.615Z,XMR-USD,15MINS,146.4,146.6,146.4,146.6,34.21,13,5009.462,8318.31,0.0006825938566552558,,,,146.3615366313513,,146.22797459750842,146.02746234481774,,,146.68121778267934,146.075,145.46878221732064,76.3204077443094,0.19190246874999486
74,2023-09-27T23:45:00.000Z,2023-09-27T23:47:43.460Z,XMR-USD,15MINS,146.5,146.5,146.5,146.5,12.57,6,1841.505,8311.87,-0.002043596730245345,,,,146.39230626882878,,146.26683536929292,146.07042031347066,,,146.67808758426176,146.13,145.58191241573823,51.84134394851638,0.18730734531249485
73,2023-09-28T00:00:00.000Z,2023-09-28T00:14:43.905Z,XMR-USD,15MINS,146.5,146.8,146.5,146.8,62.96,21,9230.84,8307.39,-0.0013605442176869431,,,,146.4829048757557,,146.3430017451082,146.13674573951877,,,146.75533176101922,146.19,145.62466823898077,83.53237430981635,0.1929419780468707
72,2023-09-28T00:15:00.000Z,2023-09-28T00:29:46.736Z,XMR-USD,15MINS,146.7,147.1,146.9,147.0,302.62,53,44453.44,8302.99,0.000680735194009463,,,,146.59781490336556,,146.43685863866418,146.21522339956252,,,146.88718129289649,146.25,145.61281870710351,91.22852315708143,0.20329487914452743
71,2023-09-28T00:30:00.000Z,2023-09-28T00:43:01.482Z,XMR-USD,15MINS,146.6,147.0,147.0,146.9,157.04,41,23048.722,8285.95,-0.0013596193065941176,,,,146.6649671470621,,146.5030216902836,146.2774758177841,,,146.98049252366195,146.29500000000002,145.60950747633808,62.17228890671841,0.21313013518730134
70,2023-09-28T00:45:00.000Z,2023-09-28T00:57:55.300Z,XMR-USD,15MINS,146.9,147.2,146.9,147.1,161.1,26,23691.32,8299.39,0.001361470388018926,,,,146.76164111438163,,146.58830430595737,146.3522507434401,,,147.09924458346265,146.355,145.61075541653733,83.36510649272546,0.2174736284279354
69,2023-09-28T01:00:00.000Z,2023-09-28T01:12:31.083Z,XMR-USD,15MINS,146.8,147.2,147.1,146.9,58.36,20,8579.106,8321.35,-0.0013596193065941176,,,,146.79238753340795,,146.63283226224917,146.4020461304001,,,147.16564907707243,146.395,145.6243509229276,39.31404573545186,0.2265999470065375
68,2023-09-28T01:15:00.000Z,2023-09-28T01:29:29.825Z,XMR-USD,15MINS,146.9,147.1,146.9,147.1,97.58,17,14344.418,8321.93,-0.0006793478260869179,,,,146.8607458593173,,146.69957051049929,146.4654964821819,,,147.26102696034337,146.445,145.62897303965661,70.49528881599379,0.22526994965621006
67,2023-09-28T01:30:00.000Z,2023-09-28T01:43:42.686Z,XMR-USD,15MINS,147.1,147.2,147.1,147.2,59.84,16,8806.742,8299.43,-0.0006788866259336279,,,,146.93613566835788,,146.7710604375708,146.53226952925627,,,147.34880867902518,146.51,145.6711913209748,80.50967477787108,0.21900645217339926
66,2023-09-28T01:45:00.000Z,2023-09-28T01:52:20.598Z,XMR-USD,15MINS,147.3,147.3,147.3,147.3,14.25,1,2099.025,8289.92,-0.0006784260515603213,0.4184061156842347,0.3865575097260445,0.03184860595819017,147.0169944087228,,146.84662323220354,146.6020632084148,,,147.42470232822174,146.58499999999998,145.74529767177822,88.39055159294662,0.2130561295647304
