,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:28.849Z,XTZ-USD,15MINS,0.651,0.651,0.651,0.651,14226,6,9261.126,1167660,-0.0015337423312883347,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:45:49.477Z,XTZ-USD,15MINS,0.652,0.652,0.652,0.652,5796,1,3778.992,1176870,0.001536098310291889,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:10:35.683Z,XTZ-USD,15MINS,0.648,0.652,0.652,0.651,49650,27,32254.436,1176870,0.0015384615384614886,,,,,,,,,,,,,50.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:21:21.972Z,XTZ-USD,15MINS,0.65,0.65,0.65,0.65,8680,4,5642,1187018,-0.001536098310291889,,,,,,,,,,,,,25.0,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:30:53.303Z,XTZ-USD,15MINS,0.651,0.651,0.651,0.651,4798,4,3123.498,1185018,-0.0015337423312883347,,,,,,,,,,,,,62.5,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:56:18.121Z,XTZ-USD,15MINS,0.652,0.652,0.652,0.652,9663,6,6300.276,1185018,0.0,,,,,,,,,,,,,81.25,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:06:38.295Z,XTZ-USD,15MINS,0.652,0.652,0.652,0.652,16896,9,11016.192,1185518,-0.003058103975535187,,,,,,,,,,,,,81.25,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:24:38.364Z,XTZ-USD,15MINS,0.654,0.654,0.654,0.654,4296,1,2809.584,1189424,0.0030674846625766694,,,,0.651625,,,,,,,,,96.25,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:42:20.223Z,XTZ-USD,15MINS,0.652,0.652,0.652,0.652,1000,1,652,1185128,0.001536098310291889,,,,0.6517083333333333,,,,,,,,,37.019230769230774,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:56:09.348Z,XTZ-USD,15MINS,0.651,0.651,0.651,0.651,14863,22,9675.813,1185128,0.0015384615384614886,,,,0.6515509259259259,,,,,,,,,22.916666666666664,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:14:09.437Z,XTZ-USD,15MINS,0.65,0.65,0.65,0.65,400,1,260,1192178,-0.0030674846625766694,,,,0.6512062757201645,,,,,,,,,13.006756756756758,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:29:22.277Z,XTZ-USD,15MINS,0.65,0.652,0.65,0.652,23276,29,15157.88,1192178,0.009287925696594534,,,,0.6513826588934614,,,,,,,,,68.13118811881186,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:44:45.803Z,XTZ-USD,15MINS,0.646,0.652,0.652,0.646,55747,27,36223.819,1176761,-0.0046224961479198745,,,,0.6501865124726922,,0.6510769230769231,,,,,,,14.188144329896907,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:58:09.916Z,XTZ-USD,15MINS,0.646,0.649,0.646,0.649,58016,41,37506.921,1150102,0.0,,,,0.6499228430343161,,0.6507802197802198,,,,,,,52.107307249712306,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:14:00.901Z,XTZ-USD,15MINS,0.648,0.649,0.648,0.649,19702,15,12771.465,1148409,0.0,,,,0.6497177668044681,,0.6505259026687599,,,,,,,52.107307249712306,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:15:38.386Z,XTZ-USD,15MINS,0.649,0.649,0.649,0.649,4287,7,2782.263,1149033,0.0,,,,0.6495582630701419,,0.6503079165732227,,,,,,,52.107307249712306,
83,2023-09-27T21:30:00.000Z,2023-09-27T21:43:20.557Z,XTZ-USD,15MINS,0.649,0.649,0.649,0.649,1370,3,889.13,1148941,-0.0015384615384614886,,,,0.6494342046101104,,0.6501210713484766,,,,,,,52.107307249712306,
82,2023-09-27T21:45:00.000Z,2023-09-27T21:59:24.761Z,XTZ-USD,15MINS,0.65,0.65,0.65,0.65,20099,14,13064.35,1147571,0.0,,,,0.6495599369189747,,0.6501037754415514,,,,,,,85.73234487487144,
81,2023-09-27T22:00:00.000Z,2023-09-27T22:07:51.072Z,XTZ-USD,15MINS,0.65,0.65,0.65,0.65,4903,8,3186.95,1162316,0.0,,,,0.6496577287147581,,0.6500889503784726,,,,,,,85.73234487487144,
80,2023-09-27T22:15:00.000Z,2023-09-27T22:22:55.060Z,XTZ-USD,15MINS,0.65,0.65,0.65,0.65,4569,1,2969.85,1159248,-0.001536098310291889,,,,0.6497337890003675,,0.6500762431815479,,,,0.6538166247902192,0.6505000000000002,0.6471833752097812,85.73234487487144,
79,2023-09-27T22:30:00.000Z,2023-09-27T22:35:59.180Z,XTZ-USD,15MINS,0.651,0.651,0.651,0.651,4569,2,2974.419,1163817,-0.0015337423312883347,,,,0.650015169222508,,0.6502082084413268,0.6505238095238097,,,0.6538166247902192,0.6505000000000002,0.6471833752097812,97.84369980830009,0.0014000000000000013
78,2023-09-27T22:45:00.000Z,2023-09-27T22:57:52.390Z,XTZ-USD,15MINS,0.652,0.652,0.652,0.652,5966,2,3889.832,1165508,0.0,,,,0.6504562427286174,,0.6504641786639944,0.6506580086580088,,,0.6538166247902192,0.6505000000000002,0.6471833752097812,99.200700032649,0.0013800000000000012
77,2023-09-27T23:00:00.000Z,2023-09-27T23:14:10.828Z,XTZ-USD,15MINS,0.652,0.652,0.652,0.652,19734,18,12866.568,1165707,0.0,,,,0.6507992999000357,,0.6506835817119953,0.6507800078709172,,,0.653924907406014,0.6505500000000002,0.6471750925939863,99.200700032649,0.0013110000000000012
76,2023-09-27T23:15:00.000Z,2023-09-27T23:29:13.646Z,XTZ-USD,15MINS,0.651,0.652,0.651,0.652,9826,6,6405.346,1172697,0.0,,,,0.6510661221444722,,0.6508716414674245,0.6508909162462884,,,0.6540719877264373,0.6506500000000001,0.6472280122735629,99.200700032649,0.0012954500000000012
75,2023-09-27T23:30:00.000Z,2023-09-27T23:30:36.725Z,XTZ-USD,15MINS,0.652,0.652,0.652,0.652,960,2,625.92,1175402,-0.0015313935681470214,,,,0.6512736505568117,,0.6510328355435067,0.6509917420420803,,,0.6541698703145302,0.6507000000000001,0.6472301296854699,99.200700032649,0.0012306775000000012
74,2023-09-27T23:45:00.000Z,2023-09-27T23:50:49.740Z,XTZ-USD,15MINS,0.652,0.653,0.652,0.653,43402,14,28302.673,1175352,-0.001529051987767538,,,,0.6516572837664092,,0.6513138590372914,0.6511743109473458,,,0.6543207142141481,0.6507500000000002,0.6471792857858523,99.92778998086256,0.0012191436250000012
