,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:44:54.203Z,YFI-USD,15MINS,5178.0,5187.0,5183.0,5182.0,1.6516,28,8556.8095,116.6989,-0.0011565150346954933,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:59:51.039Z,YFI-USD,15MINS,5183.0,5193.0,5183.0,5188.0,0.2632,18,1365.3799,116.6444,0.005426356589147252,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:13:57.123Z,YFI-USD,15MINS,5143.0,5185.0,5185.0,5160.0,3.6259,102,18708.8211,116.4629,-0.0019342359767892114,,,,,,,,,,,,,17.647058823529413,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:27:18.154Z,YFI-USD,15MINS,5156.0,5170.0,5156.0,5170.0,0.4154,23,2145.2446,116.0323,-0.0011591962905718178,,,,,,,,,,,,,48.148148148148145,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:39:33.968Z,YFI-USD,15MINS,5174.0,5176.0,5174.0,5176.0,0.1663,8,860.6369,116.1540,0.0025179159403447837,,,,,,,,,,,,,64.1025641025641,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:55:45.325Z,YFI-USD,15MINS,5163.0,5168.0,5168.0,5163.0,0.0968,7,499.8542,116.1031,-0.0011607661056297625,,,,,,,,,,,,,27.472527472527474,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:14:00.298Z,YFI-USD,15MINS,5165.0,5175.0,5165.0,5169.0,1.3656,28,7062.0719,116.0929,-0.000773245698820757,,,,,,,,,,,,,52.51798561151079,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:25:22.624Z,YFI-USD,15MINS,5167.0,5174.0,5167.0,5173.0,0.2668,8,1379.2566,116.6994,0.0027137042062415073,,,,5172.625,,,,,,,,,67.48768472906403,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:42:37.024Z,YFI-USD,15MINS,5159.0,5171.0,5171.0,5159.0,0.4654,16,2404.9394,116.6265,0.0013586956521738358,,,,5169.597222222223,,,,,,,,,21.044546850998465,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:50:02.177Z,YFI-USD,15MINS,5150.0,5159.0,5159.0,5152.0,1.7809,48,9176.6325,116.8768,-0.0023237800154918276,,,,5165.686728395062,,,,,,,,,12.465878070973613,
89,2023-09-27T20:00:00.000Z,2023-09-27T20:05:37.716Z,YFI-USD,15MINS,5164.0,5165.0,5165.0,5164.0,0.7225,6,3731.7076,117.4151,-0.0011605415860734825,,,,5165.311899862826,,,,,,,,,63.49146110056926,
88,2023-09-27T20:15:00.000Z,2023-09-27T20:27:07.626Z,YFI-USD,15MINS,5160.0,5170.0,5161.0,5170.0,0.8479,14,4379.4522,117.4463,0.0017438480914551135,,,,5166.35369989331,,,,,,,,,76.93598657396308,
87,2023-09-27T20:30:00.000Z,2023-09-27T20:42:25.918Z,YFI-USD,15MINS,5160.0,5171.0,5171.0,5161.0,0.6111,7,3158.2381,117.1579,0.0007756447547022649,,,,5165.163988805907,,5168.2307692307695,,,,,,,36.55313817063447,
86,2023-09-27T20:45:00.000Z,2023-09-27T20:59:37.705Z,YFI-USD,15MINS,5151.0,5157.0,5151.0,5157.0,0.1328,8,684.7926,117.1619,0.00019394879751755134,,,,5163.349769071261,,5166.626373626374,,,,,,,24.924271844660197,
85,2023-09-27T21:00:00.000Z,2023-09-27T21:13:58.254Z,YFI-USD,15MINS,5146.0,5157.0,5157.0,5156.0,1.3207,20,6805.1499,117.0551,0.0,,,,5161.716487055425,,5165.108320251177,,,,,,,21.503719091335523,
84,2023-09-27T21:15:00.000Z,2023-09-27T21:15:00.000Z,YFI-USD,15MINS,5156.0,5156.0,5156.0,5156.0,0,0,0,116.4333,0.0013594872790834156,,,,5160.446156598664,,5163.807131643866,,,,,,,21.503719091335523,
