,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:43:57.706Z,ZEC-USD,15MINS,25.9,26.0,25.9,26.0,0.37,3,9.603,7843.77,0.0,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:45:00.000Z,ZEC-USD,15MINS,26.0,26.0,26.0,26.0,0,0,0,7843.40,0.0038610038610038533,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:11:50.164Z,ZEC-USD,15MINS,25.9,25.9,25.9,25.9,711.88,24,18437.692,7843.40,-0.0038461538461539435,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:28:22.756Z,ZEC-USD,15MINS,25.9,26.0,25.9,26.0,810.73,36,21039.133,7892.32,-0.007633587786259555,,,,,,,,,,,,,66.66666666666666,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:43:33.019Z,ZEC-USD,15MINS,26.1,26.2,26.1,26.2,395.91,13,10333.271,8051.15,0.0,,,,,,,,,,,,,90.90909090909079,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:49:33.978Z,ZEC-USD,15MINS,26.2,26.2,26.2,26.2,137.03,6,3590.186,8175.66,0.0,,,,,,,,,,,,,90.90909090909079,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:13:02.430Z,ZEC-USD,15MINS,26.1,26.2,26.2,26.2,758.48,40,19871.961,8237.14,0.0,,,,,,,,,,,,,90.90909090909079,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:27:23.433Z,ZEC-USD,15MINS,26.2,26.2,26.2,26.2,325.83,12,8536.746,8338.87,0.0,,,,26.087499999999995,,,,,,,,,90.90909090909079,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:44:07.723Z,ZEC-USD,15MINS,26.2,26.2,26.2,26.2,0.4,4,10.48,8294.02,0.0,,,,26.112499999999997,,,,,,,,,90.90909090909079,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:45:00.000Z,ZEC-USD,15MINS,26.2,26.2,26.2,26.2,0,0,0,8294.02,0.0,,,,26.131944444444443,,,,,,,,,90.90909090909079,
