,startedAt,updatedAt,market,resolution,Low,High,Open,Close,baseTokenVolume,trades,usdVolume,startingOpenInterest,percent_change,macd,macd_signal,macd_hist,ma8,ma55,ma13,ma21,ma99,ma200,upper,middle,lower,rsi,atr
99,2023-09-27T17:30:00.000Z,2023-09-27T17:30:07.492Z,ZRX-USD,15MINS,0.184,0.184,0.184,0.184,34240,5,6300.16,5322547,0.0,,,,,,,,,,,,,,
98,2023-09-27T17:45:00.000Z,2023-09-27T17:45:00.000Z,ZRX-USD,15MINS,0.184,0.184,0.184,0.184,0,0,0,5322547,0.005464480874316946,,,,,,,,,,,,,,
97,2023-09-27T18:00:00.000Z,2023-09-27T18:10:10.548Z,ZRX-USD,15MINS,0.182,0.184,0.183,0.183,63010,21,11531.115,5322547,0.0,,,,,,,,,,,,,0.0,
96,2023-09-27T18:15:00.000Z,2023-09-27T18:22:01.114Z,ZRX-USD,15MINS,0.183,0.183,0.183,0.183,90,9,16.47,5289078,-0.005434782608695676,,,,,,,,,,,,,0.0,
95,2023-09-27T18:30:00.000Z,2023-09-27T18:37:48.207Z,ZRX-USD,15MINS,0.184,0.184,0.184,0.184,58705,9,10801.72,5288988,0.0,,,,,,,,,,,,,80.0,
94,2023-09-27T18:45:00.000Z,2023-09-27T18:45:00.000Z,ZRX-USD,15MINS,0.184,0.184,0.184,0.184,0,0,0,5319132,0.0,,,,,,,,,,,,,80.0,
93,2023-09-27T19:00:00.000Z,2023-09-27T19:08:40.182Z,ZRX-USD,15MINS,0.184,0.184,0.184,0.184,980,1,180.32,5319132,0.0,,,,,,,,,,,,,80.0,
92,2023-09-27T19:15:00.000Z,2023-09-27T19:28:35.552Z,ZRX-USD,15MINS,0.184,0.185,0.184,0.184,26577,13,4890.448,5320112,0.0,,,,0.18374999999999997,,,,,,,,,80.0,
91,2023-09-27T19:30:00.000Z,2023-09-27T19:43:21.837Z,ZRX-USD,15MINS,0.184,0.184,0.184,0.184,15717,8,2891.928,5319872,0.0,,,,0.18380555555555553,,,,,,,,,80.0,
90,2023-09-27T19:45:00.000Z,2023-09-27T19:53:16.114Z,ZRX-USD,15MINS,0.184,0.184,0.184,0.184,286,2,52.624,5318975,0.0,,,,0.18384876543209874,,,,,,,,,80.0,
